dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 20
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True
saver_name_pre: wasserstein_vq_refinement_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/20] Iters:[10/20018] gen_loss -0.6521, rec_loss 0.0235, lpips_loss 0.1786, g_loss -0.1730, disc_weight 0.5000, disc_adaptive_weight 4.8082, d_loss 2.4845, logits_real 0.1403, logits_fake 0.1756,
Train Epoch: [1/20] Iters:[120/20018] gen_loss -0.0691, rec_loss 0.0266, lpips_loss 0.1821, g_loss -0.1485, disc_weight 0.5000, disc_adaptive_weight 1.8748, d_loss 0.9646, logits_real 0.1434, logits_fake 0.1489,
Train Epoch: [1/20] Iters:[130/20018] gen_loss -0.0799, rec_loss 0.0266, lpips_loss 0.1823, g_loss -0.1449, disc_weight 0.5000, disc_adaptive_weight 1.9978, d_loss 0.9231, logits_real 0.1430, logits_fake 0.1450,
Train Epoch: [1/20] Iters:[140/20018] gen_loss -0.0880, rec_loss 0.0260, lpips_loss 0.1819, g_loss -0.1425, disc_weight 0.5000, disc_adaptive_weight 2.0808, d_loss 0.8862, logits_real 0.1427, logits_fake 0.1427,
Train Epoch: [1/20] Iters:[150/20018] gen_loss -0.0935, rec_loss 0.0263, lpips_loss 0.1824, g_loss -0.1413, disc_weight 0.5000, disc_adaptive_weight 2.1435, d_loss 0.8571, logits_real 0.1428, logits_fake 0.1412,
Train Epoch: [1/20] Iters:[160/20018] gen_loss -0.0999, rec_loss 0.0259, lpips_loss 0.1815, g_loss -0.1408, disc_weight 0.5000, disc_adaptive_weight 2.1851, d_loss 0.8295, logits_real 0.1433, logits_fake 0.1407,
Train Epoch: [1/20] Iters:[170/20018] gen_loss -0.1196, rec_loss 0.0258, lpips_loss 0.1824, g_loss -0.1405, disc_weight 0.5000, disc_adaptive_weight 2.3314, d_loss 0.8072, logits_real 0.1433, logits_fake 0.1409,
Train Epoch: [1/20] Iters:[180/20018] gen_loss -0.1692, rec_loss 0.0254, lpips_loss 0.1807, g_loss -0.1418, disc_weight 0.5000, disc_adaptive_weight 2.6378, d_loss 0.7890, logits_real 0.1436, logits_fake 0.1421,
Train Epoch: [1/20] Iters:[190/20018] gen_loss -0.1868, rec_loss 0.0257, lpips_loss 0.1807, g_loss -0.1429, disc_weight 0.5000, disc_adaptive_weight 2.7436, d_loss 0.7733, logits_real 0.1436, logits_fake 0.1429,
Train Epoch: [1/20] Iters:[200/20018] gen_loss -0.1855, rec_loss 0.0255, lpips_loss 0.1802, g_loss -0.1440, disc_weight 0.5000, disc_adaptive_weight 2.7131, d_loss 0.7594, logits_real 0.1435, logits_fake 0.1440,
Train Epoch: [1/20] Iters:[210/20018] gen_loss -0.1834, rec_loss 0.0254, lpips_loss 0.1788, g_loss -0.1445, disc_weight 0.5000, disc_adaptive_weight 2.6817, d_loss 0.7475, logits_real 0.1427, logits_fake 0.1443,
Train Epoch: [1/20] Iters:[220/20018] gen_loss -0.1610, rec_loss 0.0252, lpips_loss 0.1782, g_loss -0.1451, disc_weight 0.5000, disc_adaptive_weight 2.5109, d_loss 0.7360, logits_real 0.1424, logits_fake 0.1446,
Train Epoch: [1/20] Iters:[230/20018] gen_loss -0.0995, rec_loss 0.0252, lpips_loss 0.1787, g_loss -0.1446, disc_weight 0.5000, disc_adaptive_weight 2.0973, d_loss 0.7250, logits_real 0.1421, logits_fake 0.1443,
Train Epoch: [1/20] Iters:[240/20018] gen_loss -0.0610, rec_loss 0.0258, lpips_loss 0.1797, g_loss -0.1444, disc_weight 0.5000, disc_adaptive_weight 1.8436, d_loss 0.7166, logits_real 0.1420, logits_fake 0.1441,
Train Epoch: [1/20] Iters:[250/20018] gen_loss -0.0625, rec_loss 0.0254, lpips_loss 0.1793, g_loss -0.1442, disc_weight 0.5000, disc_adaptive_weight 1.8519, d_loss 0.7074, logits_real 0.1420, logits_fake 0.1438,
Train Epoch: [1/20] Iters:[260/20018] gen_loss -0.0797, rec_loss 0.0254, lpips_loss 0.1805, g_loss -0.1438, disc_weight 0.5000, disc_adaptive_weight 1.9859, d_loss 0.6995, logits_real 0.1423, logits_fake 0.1439,
Train Epoch: [1/20] Iters:[270/20018] gen_loss -0.0837, rec_loss 0.0255, lpips_loss 0.1801, g_loss -0.1437, disc_weight 0.5000, disc_adaptive_weight 2.0129, d_loss 0.6930, logits_real 0.1423, logits_fake 0.1439,
Train Epoch: [1/20] Iters:[280/20018] gen_loss -0.0937, rec_loss 0.0253, lpips_loss 0.1792, g_loss -0.1434, disc_weight 0.5000, disc_adaptive_weight 2.0782, d_loss 0.6867, logits_real 0.1421, logits_fake 0.1436,
Train Epoch: [1/20] Iters:[290/20018] gen_loss -0.1108, rec_loss 0.0246, lpips_loss 0.1773, g_loss -0.1432, disc_weight 0.5000, disc_adaptive_weight 2.1816, d_loss 0.6792, logits_real 0.1419, logits_fake 0.1436,
Train Epoch: [1/20] Iters:[300/20018] gen_loss -0.0976, rec_loss 0.0252, lpips_loss 0.1773, g_loss -0.1431, disc_weight 0.5000, disc_adaptive_weight 2.0956, d_loss 0.6752, logits_real 0.1419, logits_fake 0.1434,
Train Epoch: [1/20] Iters:[310/20018] gen_loss -0.0814, rec_loss 0.0252, lpips_loss 0.1778, g_loss -0.1429, disc_weight 0.5000, disc_adaptive_weight 1.9878, d_loss 0.6698, logits_real 0.1415, logits_fake 0.1430,
Train Epoch: [1/20] Iters:[320/20018] gen_loss -0.0841, rec_loss 0.0258, lpips_loss 0.1791, g_loss -0.1423, disc_weight 0.5000, disc_adaptive_weight 2.0306, d_loss 0.6653, logits_real 0.1410, logits_fake 0.1426,
Train Epoch: [1/20] Iters:[330/20018] gen_loss -0.0759, rec_loss 0.0264, lpips_loss 0.1804, g_loss -0.1423, disc_weight 0.5000, disc_adaptive_weight 1.9875, d_loss 0.6611, logits_real 0.1409, logits_fake 0.1424,
Train Epoch: [1/20] Iters:[340/20018] gen_loss -0.0803, rec_loss 0.0262, lpips_loss 0.1801, g_loss -0.1421, disc_weight 0.5000, disc_adaptive_weight 2.0159, d_loss 0.6570, logits_real 0.1408, logits_fake 0.1420,
Train Epoch: [1/20] Iters:[350/20018] gen_loss -0.0786, rec_loss 0.0257, lpips_loss 0.1803, g_loss -0.1416, disc_weight 0.5000, disc_adaptive_weight 2.0101, d_loss 0.6518, logits_real 0.1401, logits_fake 0.1415,
Train Epoch: [1/20] Iters:[360/20018] gen_loss -0.0841, rec_loss 0.0259, lpips_loss 0.1796, g_loss -0.1414, disc_weight 0.5000, disc_adaptive_weight 2.0480, d_loss 0.6480, logits_real 0.1400, logits_fake 0.1414,
Train Epoch: [1/20] Iters:[370/20018] gen_loss -0.0759, rec_loss 0.0252, lpips_loss 0.1780, g_loss -0.1413, disc_weight 0.5000, disc_adaptive_weight 1.9743, d_loss 0.6433, logits_real 0.1399, logits_fake 0.1413,
Train Epoch: [1/20] Iters:[380/20018] gen_loss -0.0744, rec_loss 0.0255, lpips_loss 0.1774, g_loss -0.1410, disc_weight 0.5000, disc_adaptive_weight 1.9648, d_loss 0.6394, logits_real 0.1396, logits_fake 0.1411,
Train Epoch: [1/20] Iters:[390/20018] gen_loss -0.0717, rec_loss 0.0258, lpips_loss 0.1788, g_loss -0.1407, disc_weight 0.5000, disc_adaptive_weight 1.9624, d_loss 0.6364, logits_real 0.1393, logits_fake 0.1409,
Train Epoch: [1/20] Iters:[400/20018] gen_loss -0.0682, rec_loss 0.0257, lpips_loss 0.1772, g_loss -0.1404, disc_weight 0.5000, disc_adaptive_weight 1.9287, d_loss 0.6330, logits_real 0.1391, logits_fake 0.1406,
Train Epoch: [1/20] Iters:[410/20018] gen_loss -0.0674, rec_loss 0.0254, lpips_loss 0.1767, g_loss -0.1402, disc_weight 0.5000, disc_adaptive_weight 1.9221, d_loss 0.6297, logits_real 0.1389, logits_fake 0.1404,
Train Epoch: [1/20] Iters:[420/20018] gen_loss -0.0705, rec_loss 0.0253, lpips_loss 0.1765, g_loss -0.1399, disc_weight 0.5000, disc_adaptive_weight 1.9469, d_loss 0.6269, logits_real 0.1386, logits_fake 0.1399,
Train Epoch: [1/20] Iters:[430/20018] gen_loss -0.0745, rec_loss 0.0246, lpips_loss 0.1763, g_loss -0.1398, disc_weight 0.5000, disc_adaptive_weight 1.9700, d_loss 0.6230, logits_real 0.1385, logits_fake 0.1398,
Train Epoch: [1/20] Iters:[440/20018] gen_loss -0.0680, rec_loss 0.0248, lpips_loss 0.1766, g_loss -0.1394, disc_weight 0.5000, disc_adaptive_weight 1.9327, d_loss 0.6195, logits_real 0.1383, logits_fake 0.1393,
Train Epoch: [1/20] Iters:[450/20018] gen_loss -0.0763, rec_loss 0.0248, lpips_loss 0.1779, g_loss -0.1392, disc_weight 0.5000, disc_adaptive_weight 2.0056, d_loss 0.6165, logits_real 0.1381, logits_fake 0.1391,
Train Epoch: [1/20] Iters:[460/20018] gen_loss -0.0792, rec_loss 0.0250, lpips_loss 0.1777, g_loss -0.1389, disc_weight 0.5000, disc_adaptive_weight 2.0323, d_loss 0.6137, logits_real 0.1378, logits_fake 0.1389,
Train Epoch: [1/20] Iters:[470/20018] gen_loss -0.0728, rec_loss 0.0251, lpips_loss 0.1793, g_loss -0.1388, disc_weight 0.5000, disc_adaptive_weight 1.9996, d_loss 0.6108, logits_real 0.1376, logits_fake 0.1387,
Train Epoch: [1/20] Iters:[480/20018] gen_loss -0.0716, rec_loss 0.0251, lpips_loss 0.1797, g_loss -0.1385, disc_weight 0.5000, disc_adaptive_weight 1.9982, d_loss 0.6087, logits_real 0.1374, logits_fake 0.1385,
Train Epoch: [1/20] Iters:[490/20018] gen_loss -0.0792, rec_loss 0.0246, lpips_loss 0.1788, g_loss -0.1384, disc_weight 0.5000, disc_adaptive_weight 2.0440, d_loss 0.6057, logits_real 0.1371, logits_fake 0.1384,
Train Epoch: [1/20] Iters:[500/20018] gen_loss -0.0687, rec_loss 0.0248, lpips_loss 0.1781, g_loss -0.1381, disc_weight 0.5000, disc_adaptive_weight 1.9676, d_loss 0.6034, logits_real 0.1367, logits_fake 0.1382,
Train Epoch: [1/20] Iters:[510/20018] gen_loss -0.0626, rec_loss 0.0248, lpips_loss 0.1785, g_loss -0.1378, disc_weight 0.5000, disc_adaptive_weight 1.9300, d_loss 0.6012, logits_real 0.1365, logits_fake 0.1377,
Train Epoch: [1/20] Iters:[520/20018] gen_loss -0.0689, rec_loss 0.0249, lpips_loss 0.1773, g_loss -0.1376, disc_weight 0.5000, disc_adaptive_weight 1.9703, d_loss 0.5985, logits_real 0.1364, logits_fake 0.1374,
Train Epoch: [1/20] Iters:[530/20018] gen_loss -0.0647, rec_loss 0.0251, lpips_loss 0.1775, g_loss -0.1370, disc_weight 0.5000, disc_adaptive_weight 1.9506, d_loss 0.5957, logits_real 0.1357, logits_fake 0.1366,
Train Epoch: [1/20] Iters:[540/20018] gen_loss -0.0541, rec_loss 0.0256, lpips_loss 0.1776, g_loss -0.1361, disc_weight 0.5000, disc_adaptive_weight 1.8889, d_loss 0.5932, logits_real 0.1351, logits_fake 0.1359,
Train Epoch: [1/20] Iters:[550/20018] gen_loss -0.0575, rec_loss 0.0257, lpips_loss 0.1788, g_loss -0.1356, disc_weight 0.5000, disc_adaptive_weight 1.9308, d_loss 0.5909, logits_real 0.1346, logits_fake 0.1352,
Train Epoch: [1/20] Iters:[560/20018] gen_loss -0.0468, rec_loss 0.0257, lpips_loss 0.1801, g_loss -0.1348, disc_weight 0.5000, disc_adaptive_weight 1.8709, d_loss 0.5881, logits_real 0.1339, logits_fake 0.1346,
Train Epoch: [1/20] Iters:[570/20018] gen_loss -0.0420, rec_loss 0.0256, lpips_loss 0.1804, g_loss -0.1342, disc_weight 0.5000, disc_adaptive_weight 1.8483, d_loss 0.5861, logits_real 0.1333, logits_fake 0.1341,
Train Epoch: [1/20] Iters:[580/20018] gen_loss -0.0513, rec_loss 0.0253, lpips_loss 0.1798, g_loss -0.1338, disc_weight 0.5000, disc_adaptive_weight 1.9162, d_loss 0.5841, logits_real 0.1330, logits_fake 0.1337,
Train Epoch: [1/20] Iters:[590/20018] gen_loss -0.0630, rec_loss 0.0255, lpips_loss 0.1806, g_loss -0.1336, disc_weight 0.5000, disc_adaptive_weight 2.0157, d_loss 0.5826, logits_real 0.1328, logits_fake 0.1334,
Train Epoch: [1/20] Iters:[600/20018] gen_loss -0.0650, rec_loss 0.0251, lpips_loss 0.1799, g_loss -0.1330, disc_weight 0.5000, disc_adaptive_weight 2.0320, d_loss 0.5809, logits_real 0.1322, logits_fake 0.1329,
Train Epoch: [1/20] Iters:[610/20018] gen_loss -0.0657, rec_loss 0.0251, lpips_loss 0.1789, g_loss -0.1327, disc_weight 0.5000, disc_adaptive_weight 2.0334, d_loss 0.5791, logits_real 0.1318, logits_fake 0.1326,
Train Epoch: [1/20] Iters:[620/20018] gen_loss -0.0681, rec_loss 0.0252, lpips_loss 0.1786, g_loss -0.1323, disc_weight 0.5000, disc_adaptive_weight 2.0550, d_loss 0.5767, logits_real 0.1314, logits_fake 0.1322,
Train Epoch: [1/20] Iters:[630/20018] gen_loss -0.0603, rec_loss 0.0251, lpips_loss 0.1779, g_loss -0.1319, disc_weight 0.5000, disc_adaptive_weight 1.9951, d_loss 0.5749, logits_real 0.1312, logits_fake 0.1318,
Train Epoch: [1/20] Iters:[640/20018] gen_loss -0.0441, rec_loss 0.0248, lpips_loss 0.1772, g_loss -0.1315, disc_weight 0.5000, disc_adaptive_weight 1.8693, d_loss 0.5729, logits_real 0.1308, logits_fake 0.1313,
Train Epoch: [1/20] Iters:[650/20018] gen_loss -0.0397, rec_loss 0.0248, lpips_loss 0.1772, g_loss -0.1311, disc_weight 0.5000, disc_adaptive_weight 1.8419, d_loss 0.5710, logits_real 0.1303, logits_fake 0.1309,
Train Epoch: [1/20] Iters:[660/20018] gen_loss -0.0465, rec_loss 0.0247, lpips_loss 0.1770, g_loss -0.1304, disc_weight 0.5000, disc_adaptive_weight 1.9026, d_loss 0.5691, logits_real 0.1296, logits_fake 0.1302,
Train Epoch: [1/20] Iters:[670/20018] gen_loss -0.0425, rec_loss 0.0245, lpips_loss 0.1777, g_loss -0.1295, disc_weight 0.5000, disc_adaptive_weight 1.8896, d_loss 0.5685, logits_real 0.1287, logits_fake 0.1294,
Train Epoch: [1/20] Iters:[680/20018] gen_loss -0.0541, rec_loss 0.0245, lpips_loss 0.1782, g_loss -0.1287, disc_weight 0.5000, disc_adaptive_weight 1.9969, d_loss 0.5670, logits_real 0.1277, logits_fake 0.1287,
Train Epoch: [1/20] Iters:[690/20018] gen_loss -0.0664, rec_loss 0.0246, lpips_loss 0.1788, g_loss -0.1281, disc_weight 0.5000, disc_adaptive_weight 2.1076, d_loss 0.5656, logits_real 0.1271, logits_fake 0.1280,
Train Epoch: [1/20] Iters:[700/20018] gen_loss -0.0671, rec_loss 0.0248, lpips_loss 0.1785, g_loss -0.1277, disc_weight 0.5000, disc_adaptive_weight 2.1186, d_loss 0.5639, logits_real 0.1267, logits_fake 0.1274,
Train Epoch: [1/20] Iters:[710/20018] gen_loss -0.0669, rec_loss 0.0248, lpips_loss 0.1783, g_loss -0.1272, disc_weight 0.5000, disc_adaptive_weight 2.1214, d_loss 0.5631, logits_real 0.1263, logits_fake 0.1270,
Train Epoch: [1/20] Iters:[720/20018] gen_loss -0.0689, rec_loss 0.0248, lpips_loss 0.1775, g_loss -0.1272, disc_weight 0.5000, disc_adaptive_weight 2.1318, d_loss 0.5606, logits_real 0.1262, logits_fake 0.1269,
Train Epoch: [1/20] Iters:[730/20018] gen_loss -0.0625, rec_loss 0.0251, lpips_loss 0.1784, g_loss -0.1270, disc_weight 0.5000, disc_adaptive_weight 2.0959, d_loss 0.5593, logits_real 0.1260, logits_fake 0.1266,
Train Epoch: [1/20] Iters:[740/20018] gen_loss -0.0560, rec_loss 0.0254, lpips_loss 0.1787, g_loss -0.1267, disc_weight 0.5000, disc_adaptive_weight 2.0532, d_loss 0.5576, logits_real 0.1258, logits_fake 0.1264,
Train Epoch: [1/20] Iters:[750/20018] gen_loss -0.0678, rec_loss 0.0251, lpips_loss 0.1781, g_loss -0.1261, disc_weight 0.5000, disc_adaptive_weight 2.1489, d_loss 0.5556, logits_real 0.1253, logits_fake 0.1261,
Train Epoch: [1/20] Iters:[760/20018] gen_loss -0.0722, rec_loss 0.0250, lpips_loss 0.1789, g_loss -0.1258, disc_weight 0.5000, disc_adaptive_weight 2.1966, d_loss 0.5535, logits_real 0.1250, logits_fake 0.1257,
Train Epoch: [1/20] Iters:[770/20018] gen_loss -0.0753, rec_loss 0.0249, lpips_loss 0.1791, g_loss -0.1251, disc_weight 0.5000, disc_adaptive_weight 2.2338, d_loss 0.5529, logits_real 0.1244, logits_fake 0.1250,
Train Epoch: [1/20] Iters:[780/20018] gen_loss -0.0700, rec_loss 0.0248, lpips_loss 0.1784, g_loss -0.1244, disc_weight 0.5000, disc_adaptive_weight 2.1961, d_loss 0.5517, logits_real 0.1238, logits_fake 0.1245,
Train Epoch: [1/20] Iters:[790/20018] gen_loss -0.0701, rec_loss 0.0247, lpips_loss 0.1781, g_loss -0.1238, disc_weight 0.5000, disc_adaptive_weight 2.2061, d_loss 0.5506, logits_real 0.1231, logits_fake 0.1237,
Train Epoch: [1/20] Iters:[800/20018] gen_loss -0.0621, rec_loss 0.0249, lpips_loss 0.1790, g_loss -0.1231, disc_weight 0.5000, disc_adaptive_weight 2.1625, d_loss 0.5503, logits_real 0.1227, logits_fake 0.1230,
Train Epoch: [1/20] Iters:[810/20018] gen_loss -0.0580, rec_loss 0.0252, lpips_loss 0.1789, g_loss -0.1226, disc_weight 0.5000, disc_adaptive_weight 2.1399, d_loss 0.5500, logits_real 0.1222, logits_fake 0.1225,
Train Epoch: [1/20] Iters:[820/20018] gen_loss -0.0576, rec_loss 0.0251, lpips_loss 0.1785, g_loss -0.1219, disc_weight 0.5000, disc_adaptive_weight 2.1435, d_loss 0.5484, logits_real 0.1216, logits_fake 0.1219,
Train Epoch: [1/20] Iters:[830/20018] gen_loss -0.0476, rec_loss 0.0250, lpips_loss 0.1780, g_loss -0.1213, disc_weight 0.5000, disc_adaptive_weight 2.0647, d_loss 0.5473, logits_real 0.1209, logits_fake 0.1214,
Train Epoch: [1/20] Iters:[840/20018] gen_loss -0.0500, rec_loss 0.0247, lpips_loss 0.1778, g_loss -0.1206, disc_weight 0.5000, disc_adaptive_weight 2.0925, d_loss 0.5466, logits_real 0.1204, logits_fake 0.1209,
Train Epoch: [1/20] Iters:[850/20018] gen_loss -0.0474, rec_loss 0.0245, lpips_loss 0.1769, g_loss -0.1202, disc_weight 0.5000, disc_adaptive_weight 2.0684, d_loss 0.5457, logits_real 0.1198, logits_fake 0.1206,
Train Epoch: [1/20] Iters:[860/20018] gen_loss -0.0564, rec_loss 0.0248, lpips_loss 0.1770, g_loss -0.1195, disc_weight 0.5000, disc_adaptive_weight 2.1614, d_loss 0.5449, logits_real 0.1192, logits_fake 0.1198,
Train Epoch: [1/20] Iters:[870/20018] gen_loss -0.0542, rec_loss 0.0251, lpips_loss 0.1781, g_loss -0.1191, disc_weight 0.5000, disc_adaptive_weight 2.1634, d_loss 0.5445, logits_real 0.1186, logits_fake 0.1192,
Train Epoch: [1/20] Iters:[880/20018] gen_loss -0.0677, rec_loss 0.0252, lpips_loss 0.1789, g_loss -0.1185, disc_weight 0.5000, disc_adaptive_weight 2.2959, d_loss 0.5434, logits_real 0.1180, logits_fake 0.1186,
Train Epoch: [1/20] Iters:[890/20018] gen_loss -0.0665, rec_loss 0.0249, lpips_loss 0.1782, g_loss -0.1178, disc_weight 0.5000, disc_adaptive_weight 2.2886, d_loss 0.5425, logits_real 0.1173, logits_fake 0.1180,
Train Epoch: [1/20] Iters:[900/20018] gen_loss -0.0635, rec_loss 0.0255, lpips_loss 0.1803, g_loss -0.1174, disc_weight 0.5000, disc_adaptive_weight 2.2948, d_loss 0.5414, logits_real 0.1168, logits_fake 0.1173,
Train Epoch: [1/20] Iters:[910/20018] gen_loss -0.0525, rec_loss 0.0253, lpips_loss 0.1801, g_loss -0.1168, disc_weight 0.5000, disc_adaptive_weight 2.2076, d_loss 0.5401, logits_real 0.1163, logits_fake 0.1167,
Train Epoch: [1/20] Iters:[920/20018] gen_loss -0.0611, rec_loss 0.0251, lpips_loss 0.1788, g_loss -0.1162, disc_weight 0.5000, disc_adaptive_weight 2.2810, d_loss 0.5391, logits_real 0.1158, logits_fake 0.1162,
