dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True_10
saver_name_pre: wasserstein_vq_refinement_True_10_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss 0.6143, rec_loss 0.0225, lpips_loss 0.1724, g_loss 0.1994, disc_weight 0.5000, disc_adaptive_weight 2.1294, d_loss 2.5330, logits_real -0.1890, logits_fake -0.2041,
Train Epoch: [1/10] Iters:[120/20018] gen_loss 0.5453, rec_loss 0.0255, lpips_loss 0.1758, g_loss 0.1800, disc_weight 0.5000, disc_adaptive_weight 1.9144, d_loss 0.9720, logits_real -0.1761, logits_fake -0.1792,
Train Epoch: [1/10] Iters:[130/20018] gen_loss 0.5480, rec_loss 0.0255, lpips_loss 0.1759, g_loss 0.1778, disc_weight 0.5000, disc_adaptive_weight 1.9519, d_loss 0.9302, logits_real -0.1751, logits_fake -0.1769,
Train Epoch: [1/10] Iters:[140/20018] gen_loss 0.5414, rec_loss 0.0250, lpips_loss 0.1753, g_loss 0.1755, disc_weight 0.5000, disc_adaptive_weight 1.9443, d_loss 0.8928, logits_real -0.1740, logits_fake -0.1750,
Train Epoch: [1/10] Iters:[150/20018] gen_loss 0.5229, rec_loss 0.0252, lpips_loss 0.1753, g_loss 0.1740, disc_weight 0.5000, disc_adaptive_weight 1.8502, d_loss 0.8635, logits_real -0.1732, logits_fake -0.1738,
Train Epoch: [1/10] Iters:[160/20018] gen_loss 0.5109, rec_loss 0.0249, lpips_loss 0.1746, g_loss 0.1725, disc_weight 0.5000, disc_adaptive_weight 1.8048, d_loss 0.8368, logits_real -0.1722, logits_fake -0.1725,
Train Epoch: [1/10] Iters:[170/20018] gen_loss 0.5068, rec_loss 0.0247, lpips_loss 0.1752, g_loss 0.1715, disc_weight 0.5000, disc_adaptive_weight 1.7897, d_loss 0.8153, logits_real -0.1715, logits_fake -0.1713,
Train Epoch: [1/10] Iters:[180/20018] gen_loss 0.5135, rec_loss 0.0244, lpips_loss 0.1739, g_loss 0.1704, disc_weight 0.5000, disc_adaptive_weight 1.8510, d_loss 0.7966, logits_real -0.1707, logits_fake -0.1704,
Train Epoch: [1/10] Iters:[190/20018] gen_loss 0.5156, rec_loss 0.0244, lpips_loss 0.1737, g_loss 0.1693, disc_weight 0.5000, disc_adaptive_weight 1.8778, d_loss 0.7812, logits_real -0.1697, logits_fake -0.1693,
Train Epoch: [1/10] Iters:[200/20018] gen_loss 0.5352, rec_loss 0.0243, lpips_loss 0.1735, g_loss 0.1682, disc_weight 0.5000, disc_adaptive_weight 2.0080, d_loss 0.7660, logits_real -0.1689, logits_fake -0.1685,
Train Epoch: [1/10] Iters:[210/20018] gen_loss 0.5348, rec_loss 0.0241, lpips_loss 0.1719, g_loss 0.1678, disc_weight 0.5000, disc_adaptive_weight 2.0200, d_loss 0.7530, logits_real -0.1686, logits_fake -0.1676,
Train Epoch: [1/10] Iters:[220/20018] gen_loss 0.5338, rec_loss 0.0240, lpips_loss 0.1716, g_loss 0.1675, disc_weight 0.5000, disc_adaptive_weight 2.0202, d_loss 0.7411, logits_real -0.1682, logits_fake -0.1672,
Train Epoch: [1/10] Iters:[230/20018] gen_loss 0.5361, rec_loss 0.0241, lpips_loss 0.1720, g_loss 0.1668, disc_weight 0.5000, disc_adaptive_weight 2.0412, d_loss 0.7300, logits_real -0.1676, logits_fake -0.1667,
Train Epoch: [1/10] Iters:[240/20018] gen_loss 0.5410, rec_loss 0.0249, lpips_loss 0.1733, g_loss 0.1665, disc_weight 0.5000, disc_adaptive_weight 2.0619, d_loss 0.7213, logits_real -0.1673, logits_fake -0.1663,
Train Epoch: [1/10] Iters:[250/20018] gen_loss 0.5332, rec_loss 0.0246, lpips_loss 0.1728, g_loss 0.1661, disc_weight 0.5000, disc_adaptive_weight 2.0246, d_loss 0.7126, logits_real -0.1666, logits_fake -0.1657,
Train Epoch: [1/10] Iters:[260/20018] gen_loss 0.5376, rec_loss 0.0246, lpips_loss 0.1743, g_loss 0.1654, disc_weight 0.5000, disc_adaptive_weight 2.0500, d_loss 0.7048, logits_real -0.1658, logits_fake -0.1651,
Train Epoch: [1/10] Iters:[270/20018] gen_loss 0.5337, rec_loss 0.0246, lpips_loss 0.1736, g_loss 0.1643, disc_weight 0.5000, disc_adaptive_weight 2.0434, d_loss 0.6980, logits_real -0.1648, logits_fake -0.1640,
Train Epoch: [1/10] Iters:[280/20018] gen_loss 0.5300, rec_loss 0.0244, lpips_loss 0.1728, g_loss 0.1636, disc_weight 0.5000, disc_adaptive_weight 2.0364, d_loss 0.6917, logits_real -0.1640, logits_fake -0.1633,
Train Epoch: [1/10] Iters:[290/20018] gen_loss 0.5176, rec_loss 0.0235, lpips_loss 0.1707, g_loss 0.1626, disc_weight 0.5000, disc_adaptive_weight 1.9891, d_loss 0.6845, logits_real -0.1631, logits_fake -0.1624,
Train Epoch: [1/10] Iters:[300/20018] gen_loss 0.5195, rec_loss 0.0240, lpips_loss 0.1706, g_loss 0.1617, disc_weight 0.5000, disc_adaptive_weight 2.0083, d_loss 0.6799, logits_real -0.1623, logits_fake -0.1618,
Train Epoch: [1/10] Iters:[310/20018] gen_loss 0.5112, rec_loss 0.0239, lpips_loss 0.1709, g_loss 0.1609, disc_weight 0.5000, disc_adaptive_weight 1.9653, d_loss 0.6743, logits_real -0.1614, logits_fake -0.1611,
Train Epoch: [1/10] Iters:[320/20018] gen_loss 0.5279, rec_loss 0.0245, lpips_loss 0.1724, g_loss 0.1604, disc_weight 0.5000, disc_adaptive_weight 2.0624, d_loss 0.6696, logits_real -0.1609, logits_fake -0.1607,
Train Epoch: [1/10] Iters:[330/20018] gen_loss 0.5070, rec_loss 0.0250, lpips_loss 0.1738, g_loss 0.1596, disc_weight 0.5000, disc_adaptive_weight 1.9309, d_loss 0.6651, logits_real -0.1603, logits_fake -0.1599,
Train Epoch: [1/10] Iters:[340/20018] gen_loss 0.5198, rec_loss 0.0250, lpips_loss 0.1737, g_loss 0.1591, disc_weight 0.5000, disc_adaptive_weight 2.0172, d_loss 0.6608, logits_real -0.1598, logits_fake -0.1593,
Train Epoch: [1/10] Iters:[350/20018] gen_loss 0.5079, rec_loss 0.0247, lpips_loss 0.1744, g_loss 0.1585, disc_weight 0.5000, disc_adaptive_weight 1.9479, d_loss 0.6554, logits_real -0.1592, logits_fake -0.1587,
Train Epoch: [1/10] Iters:[360/20018] gen_loss 0.5050, rec_loss 0.0248, lpips_loss 0.1738, g_loss 0.1579, disc_weight 0.5000, disc_adaptive_weight 1.9393, d_loss 0.6513, logits_real -0.1587, logits_fake -0.1581,
Train Epoch: [1/10] Iters:[370/20018] gen_loss 0.4812, rec_loss 0.0241, lpips_loss 0.1724, g_loss 0.1571, disc_weight 0.5000, disc_adaptive_weight 1.8122, d_loss 0.6466, logits_real -0.1581, logits_fake -0.1573,
Train Epoch: [1/10] Iters:[380/20018] gen_loss 0.4926, rec_loss 0.0243, lpips_loss 0.1716, g_loss 0.1565, disc_weight 0.5000, disc_adaptive_weight 1.8946, d_loss 0.6423, logits_real -0.1573, logits_fake -0.1566,
Train Epoch: [1/10] Iters:[390/20018] gen_loss 0.4838, rec_loss 0.0245, lpips_loss 0.1727, g_loss 0.1558, disc_weight 0.5000, disc_adaptive_weight 1.8389, d_loss 0.6391, logits_real -0.1565, logits_fake -0.1560,
Train Epoch: [1/10] Iters:[400/20018] gen_loss 0.4862, rec_loss 0.0244, lpips_loss 0.1709, g_loss 0.1551, disc_weight 0.5000, disc_adaptive_weight 1.8748, d_loss 0.6360, logits_real -0.1557, logits_fake -0.1551,
Train Epoch: [1/10] Iters:[410/20018] gen_loss 0.4901, rec_loss 0.0242, lpips_loss 0.1705, g_loss 0.1545, disc_weight 0.5000, disc_adaptive_weight 1.9109, d_loss 0.6329, logits_real -0.1550, logits_fake -0.1545,
Train Epoch: [1/10] Iters:[420/20018] gen_loss 0.4971, rec_loss 0.0242, lpips_loss 0.1705, g_loss 0.1539, disc_weight 0.5000, disc_adaptive_weight 1.9635, d_loss 0.6299, logits_real -0.1546, logits_fake -0.1540,
Train Epoch: [1/10] Iters:[430/20018] gen_loss 0.4867, rec_loss 0.0237, lpips_loss 0.1703, g_loss 0.1533, disc_weight 0.5000, disc_adaptive_weight 1.9077, d_loss 0.6269, logits_real -0.1540, logits_fake -0.1532,
Train Epoch: [1/10] Iters:[440/20018] gen_loss 0.4781, rec_loss 0.0238, lpips_loss 0.1706, g_loss 0.1526, disc_weight 0.5000, disc_adaptive_weight 1.8568, d_loss 0.6236, logits_real -0.1537, logits_fake -0.1525,
Train Epoch: [1/10] Iters:[450/20018] gen_loss 0.4907, rec_loss 0.0238, lpips_loss 0.1719, g_loss 0.1523, disc_weight 0.5000, disc_adaptive_weight 1.9341, d_loss 0.6206, logits_real -0.1533, logits_fake -0.1521,
Train Epoch: [1/10] Iters:[460/20018] gen_loss 0.4794, rec_loss 0.0240, lpips_loss 0.1716, g_loss 0.1516, disc_weight 0.5000, disc_adaptive_weight 1.8686, d_loss 0.6176, logits_real -0.1528, logits_fake -0.1514,
Train Epoch: [1/10] Iters:[470/20018] gen_loss 0.4721, rec_loss 0.0242, lpips_loss 0.1730, g_loss 0.1512, disc_weight 0.5000, disc_adaptive_weight 1.8156, d_loss 0.6147, logits_real -0.1521, logits_fake -0.1508,
Train Epoch: [1/10] Iters:[480/20018] gen_loss 0.4749, rec_loss 0.0241, lpips_loss 0.1733, g_loss 0.1506, disc_weight 0.5000, disc_adaptive_weight 1.8408, d_loss 0.6122, logits_real -0.1515, logits_fake -0.1504,
Train Epoch: [1/10] Iters:[490/20018] gen_loss 0.4881, rec_loss 0.0236, lpips_loss 0.1727, g_loss 0.1500, disc_weight 0.5000, disc_adaptive_weight 1.9434, d_loss 0.6095, logits_real -0.1508, logits_fake -0.1499,
Train Epoch: [1/10] Iters:[500/20018] gen_loss 0.4769, rec_loss 0.0238, lpips_loss 0.1723, g_loss 0.1491, disc_weight 0.5000, disc_adaptive_weight 1.8836, d_loss 0.6066, logits_real -0.1500, logits_fake -0.1492,
Train Epoch: [1/10] Iters:[510/20018] gen_loss 0.4910, rec_loss 0.0239, lpips_loss 0.1726, g_loss 0.1485, disc_weight 0.5000, disc_adaptive_weight 1.9851, d_loss 0.6040, logits_real -0.1494, logits_fake -0.1487,
Train Epoch: [1/10] Iters:[520/20018] gen_loss 0.5029, rec_loss 0.0239, lpips_loss 0.1714, g_loss 0.1477, disc_weight 0.5000, disc_adaptive_weight 2.0828, d_loss 0.6010, logits_real -0.1488, logits_fake -0.1481,
Train Epoch: [1/10] Iters:[530/20018] gen_loss 0.5089, rec_loss 0.0241, lpips_loss 0.1718, g_loss 0.1472, disc_weight 0.5000, disc_adaptive_weight 2.1264, d_loss 0.5987, logits_real -0.1481, logits_fake -0.1474,
Train Epoch: [1/10] Iters:[540/20018] gen_loss 0.4970, rec_loss 0.0246, lpips_loss 0.1720, g_loss 0.1464, disc_weight 0.5000, disc_adaptive_weight 2.0513, d_loss 0.5965, logits_real -0.1473, logits_fake -0.1465,
Train Epoch: [1/10] Iters:[550/20018] gen_loss 0.4846, rec_loss 0.0246, lpips_loss 0.1728, g_loss 0.1458, disc_weight 0.5000, disc_adaptive_weight 1.9679, d_loss 0.5940, logits_real -0.1468, logits_fake -0.1459,
Train Epoch: [1/10] Iters:[560/20018] gen_loss 0.4758, rec_loss 0.0246, lpips_loss 0.1741, g_loss 0.1453, disc_weight 0.5000, disc_adaptive_weight 1.9045, d_loss 0.5919, logits_real -0.1462, logits_fake -0.1453,
Train Epoch: [1/10] Iters:[570/20018] gen_loss 0.4659, rec_loss 0.0246, lpips_loss 0.1750, g_loss 0.1448, disc_weight 0.5000, disc_adaptive_weight 1.8367, d_loss 0.5897, logits_real -0.1456, logits_fake -0.1447,
Train Epoch: [1/10] Iters:[580/20018] gen_loss 0.4586, rec_loss 0.0243, lpips_loss 0.1741, g_loss 0.1440, disc_weight 0.5000, disc_adaptive_weight 1.8077, d_loss 0.5871, logits_real -0.1450, logits_fake -0.1441,
Train Epoch: [1/10] Iters:[590/20018] gen_loss 0.4682, rec_loss 0.0243, lpips_loss 0.1747, g_loss 0.1434, disc_weight 0.5000, disc_adaptive_weight 1.8774, d_loss 0.5848, logits_real -0.1443, logits_fake -0.1436,
Train Epoch: [1/10] Iters:[600/20018] gen_loss 0.4788, rec_loss 0.0240, lpips_loss 0.1742, g_loss 0.1431, disc_weight 0.5000, disc_adaptive_weight 1.9618, d_loss 0.5834, logits_real -0.1438, logits_fake -0.1430,
Train Epoch: [1/10] Iters:[610/20018] gen_loss 0.4846, rec_loss 0.0239, lpips_loss 0.1732, g_loss 0.1425, disc_weight 0.5000, disc_adaptive_weight 2.0189, d_loss 0.5811, logits_real -0.1433, logits_fake -0.1425,
Train Epoch: [1/10] Iters:[620/20018] gen_loss 0.4903, rec_loss 0.0239, lpips_loss 0.1722, g_loss 0.1421, disc_weight 0.5000, disc_adaptive_weight 2.0704, d_loss 0.5793, logits_real -0.1428, logits_fake -0.1421,
Train Epoch: [1/10] Iters:[630/20018] gen_loss 0.4850, rec_loss 0.0238, lpips_loss 0.1718, g_loss 0.1418, disc_weight 0.5000, disc_adaptive_weight 2.0405, d_loss 0.5777, logits_real -0.1423, logits_fake -0.1416,
Train Epoch: [1/10] Iters:[640/20018] gen_loss 0.4693, rec_loss 0.0236, lpips_loss 0.1712, g_loss 0.1414, disc_weight 0.5000, disc_adaptive_weight 1.9394, d_loss 0.5760, logits_real -0.1422, logits_fake -0.1413,
Train Epoch: [1/10] Iters:[650/20018] gen_loss 0.4676, rec_loss 0.0237, lpips_loss 0.1713, g_loss 0.1407, disc_weight 0.5000, disc_adaptive_weight 1.9342, d_loss 0.5738, logits_real -0.1416, logits_fake -0.1406,
Train Epoch: [1/10] Iters:[660/20018] gen_loss 0.4540, rec_loss 0.0236, lpips_loss 0.1714, g_loss 0.1402, disc_weight 0.5000, disc_adaptive_weight 1.8443, d_loss 0.5723, logits_real -0.1410, logits_fake -0.1398,
Train Epoch: [1/10] Iters:[670/20018] gen_loss 0.4628, rec_loss 0.0235, lpips_loss 0.1723, g_loss 0.1394, disc_weight 0.5000, disc_adaptive_weight 1.9148, d_loss 0.5710, logits_real -0.1402, logits_fake -0.1391,
Train Epoch: [1/10] Iters:[680/20018] gen_loss 0.4639, rec_loss 0.0234, lpips_loss 0.1726, g_loss 0.1386, disc_weight 0.5000, disc_adaptive_weight 1.9319, d_loss 0.5689, logits_real -0.1394, logits_fake -0.1383,
Train Epoch: [1/10] Iters:[690/20018] gen_loss 0.4676, rec_loss 0.0234, lpips_loss 0.1732, g_loss 0.1378, disc_weight 0.5000, disc_adaptive_weight 1.9638, d_loss 0.5672, logits_real -0.1384, logits_fake -0.1375,
Train Epoch: [1/10] Iters:[700/20018] gen_loss 0.4686, rec_loss 0.0236, lpips_loss 0.1729, g_loss 0.1367, disc_weight 0.5000, disc_adaptive_weight 1.9891, d_loss 0.5656, logits_real -0.1373, logits_fake -0.1366,
Train Epoch: [1/10] Iters:[710/20018] gen_loss 0.4723, rec_loss 0.0237, lpips_loss 0.1727, g_loss 0.1359, disc_weight 0.5000, disc_adaptive_weight 2.0289, d_loss 0.5639, logits_real -0.1365, logits_fake -0.1360,
Train Epoch: [1/10] Iters:[720/20018] gen_loss 0.4555, rec_loss 0.0237, lpips_loss 0.1720, g_loss 0.1351, disc_weight 0.5000, disc_adaptive_weight 1.9214, d_loss 0.5624, logits_real -0.1359, logits_fake -0.1352,
Train Epoch: [1/10] Iters:[730/20018] gen_loss 0.4727, rec_loss 0.0241, lpips_loss 0.1730, g_loss 0.1345, disc_weight 0.5000, disc_adaptive_weight 2.0490, d_loss 0.5612, logits_real -0.1352, logits_fake -0.1347,
Train Epoch: [1/10] Iters:[740/20018] gen_loss 0.4746, rec_loss 0.0244, lpips_loss 0.1733, g_loss 0.1336, disc_weight 0.5000, disc_adaptive_weight 2.0712, d_loss 0.5598, logits_real -0.1344, logits_fake -0.1339,
Train Epoch: [1/10] Iters:[750/20018] gen_loss 0.4774, rec_loss 0.0241, lpips_loss 0.1725, g_loss 0.1333, disc_weight 0.5000, disc_adaptive_weight 2.1068, d_loss 0.5587, logits_real -0.1340, logits_fake -0.1333,
Train Epoch: [1/10] Iters:[760/20018] gen_loss 0.4861, rec_loss 0.0240, lpips_loss 0.1731, g_loss 0.1326, disc_weight 0.5000, disc_adaptive_weight 2.1782, d_loss 0.5575, logits_real -0.1334, logits_fake -0.1325,
Train Epoch: [1/10] Iters:[770/20018] gen_loss 0.4782, rec_loss 0.0238, lpips_loss 0.1730, g_loss 0.1321, disc_weight 0.5000, disc_adaptive_weight 2.1279, d_loss 0.5558, logits_real -0.1327, logits_fake -0.1320,
Train Epoch: [1/10] Iters:[780/20018] gen_loss 0.4586, rec_loss 0.0236, lpips_loss 0.1723, g_loss 0.1315, disc_weight 0.5000, disc_adaptive_weight 1.9979, d_loss 0.5545, logits_real -0.1321, logits_fake -0.1311,
Train Epoch: [1/10] Iters:[790/20018] gen_loss 0.4611, rec_loss 0.0234, lpips_loss 0.1721, g_loss 0.1310, disc_weight 0.5000, disc_adaptive_weight 2.0276, d_loss 0.5534, logits_real -0.1316, logits_fake -0.1305,
Train Epoch: [1/10] Iters:[800/20018] gen_loss 0.4499, rec_loss 0.0236, lpips_loss 0.1728, g_loss 0.1302, disc_weight 0.5000, disc_adaptive_weight 1.9457, d_loss 0.5521, logits_real -0.1308, logits_fake -0.1299,
Train Epoch: [1/10] Iters:[810/20018] gen_loss 0.4477, rec_loss 0.0238, lpips_loss 0.1727, g_loss 0.1298, disc_weight 0.5000, disc_adaptive_weight 1.9362, d_loss 0.5510, logits_real -0.1300, logits_fake -0.1294,
Train Epoch: [1/10] Iters:[820/20018] gen_loss 0.4522, rec_loss 0.0237, lpips_loss 0.1724, g_loss 0.1290, disc_weight 0.5000, disc_adaptive_weight 1.9835, d_loss 0.5499, logits_real -0.1293, logits_fake -0.1287,
Train Epoch: [1/10] Iters:[830/20018] gen_loss 0.4454, rec_loss 0.0237, lpips_loss 0.1722, g_loss 0.1283, disc_weight 0.5000, disc_adaptive_weight 1.9421, d_loss 0.5488, logits_real -0.1288, logits_fake -0.1282,
Train Epoch: [1/10] Iters:[840/20018] gen_loss 0.4437, rec_loss 0.0235, lpips_loss 0.1717, g_loss 0.1278, disc_weight 0.5000, disc_adaptive_weight 1.9425, d_loss 0.5479, logits_real -0.1283, logits_fake -0.1279,
Train Epoch: [1/10] Iters:[850/20018] gen_loss 0.4484, rec_loss 0.0233, lpips_loss 0.1710, g_loss 0.1274, disc_weight 0.5000, disc_adaptive_weight 1.9939, d_loss 0.5464, logits_real -0.1280, logits_fake -0.1276,
Train Epoch: [1/10] Iters:[860/20018] gen_loss 0.4509, rec_loss 0.0235, lpips_loss 0.1712, g_loss 0.1267, disc_weight 0.5000, disc_adaptive_weight 2.0213, d_loss 0.5459, logits_real -0.1274, logits_fake -0.1270,
Train Epoch: [1/10] Iters:[870/20018] gen_loss 0.4567, rec_loss 0.0238, lpips_loss 0.1723, g_loss 0.1263, disc_weight 0.5000, disc_adaptive_weight 2.0639, d_loss 0.5450, logits_real -0.1268, logits_fake -0.1265,
Train Epoch: [1/10] Iters:[880/20018] gen_loss 0.4659, rec_loss 0.0239, lpips_loss 0.1731, g_loss 0.1258, disc_weight 0.5000, disc_adaptive_weight 2.1364, d_loss 0.5441, logits_real -0.1263, logits_fake -0.1262,
Train Epoch: [1/10] Iters:[890/20018] gen_loss 0.4638, rec_loss 0.0237, lpips_loss 0.1725, g_loss 0.1252, disc_weight 0.5000, disc_adaptive_weight 2.1366, d_loss 0.5431, logits_real -0.1257, logits_fake -0.1254,
Train Epoch: [1/10] Iters:[900/20018] gen_loss 0.4647, rec_loss 0.0241, lpips_loss 0.1743, g_loss 0.1247, disc_weight 0.5000, disc_adaptive_weight 2.1352, d_loss 0.5427, logits_real -0.1250, logits_fake -0.1246,
Train Epoch: [1/10] Iters:[910/20018] gen_loss 0.4580, rec_loss 0.0241, lpips_loss 0.1740, g_loss 0.1241, disc_weight 0.5000, disc_adaptive_weight 2.0933, d_loss 0.5410, logits_real -0.1245, logits_fake -0.1240,
