dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True_10
saver_name_pre: wasserstein_vq_refinement_True_10_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss -0.8271, rec_loss 0.0235, lpips_loss 0.1791, g_loss -0.1784, disc_weight 0.5000, disc_adaptive_weight 5.5725, d_loss 2.4870, logits_real 0.1403, logits_fake 0.1815,
Train Epoch: [1/10] Iters:[120/20018] gen_loss -0.1080, rec_loss 0.0267, lpips_loss 0.1829, g_loss -0.1411, disc_weight 0.5000, disc_adaptive_weight 2.2528, d_loss 0.9624, logits_real 0.1434, logits_fake 0.1415,
Train Epoch: [1/10] Iters:[130/20018] gen_loss -0.1423, rec_loss 0.0268, lpips_loss 0.1835, g_loss -0.1372, disc_weight 0.5000, disc_adaptive_weight 2.5778, d_loss 0.9211, logits_real 0.1431, logits_fake 0.1373,
Train Epoch: [1/10] Iters:[140/20018] gen_loss -0.1637, rec_loss 0.0262, lpips_loss 0.1835, g_loss -0.1350, disc_weight 0.5000, disc_adaptive_weight 2.7751, d_loss 0.8846, logits_real 0.1427, logits_fake 0.1353,
Train Epoch: [1/10] Iters:[150/20018] gen_loss -0.1573, rec_loss 0.0266, lpips_loss 0.1842, g_loss -0.1344, disc_weight 0.5000, disc_adaptive_weight 2.7487, d_loss 0.8559, logits_real 0.1428, logits_fake 0.1343,
Train Epoch: [1/10] Iters:[160/20018] gen_loss -0.1606, rec_loss 0.0262, lpips_loss 0.1834, g_loss -0.1344, disc_weight 0.5000, disc_adaptive_weight 2.7618, d_loss 0.8285, logits_real 0.1433, logits_fake 0.1344,
Train Epoch: [1/10] Iters:[170/20018] gen_loss -0.1716, rec_loss 0.0261, lpips_loss 0.1843, g_loss -0.1348, disc_weight 0.5000, disc_adaptive_weight 2.8401, d_loss 0.8063, logits_real 0.1434, logits_fake 0.1353,
Train Epoch: [1/10] Iters:[180/20018] gen_loss -0.1764, rec_loss 0.0258, lpips_loss 0.1824, g_loss -0.1370, disc_weight 0.5000, disc_adaptive_weight 2.8038, d_loss 0.7883, logits_real 0.1437, logits_fake 0.1374,
Train Epoch: [1/10] Iters:[190/20018] gen_loss -0.1624, rec_loss 0.0260, lpips_loss 0.1820, g_loss -0.1388, disc_weight 0.5000, disc_adaptive_weight 2.6622, d_loss 0.7727, logits_real 0.1438, logits_fake 0.1388,
Train Epoch: [1/10] Iters:[200/20018] gen_loss -0.1629, rec_loss 0.0258, lpips_loss 0.1811, g_loss -0.1404, disc_weight 0.5000, disc_adaptive_weight 2.6313, d_loss 0.7588, logits_real 0.1437, logits_fake 0.1404,
Train Epoch: [1/10] Iters:[210/20018] gen_loss -0.1549, rec_loss 0.0256, lpips_loss 0.1794, g_loss -0.1414, disc_weight 0.5000, disc_adaptive_weight 2.5469, d_loss 0.7469, logits_real 0.1429, logits_fake 0.1413,
Train Epoch: [1/10] Iters:[220/20018] gen_loss -0.1469, rec_loss 0.0254, lpips_loss 0.1786, g_loss -0.1424, disc_weight 0.5000, disc_adaptive_weight 2.4661, d_loss 0.7356, logits_real 0.1427, logits_fake 0.1418,
Train Epoch: [1/10] Iters:[230/20018] gen_loss -0.1020, rec_loss 0.0253, lpips_loss 0.1790, g_loss -0.1423, disc_weight 0.5000, disc_adaptive_weight 2.1530, d_loss 0.7246, logits_real 0.1423, logits_fake 0.1420,
Train Epoch: [1/10] Iters:[240/20018] gen_loss -0.0720, rec_loss 0.0259, lpips_loss 0.1799, g_loss -0.1425, disc_weight 0.5000, disc_adaptive_weight 1.9496, d_loss 0.7163, logits_real 0.1422, logits_fake 0.1422,
Train Epoch: [1/10] Iters:[250/20018] gen_loss -0.0642, rec_loss 0.0255, lpips_loss 0.1795, g_loss -0.1426, disc_weight 0.5000, disc_adaptive_weight 1.8870, d_loss 0.7072, logits_real 0.1422, logits_fake 0.1423,
Train Epoch: [1/10] Iters:[260/20018] gen_loss -0.0729, rec_loss 0.0254, lpips_loss 0.1807, g_loss -0.1426, disc_weight 0.5000, disc_adaptive_weight 1.9560, d_loss 0.6993, logits_real 0.1426, logits_fake 0.1428,
Train Epoch: [1/10] Iters:[270/20018] gen_loss -0.0658, rec_loss 0.0256, lpips_loss 0.1802, g_loss -0.1429, disc_weight 0.5000, disc_adaptive_weight 1.9004, d_loss 0.6929, logits_real 0.1426, logits_fake 0.1431,
Train Epoch: [1/10] Iters:[280/20018] gen_loss -0.0736, rec_loss 0.0253, lpips_loss 0.1793, g_loss -0.1428, disc_weight 0.5000, disc_adaptive_weight 1.9470, d_loss 0.6866, logits_real 0.1424, logits_fake 0.1430,
Train Epoch: [1/10] Iters:[290/20018] gen_loss -0.0852, rec_loss 0.0247, lpips_loss 0.1774, g_loss -0.1428, disc_weight 0.5000, disc_adaptive_weight 2.0110, d_loss 0.6792, logits_real 0.1421, logits_fake 0.1431,
Train Epoch: [1/10] Iters:[300/20018] gen_loss -0.0834, rec_loss 0.0252, lpips_loss 0.1774, g_loss -0.1427, disc_weight 0.5000, disc_adaptive_weight 2.0030, d_loss 0.6751, logits_real 0.1421, logits_fake 0.1429,
Train Epoch: [1/10] Iters:[310/20018] gen_loss -0.0768, rec_loss 0.0253, lpips_loss 0.1779, g_loss -0.1425, disc_weight 0.5000, disc_adaptive_weight 1.9627, d_loss 0.6697, logits_real 0.1417, logits_fake 0.1426,
Train Epoch: [1/10] Iters:[320/20018] gen_loss -0.0792, rec_loss 0.0258, lpips_loss 0.1792, g_loss -0.1418, disc_weight 0.5000, disc_adaptive_weight 2.0042, d_loss 0.6652, logits_real 0.1412, logits_fake 0.1421,
Train Epoch: [1/10] Iters:[330/20018] gen_loss -0.0704, rec_loss 0.0264, lpips_loss 0.1805, g_loss -0.1418, disc_weight 0.5000, disc_adaptive_weight 1.9563, d_loss 0.6610, logits_real 0.1411, logits_fake 0.1419,
Train Epoch: [1/10] Iters:[340/20018] gen_loss -0.0764, rec_loss 0.0263, lpips_loss 0.1801, g_loss -0.1417, disc_weight 0.5000, disc_adaptive_weight 1.9945, d_loss 0.6570, logits_real 0.1410, logits_fake 0.1416,
Train Epoch: [1/10] Iters:[350/20018] gen_loss -0.0771, rec_loss 0.0258, lpips_loss 0.1804, g_loss -0.1413, disc_weight 0.5000, disc_adaptive_weight 2.0047, d_loss 0.6518, logits_real 0.1404, logits_fake 0.1413,
Train Epoch: [1/10] Iters:[360/20018] gen_loss -0.0780, rec_loss 0.0259, lpips_loss 0.1797, g_loss -0.1412, disc_weight 0.5000, disc_adaptive_weight 2.0079, d_loss 0.6479, logits_real 0.1402, logits_fake 0.1412,
Train Epoch: [1/10] Iters:[370/20018] gen_loss -0.0738, rec_loss 0.0252, lpips_loss 0.1781, g_loss -0.1411, disc_weight 0.5000, disc_adaptive_weight 1.9617, d_loss 0.6433, logits_real 0.1402, logits_fake 0.1411,
Train Epoch: [1/10] Iters:[380/20018] gen_loss -0.0723, rec_loss 0.0255, lpips_loss 0.1774, g_loss -0.1408, disc_weight 0.5000, disc_adaptive_weight 1.9529, d_loss 0.6393, logits_real 0.1399, logits_fake 0.1409,
Train Epoch: [1/10] Iters:[390/20018] gen_loss -0.0644, rec_loss 0.0258, lpips_loss 0.1789, g_loss -0.1404, disc_weight 0.5000, disc_adaptive_weight 1.9148, d_loss 0.6364, logits_real 0.1396, logits_fake 0.1406,
Train Epoch: [1/10] Iters:[400/20018] gen_loss -0.0567, rec_loss 0.0257, lpips_loss 0.1772, g_loss -0.1401, disc_weight 0.5000, disc_adaptive_weight 1.8520, d_loss 0.6329, logits_real 0.1393, logits_fake 0.1404,
Train Epoch: [1/10] Iters:[410/20018] gen_loss -0.0594, rec_loss 0.0254, lpips_loss 0.1767, g_loss -0.1399, disc_weight 0.5000, disc_adaptive_weight 1.8695, d_loss 0.6297, logits_real 0.1391, logits_fake 0.1401,
Train Epoch: [1/10] Iters:[420/20018] gen_loss -0.0596, rec_loss 0.0253, lpips_loss 0.1766, g_loss -0.1396, disc_weight 0.5000, disc_adaptive_weight 1.8733, d_loss 0.6268, logits_real 0.1388, logits_fake 0.1397,
Train Epoch: [1/10] Iters:[430/20018] gen_loss -0.0634, rec_loss 0.0246, lpips_loss 0.1763, g_loss -0.1396, disc_weight 0.5000, disc_adaptive_weight 1.8940, d_loss 0.6230, logits_real 0.1387, logits_fake 0.1396,
Train Epoch: [1/10] Iters:[440/20018] gen_loss -0.0631, rec_loss 0.0248, lpips_loss 0.1766, g_loss -0.1393, disc_weight 0.5000, disc_adaptive_weight 1.9001, d_loss 0.6195, logits_real 0.1385, logits_fake 0.1392,
Train Epoch: [1/10] Iters:[450/20018] gen_loss -0.0725, rec_loss 0.0248, lpips_loss 0.1779, g_loss -0.1391, disc_weight 0.5000, disc_adaptive_weight 1.9797, d_loss 0.6165, logits_real 0.1383, logits_fake 0.1390,
Train Epoch: [1/10] Iters:[460/20018] gen_loss -0.0788, rec_loss 0.0250, lpips_loss 0.1777, g_loss -0.1388, disc_weight 0.5000, disc_adaptive_weight 2.0304, d_loss 0.6137, logits_real 0.1380, logits_fake 0.1388,
Train Epoch: [1/10] Iters:[470/20018] gen_loss -0.0712, rec_loss 0.0251, lpips_loss 0.1793, g_loss -0.1387, disc_weight 0.5000, disc_adaptive_weight 1.9896, d_loss 0.6109, logits_real 0.1378, logits_fake 0.1386,
Train Epoch: [1/10] Iters:[480/20018] gen_loss -0.0737, rec_loss 0.0251, lpips_loss 0.1797, g_loss -0.1383, disc_weight 0.5000, disc_adaptive_weight 2.0156, d_loss 0.6087, logits_real 0.1376, logits_fake 0.1383,
Train Epoch: [1/10] Iters:[490/20018] gen_loss -0.0793, rec_loss 0.0246, lpips_loss 0.1788, g_loss -0.1382, disc_weight 0.5000, disc_adaptive_weight 2.0482, d_loss 0.6057, logits_real 0.1373, logits_fake 0.1382,
Train Epoch: [1/10] Iters:[500/20018] gen_loss -0.0678, rec_loss 0.0248, lpips_loss 0.1781, g_loss -0.1379, disc_weight 0.5000, disc_adaptive_weight 1.9643, d_loss 0.6034, logits_real 0.1369, logits_fake 0.1380,
Train Epoch: [1/10] Iters:[510/20018] gen_loss -0.0592, rec_loss 0.0248, lpips_loss 0.1785, g_loss -0.1377, disc_weight 0.5000, disc_adaptive_weight 1.9078, d_loss 0.6012, logits_real 0.1367, logits_fake 0.1376,
Train Epoch: [1/10] Iters:[520/20018] gen_loss -0.0681, rec_loss 0.0249, lpips_loss 0.1773, g_loss -0.1374, disc_weight 0.5000, disc_adaptive_weight 1.9658, d_loss 0.5985, logits_real 0.1365, logits_fake 0.1373,
Train Epoch: [1/10] Iters:[530/20018] gen_loss -0.0637, rec_loss 0.0252, lpips_loss 0.1775, g_loss -0.1369, disc_weight 0.5000, disc_adaptive_weight 1.9448, d_loss 0.5958, logits_real 0.1359, logits_fake 0.1365,
Train Epoch: [1/10] Iters:[540/20018] gen_loss -0.0555, rec_loss 0.0256, lpips_loss 0.1777, g_loss -0.1360, disc_weight 0.5000, disc_adaptive_weight 1.9010, d_loss 0.5933, logits_real 0.1352, logits_fake 0.1359,
Train Epoch: [1/10] Iters:[550/20018] gen_loss -0.0589, rec_loss 0.0258, lpips_loss 0.1788, g_loss -0.1356, disc_weight 0.5000, disc_adaptive_weight 1.9417, d_loss 0.5910, logits_real 0.1348, logits_fake 0.1352,
Train Epoch: [1/10] Iters:[560/20018] gen_loss -0.0463, rec_loss 0.0257, lpips_loss 0.1801, g_loss -0.1349, disc_weight 0.5000, disc_adaptive_weight 1.8670, d_loss 0.5882, logits_real 0.1341, logits_fake 0.1346,
Train Epoch: [1/10] Iters:[570/20018] gen_loss -0.0414, rec_loss 0.0257, lpips_loss 0.1804, g_loss -0.1342, disc_weight 0.5000, disc_adaptive_weight 1.8432, d_loss 0.5862, logits_real 0.1335, logits_fake 0.1342,
Train Epoch: [1/10] Iters:[580/20018] gen_loss -0.0479, rec_loss 0.0254, lpips_loss 0.1798, g_loss -0.1339, disc_weight 0.5000, disc_adaptive_weight 1.8906, d_loss 0.5842, logits_real 0.1332, logits_fake 0.1338,
Train Epoch: [1/10] Iters:[590/20018] gen_loss -0.0598, rec_loss 0.0255, lpips_loss 0.1806, g_loss -0.1337, disc_weight 0.5000, disc_adaptive_weight 1.9915, d_loss 0.5827, logits_real 0.1330, logits_fake 0.1335,
Train Epoch: [1/10] Iters:[600/20018] gen_loss -0.0620, rec_loss 0.0251, lpips_loss 0.1799, g_loss -0.1330, disc_weight 0.5000, disc_adaptive_weight 2.0091, d_loss 0.5810, logits_real 0.1324, logits_fake 0.1330,
Train Epoch: [1/10] Iters:[610/20018] gen_loss -0.0652, rec_loss 0.0251, lpips_loss 0.1789, g_loss -0.1327, disc_weight 0.5000, disc_adaptive_weight 2.0288, d_loss 0.5792, logits_real 0.1320, logits_fake 0.1327,
Train Epoch: [1/10] Iters:[620/20018] gen_loss -0.0654, rec_loss 0.0252, lpips_loss 0.1786, g_loss -0.1324, disc_weight 0.5000, disc_adaptive_weight 2.0336, d_loss 0.5768, logits_real 0.1316, logits_fake 0.1322,
Train Epoch: [1/10] Iters:[630/20018] gen_loss -0.0577, rec_loss 0.0251, lpips_loss 0.1780, g_loss -0.1320, disc_weight 0.5000, disc_adaptive_weight 1.9739, d_loss 0.5750, logits_real 0.1314, logits_fake 0.1318,
Train Epoch: [1/10] Iters:[640/20018] gen_loss -0.0400, rec_loss 0.0248, lpips_loss 0.1772, g_loss -0.1316, disc_weight 0.5000, disc_adaptive_weight 1.8363, d_loss 0.5730, logits_real 0.1310, logits_fake 0.1314,
Train Epoch: [1/10] Iters:[650/20018] gen_loss -0.0372, rec_loss 0.0248, lpips_loss 0.1772, g_loss -0.1313, disc_weight 0.5000, disc_adaptive_weight 1.8217, d_loss 0.5711, logits_real 0.1305, logits_fake 0.1311,
Train Epoch: [1/10] Iters:[660/20018] gen_loss -0.0452, rec_loss 0.0247, lpips_loss 0.1770, g_loss -0.1305, disc_weight 0.5000, disc_adaptive_weight 1.8923, d_loss 0.5692, logits_real 0.1298, logits_fake 0.1303,
Train Epoch: [1/10] Iters:[670/20018] gen_loss -0.0438, rec_loss 0.0245, lpips_loss 0.1777, g_loss -0.1297, disc_weight 0.5000, disc_adaptive_weight 1.8986, d_loss 0.5686, logits_real 0.1289, logits_fake 0.1295,
Train Epoch: [1/10] Iters:[680/20018] gen_loss -0.0588, rec_loss 0.0245, lpips_loss 0.1782, g_loss -0.1289, disc_weight 0.5000, disc_adaptive_weight 2.0317, d_loss 0.5670, logits_real 0.1279, logits_fake 0.1289,
Train Epoch: [1/10] Iters:[690/20018] gen_loss -0.0703, rec_loss 0.0246, lpips_loss 0.1788, g_loss -0.1282, disc_weight 0.5000, disc_adaptive_weight 2.1362, d_loss 0.5657, logits_real 0.1273, logits_fake 0.1281,
Train Epoch: [1/10] Iters:[700/20018] gen_loss -0.0712, rec_loss 0.0248, lpips_loss 0.1786, g_loss -0.1278, disc_weight 0.5000, disc_adaptive_weight 2.1482, d_loss 0.5640, logits_real 0.1269, logits_fake 0.1275,
Train Epoch: [1/10] Iters:[710/20018] gen_loss -0.0708, rec_loss 0.0248, lpips_loss 0.1783, g_loss -0.1274, disc_weight 0.5000, disc_adaptive_weight 2.1492, d_loss 0.5631, logits_real 0.1264, logits_fake 0.1272,
Train Epoch: [1/10] Iters:[720/20018] gen_loss -0.0707, rec_loss 0.0248, lpips_loss 0.1775, g_loss -0.1273, disc_weight 0.5000, disc_adaptive_weight 2.1428, d_loss 0.5607, logits_real 0.1264, logits_fake 0.1271,
Train Epoch: [1/10] Iters:[730/20018] gen_loss -0.0663, rec_loss 0.0252, lpips_loss 0.1785, g_loss -0.1272, disc_weight 0.5000, disc_adaptive_weight 2.1243, d_loss 0.5594, logits_real 0.1262, logits_fake 0.1268,
Train Epoch: [1/10] Iters:[740/20018] gen_loss -0.0632, rec_loss 0.0255, lpips_loss 0.1788, g_loss -0.1269, disc_weight 0.5000, disc_adaptive_weight 2.1084, d_loss 0.5576, logits_real 0.1260, logits_fake 0.1266,
Train Epoch: [1/10] Iters:[750/20018] gen_loss -0.0733, rec_loss 0.0251, lpips_loss 0.1781, g_loss -0.1263, disc_weight 0.5000, disc_adaptive_weight 2.1906, d_loss 0.5557, logits_real 0.1255, logits_fake 0.1263,
Train Epoch: [1/10] Iters:[760/20018] gen_loss -0.0755, rec_loss 0.0250, lpips_loss 0.1790, g_loss -0.1260, disc_weight 0.5000, disc_adaptive_weight 2.2197, d_loss 0.5536, logits_real 0.1253, logits_fake 0.1259,
Train Epoch: [1/10] Iters:[770/20018] gen_loss -0.0821, rec_loss 0.0249, lpips_loss 0.1791, g_loss -0.1253, disc_weight 0.5000, disc_adaptive_weight 2.2837, d_loss 0.5530, logits_real 0.1246, logits_fake 0.1253,
Train Epoch: [1/10] Iters:[780/20018] gen_loss -0.0741, rec_loss 0.0248, lpips_loss 0.1784, g_loss -0.1247, disc_weight 0.5000, disc_adaptive_weight 2.2243, d_loss 0.5517, logits_real 0.1240, logits_fake 0.1248,
Train Epoch: [1/10] Iters:[790/20018] gen_loss -0.0748, rec_loss 0.0247, lpips_loss 0.1782, g_loss -0.1242, disc_weight 0.5000, disc_adaptive_weight 2.2383, d_loss 0.5507, logits_real 0.1234, logits_fake 0.1241,
Train Epoch: [1/10] Iters:[800/20018] gen_loss -0.0693, rec_loss 0.0250, lpips_loss 0.1790, g_loss -0.1235, disc_weight 0.5000, disc_adaptive_weight 2.2156, d_loss 0.5504, logits_real 0.1229, logits_fake 0.1233,
Train Epoch: [1/10] Iters:[810/20018] gen_loss -0.0677, rec_loss 0.0252, lpips_loss 0.1789, g_loss -0.1229, disc_weight 0.5000, disc_adaptive_weight 2.2137, d_loss 0.5501, logits_real 0.1224, logits_fake 0.1228,
Train Epoch: [1/10] Iters:[820/20018] gen_loss -0.0644, rec_loss 0.0251, lpips_loss 0.1785, g_loss -0.1223, disc_weight 0.5000, disc_adaptive_weight 2.1937, d_loss 0.5484, logits_real 0.1218, logits_fake 0.1222,
Train Epoch: [1/10] Iters:[830/20018] gen_loss -0.0537, rec_loss 0.0250, lpips_loss 0.1780, g_loss -0.1216, disc_weight 0.5000, disc_adaptive_weight 2.1102, d_loss 0.5474, logits_real 0.1212, logits_fake 0.1217,
Train Epoch: [1/10] Iters:[840/20018] gen_loss -0.0519, rec_loss 0.0248, lpips_loss 0.1778, g_loss -0.1209, disc_weight 0.5000, disc_adaptive_weight 2.1036, d_loss 0.5467, logits_real 0.1207, logits_fake 0.1212,
Train Epoch: [1/10] Iters:[850/20018] gen_loss -0.0487, rec_loss 0.0245, lpips_loss 0.1769, g_loss -0.1205, disc_weight 0.5000, disc_adaptive_weight 2.0744, d_loss 0.5458, logits_real 0.1201, logits_fake 0.1210,
Train Epoch: [1/10] Iters:[860/20018] gen_loss -0.0565, rec_loss 0.0248, lpips_loss 0.1770, g_loss -0.1199, disc_weight 0.5000, disc_adaptive_weight 2.1562, d_loss 0.5450, logits_real 0.1194, logits_fake 0.1202,
Train Epoch: [1/10] Iters:[870/20018] gen_loss -0.0579, rec_loss 0.0251, lpips_loss 0.1781, g_loss -0.1195, disc_weight 0.5000, disc_adaptive_weight 2.1876, d_loss 0.5446, logits_real 0.1189, logits_fake 0.1196,
Train Epoch: [1/10] Iters:[880/20018] gen_loss -0.0697, rec_loss 0.0252, lpips_loss 0.1789, g_loss -0.1189, disc_weight 0.5000, disc_adaptive_weight 2.3049, d_loss 0.5435, logits_real 0.1183, logits_fake 0.1190,
Train Epoch: [1/10] Iters:[890/20018] gen_loss -0.0672, rec_loss 0.0249, lpips_loss 0.1782, g_loss -0.1182, disc_weight 0.5000, disc_adaptive_weight 2.2870, d_loss 0.5425, logits_real 0.1176, logits_fake 0.1183,
Train Epoch: [1/10] Iters:[900/20018] gen_loss -0.0615, rec_loss 0.0255, lpips_loss 0.1803, g_loss -0.1177, disc_weight 0.5000, disc_adaptive_weight 2.2706, d_loss 0.5415, logits_real 0.1171, logits_fake 0.1176,
Train Epoch: [1/10] Iters:[910/20018] gen_loss -0.0504, rec_loss 0.0253, lpips_loss 0.1801, g_loss -0.1172, disc_weight 0.5000, disc_adaptive_weight 2.1837, d_loss 0.5402, logits_real 0.1165, logits_fake 0.1171,
