dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 15
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True_15
saver_name_pre: wasserstein_vq_refinement_True_15_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/15] Iters:[10/20018] gen_loss 0.6077, rec_loss 0.0225, lpips_loss 0.1724, g_loss 0.1985, disc_weight 0.5000, disc_adaptive_weight 2.1045, d_loss 2.5329, logits_real -0.1890, logits_fake -0.2031,
Train Epoch: [1/15] Iters:[320/20018] gen_loss 0.5260, rec_loss 0.0245, lpips_loss 0.1724, g_loss 0.1604, disc_weight 0.5000, disc_adaptive_weight 2.0502, d_loss 0.6696, logits_real -0.1609, logits_fake -0.1607,
Train Epoch: [1/15] Iters:[330/20018] gen_loss 0.5018, rec_loss 0.0250, lpips_loss 0.1738, g_loss 0.1596, disc_weight 0.5000, disc_adaptive_weight 1.8983, d_loss 0.6651, logits_real -0.1603, logits_fake -0.1599,
Train Epoch: [1/15] Iters:[340/20018] gen_loss 0.5162, rec_loss 0.0250, lpips_loss 0.1737, g_loss 0.1592, disc_weight 0.5000, disc_adaptive_weight 1.9940, d_loss 0.6609, logits_real -0.1598, logits_fake -0.1594,
Train Epoch: [1/15] Iters:[350/20018] gen_loss 0.5068, rec_loss 0.0247, lpips_loss 0.1744, g_loss 0.1585, disc_weight 0.5000, disc_adaptive_weight 1.9409, d_loss 0.6554, logits_real -0.1593, logits_fake -0.1587,
Train Epoch: [1/15] Iters:[360/20018] gen_loss 0.5052, rec_loss 0.0248, lpips_loss 0.1738, g_loss 0.1579, disc_weight 0.5000, disc_adaptive_weight 1.9402, d_loss 0.6513, logits_real -0.1588, logits_fake -0.1582,
Train Epoch: [1/15] Iters:[370/20018] gen_loss 0.4847, rec_loss 0.0241, lpips_loss 0.1724, g_loss 0.1571, disc_weight 0.5000, disc_adaptive_weight 1.8332, d_loss 0.6466, logits_real -0.1581, logits_fake -0.1574,
Train Epoch: [1/15] Iters:[380/20018] gen_loss 0.4970, rec_loss 0.0243, lpips_loss 0.1716, g_loss 0.1565, disc_weight 0.5000, disc_adaptive_weight 1.9216, d_loss 0.6424, logits_real -0.1573, logits_fake -0.1567,
Train Epoch: [1/15] Iters:[390/20018] gen_loss 0.4873, rec_loss 0.0245, lpips_loss 0.1727, g_loss 0.1559, disc_weight 0.5000, disc_adaptive_weight 1.8604, d_loss 0.6392, logits_real -0.1565, logits_fake -0.1560,
Train Epoch: [1/15] Iters:[400/20018] gen_loss 0.4865, rec_loss 0.0245, lpips_loss 0.1709, g_loss 0.1552, disc_weight 0.5000, disc_adaptive_weight 1.8752, d_loss 0.6361, logits_real -0.1557, logits_fake -0.1552,
Train Epoch: [1/15] Iters:[410/20018] gen_loss 0.4909, rec_loss 0.0243, lpips_loss 0.1705, g_loss 0.1545, disc_weight 0.5000, disc_adaptive_weight 1.9152, d_loss 0.6330, logits_real -0.1550, logits_fake -0.1545,
Train Epoch: [1/15] Iters:[420/20018] gen_loss 0.4946, rec_loss 0.0242, lpips_loss 0.1705, g_loss 0.1540, disc_weight 0.5000, disc_adaptive_weight 1.9461, d_loss 0.6299, logits_real -0.1546, logits_fake -0.1540,
Train Epoch: [1/15] Iters:[430/20018] gen_loss 0.4847, rec_loss 0.0237, lpips_loss 0.1704, g_loss 0.1534, disc_weight 0.5000, disc_adaptive_weight 1.8928, d_loss 0.6269, logits_real -0.1540, logits_fake -0.1533,
Train Epoch: [1/15] Iters:[440/20018] gen_loss 0.4744, rec_loss 0.0238, lpips_loss 0.1706, g_loss 0.1527, disc_weight 0.5000, disc_adaptive_weight 1.8303, d_loss 0.6236, logits_real -0.1537, logits_fake -0.1526,
Train Epoch: [1/15] Iters:[450/20018] gen_loss 0.4916, rec_loss 0.0238, lpips_loss 0.1719, g_loss 0.1524, disc_weight 0.5000, disc_adaptive_weight 1.9378, d_loss 0.6206, logits_real -0.1534, logits_fake -0.1523,
Train Epoch: [1/15] Iters:[460/20018] gen_loss 0.4828, rec_loss 0.0240, lpips_loss 0.1717, g_loss 0.1518, disc_weight 0.5000, disc_adaptive_weight 1.8886, d_loss 0.6176, logits_real -0.1528, logits_fake -0.1516,
Train Epoch: [1/15] Iters:[470/20018] gen_loss 0.4778, rec_loss 0.0242, lpips_loss 0.1730, g_loss 0.1513, disc_weight 0.5000, disc_adaptive_weight 1.8519, d_loss 0.6147, logits_real -0.1521, logits_fake -0.1510,
Train Epoch: [1/15] Iters:[480/20018] gen_loss 0.4790, rec_loss 0.0241, lpips_loss 0.1733, g_loss 0.1507, disc_weight 0.5000, disc_adaptive_weight 1.8664, d_loss 0.6122, logits_real -0.1515, logits_fake -0.1505,
Train Epoch: [1/15] Iters:[490/20018] gen_loss 0.4958, rec_loss 0.0236, lpips_loss 0.1727, g_loss 0.1501, disc_weight 0.5000, disc_adaptive_weight 1.9936, d_loss 0.6095, logits_real -0.1508, logits_fake -0.1500,
Train Epoch: [1/15] Iters:[500/20018] gen_loss 0.4817, rec_loss 0.0238, lpips_loss 0.1724, g_loss 0.1492, disc_weight 0.5000, disc_adaptive_weight 1.9147, d_loss 0.6067, logits_real -0.1500, logits_fake -0.1492,
Train Epoch: [1/15] Iters:[510/20018] gen_loss 0.4924, rec_loss 0.0239, lpips_loss 0.1726, g_loss 0.1485, disc_weight 0.5000, disc_adaptive_weight 1.9941, d_loss 0.6041, logits_real -0.1494, logits_fake -0.1487,
Train Epoch: [1/15] Iters:[520/20018] gen_loss 0.5037, rec_loss 0.0239, lpips_loss 0.1714, g_loss 0.1478, disc_weight 0.5000, disc_adaptive_weight 2.0873, d_loss 0.6011, logits_real -0.1488, logits_fake -0.1481,
Train Epoch: [1/15] Iters:[530/20018] gen_loss 0.5077, rec_loss 0.0241, lpips_loss 0.1718, g_loss 0.1472, disc_weight 0.5000, disc_adaptive_weight 2.1176, d_loss 0.5987, logits_real -0.1481, logits_fake -0.1474,
Train Epoch: [1/15] Iters:[540/20018] gen_loss 0.4931, rec_loss 0.0246, lpips_loss 0.1720, g_loss 0.1465, disc_weight 0.5000, disc_adaptive_weight 2.0240, d_loss 0.5965, logits_real -0.1473, logits_fake -0.1465,
Train Epoch: [1/15] Iters:[550/20018] gen_loss 0.4812, rec_loss 0.0246, lpips_loss 0.1729, g_loss 0.1459, disc_weight 0.5000, disc_adaptive_weight 1.9440, d_loss 0.5940, logits_real -0.1468, logits_fake -0.1460,
Train Epoch: [1/15] Iters:[560/20018] gen_loss 0.4741, rec_loss 0.0246, lpips_loss 0.1742, g_loss 0.1454, disc_weight 0.5000, disc_adaptive_weight 1.8922, d_loss 0.5919, logits_real -0.1462, logits_fake -0.1454,
Train Epoch: [1/15] Iters:[570/20018] gen_loss 0.4642, rec_loss 0.0246, lpips_loss 0.1750, g_loss 0.1449, disc_weight 0.5000, disc_adaptive_weight 1.8248, d_loss 0.5897, logits_real -0.1456, logits_fake -0.1448,
Train Epoch: [1/15] Iters:[580/20018] gen_loss 0.4660, rec_loss 0.0243, lpips_loss 0.1741, g_loss 0.1441, disc_weight 0.5000, disc_adaptive_weight 1.8585, d_loss 0.5871, logits_real -0.1450, logits_fake -0.1442,
Train Epoch: [1/15] Iters:[590/20018] gen_loss 0.4795, rec_loss 0.0243, lpips_loss 0.1748, g_loss 0.1435, disc_weight 0.5000, disc_adaptive_weight 1.9556, d_loss 0.5848, logits_real -0.1443, logits_fake -0.1436,
Train Epoch: [1/15] Iters:[600/20018] gen_loss 0.4938, rec_loss 0.0240, lpips_loss 0.1743, g_loss 0.1431, disc_weight 0.5000, disc_adaptive_weight 2.0666, d_loss 0.5834, logits_real -0.1438, logits_fake -0.1431,
Train Epoch: [1/15] Iters:[610/20018] gen_loss 0.5004, rec_loss 0.0239, lpips_loss 0.1732, g_loss 0.1425, disc_weight 0.5000, disc_adaptive_weight 2.1295, d_loss 0.5811, logits_real -0.1433, logits_fake -0.1425,
Train Epoch: [1/15] Iters:[620/20018] gen_loss 0.5073, rec_loss 0.0239, lpips_loss 0.1722, g_loss 0.1421, disc_weight 0.5000, disc_adaptive_weight 2.1901, d_loss 0.5793, logits_real -0.1428, logits_fake -0.1421,
Train Epoch: [1/15] Iters:[630/20018] gen_loss 0.4930, rec_loss 0.0238, lpips_loss 0.1719, g_loss 0.1418, disc_weight 0.5000, disc_adaptive_weight 2.0966, d_loss 0.5777, logits_real -0.1423, logits_fake -0.1416,
Train Epoch: [1/15] Iters:[640/20018] gen_loss 0.4736, rec_loss 0.0236, lpips_loss 0.1712, g_loss 0.1414, disc_weight 0.5000, disc_adaptive_weight 1.9699, d_loss 0.5760, logits_real -0.1422, logits_fake -0.1412,
Train Epoch: [1/15] Iters:[650/20018] gen_loss 0.4682, rec_loss 0.0237, lpips_loss 0.1714, g_loss 0.1407, disc_weight 0.5000, disc_adaptive_weight 1.9383, d_loss 0.5738, logits_real -0.1416, logits_fake -0.1406,
Train Epoch: [1/15] Iters:[660/20018] gen_loss 0.4528, rec_loss 0.0236, lpips_loss 0.1715, g_loss 0.1402, disc_weight 0.5000, disc_adaptive_weight 1.8354, d_loss 0.5723, logits_real -0.1410, logits_fake -0.1398,
Train Epoch: [1/15] Iters:[670/20018] gen_loss 0.4605, rec_loss 0.0235, lpips_loss 0.1723, g_loss 0.1394, disc_weight 0.5000, disc_adaptive_weight 1.8986, d_loss 0.5710, logits_real -0.1402, logits_fake -0.1390,
Train Epoch: [1/15] Iters:[680/20018] gen_loss 0.4654, rec_loss 0.0234, lpips_loss 0.1727, g_loss 0.1385, disc_weight 0.5000, disc_adaptive_weight 1.9428, d_loss 0.5689, logits_real -0.1394, logits_fake -0.1383,
Train Epoch: [1/15] Iters:[690/20018] gen_loss 0.4709, rec_loss 0.0234, lpips_loss 0.1732, g_loss 0.1378, disc_weight 0.5000, disc_adaptive_weight 1.9876, d_loss 0.5672, logits_real -0.1384, logits_fake -0.1375,
Train Epoch: [1/15] Iters:[700/20018] gen_loss 0.4710, rec_loss 0.0236, lpips_loss 0.1729, g_loss 0.1367, disc_weight 0.5000, disc_adaptive_weight 2.0066, d_loss 0.5656, logits_real -0.1373, logits_fake -0.1366,
Train Epoch: [1/15] Iters:[710/20018] gen_loss 0.4729, rec_loss 0.0237, lpips_loss 0.1727, g_loss 0.1358, disc_weight 0.5000, disc_adaptive_weight 2.0335, d_loss 0.5639, logits_real -0.1365, logits_fake -0.1360,
Train Epoch: [1/15] Iters:[720/20018] gen_loss 0.4557, rec_loss 0.0237, lpips_loss 0.1721, g_loss 0.1351, disc_weight 0.5000, disc_adaptive_weight 1.9228, d_loss 0.5624, logits_real -0.1359, logits_fake -0.1352,
Train Epoch: [1/15] Iters:[730/20018] gen_loss 0.4727, rec_loss 0.0241, lpips_loss 0.1731, g_loss 0.1345, disc_weight 0.5000, disc_adaptive_weight 2.0499, d_loss 0.5612, logits_real -0.1352, logits_fake -0.1347,
Train Epoch: [1/15] Iters:[740/20018] gen_loss 0.4743, rec_loss 0.0244, lpips_loss 0.1733, g_loss 0.1336, disc_weight 0.5000, disc_adaptive_weight 2.0697, d_loss 0.5598, logits_real -0.1343, logits_fake -0.1339,
Train Epoch: [1/15] Iters:[750/20018] gen_loss 0.4799, rec_loss 0.0241, lpips_loss 0.1725, g_loss 0.1332, disc_weight 0.5000, disc_adaptive_weight 2.1262, d_loss 0.5587, logits_real -0.1339, logits_fake -0.1332,
Train Epoch: [1/15] Iters:[760/20018] gen_loss 0.4887, rec_loss 0.0240, lpips_loss 0.1731, g_loss 0.1326, disc_weight 0.5000, disc_adaptive_weight 2.1993, d_loss 0.5575, logits_real -0.1333, logits_fake -0.1324,
Train Epoch: [1/15] Iters:[770/20018] gen_loss 0.4840, rec_loss 0.0238, lpips_loss 0.1730, g_loss 0.1320, disc_weight 0.5000, disc_adaptive_weight 2.1734, d_loss 0.5558, logits_real -0.1327, logits_fake -0.1319,
Train Epoch: [1/15] Iters:[780/20018] gen_loss 0.4639, rec_loss 0.0236, lpips_loss 0.1723, g_loss 0.1314, disc_weight 0.5000, disc_adaptive_weight 2.0389, d_loss 0.5545, logits_real -0.1320, logits_fake -0.1311,
Train Epoch: [1/15] Iters:[790/20018] gen_loss 0.4681, rec_loss 0.0234, lpips_loss 0.1721, g_loss 0.1309, disc_weight 0.5000, disc_adaptive_weight 2.0823, d_loss 0.5534, logits_real -0.1316, logits_fake -0.1305,
Train Epoch: [1/15] Iters:[800/20018] gen_loss 0.4547, rec_loss 0.0236, lpips_loss 0.1729, g_loss 0.1302, disc_weight 0.5000, disc_adaptive_weight 1.9839, d_loss 0.5521, logits_real -0.1308, logits_fake -0.1298,
Train Epoch: [1/15] Iters:[810/20018] gen_loss 0.4537, rec_loss 0.0238, lpips_loss 0.1728, g_loss 0.1297, disc_weight 0.5000, disc_adaptive_weight 1.9832, d_loss 0.5510, logits_real -0.1300, logits_fake -0.1293,
Train Epoch: [1/15] Iters:[820/20018] gen_loss 0.4551, rec_loss 0.0237, lpips_loss 0.1725, g_loss 0.1289, disc_weight 0.5000, disc_adaptive_weight 2.0072, d_loss 0.5499, logits_real -0.1293, logits_fake -0.1286,
Train Epoch: [1/15] Iters:[830/20018] gen_loss 0.4483, rec_loss 0.0237, lpips_loss 0.1722, g_loss 0.1282, disc_weight 0.5000, disc_adaptive_weight 1.9652, d_loss 0.5488, logits_real -0.1287, logits_fake -0.1281,
Train Epoch: [1/15] Iters:[840/20018] gen_loss 0.4438, rec_loss 0.0235, lpips_loss 0.1718, g_loss 0.1277, disc_weight 0.5000, disc_adaptive_weight 1.9440, d_loss 0.5479, logits_real -0.1283, logits_fake -0.1278,
Train Epoch: [1/15] Iters:[850/20018] gen_loss 0.4476, rec_loss 0.0233, lpips_loss 0.1710, g_loss 0.1273, disc_weight 0.5000, disc_adaptive_weight 1.9884, d_loss 0.5464, logits_real -0.1279, logits_fake -0.1275,
Train Epoch: [1/15] Iters:[860/20018] gen_loss 0.4482, rec_loss 0.0235, lpips_loss 0.1712, g_loss 0.1267, disc_weight 0.5000, disc_adaptive_weight 2.0003, d_loss 0.5459, logits_real -0.1274, logits_fake -0.1269,
Train Epoch: [1/15] Iters:[870/20018] gen_loss 0.4525, rec_loss 0.0238, lpips_loss 0.1724, g_loss 0.1262, disc_weight 0.5000, disc_adaptive_weight 2.0303, d_loss 0.5450, logits_real -0.1267, logits_fake -0.1264,
Train Epoch: [1/15] Iters:[880/20018] gen_loss 0.4607, rec_loss 0.0239, lpips_loss 0.1732, g_loss 0.1257, disc_weight 0.5000, disc_adaptive_weight 2.0952, d_loss 0.5440, logits_real -0.1263, logits_fake -0.1261,
Train Epoch: [1/15] Iters:[890/20018] gen_loss 0.4587, rec_loss 0.0237, lpips_loss 0.1725, g_loss 0.1252, disc_weight 0.5000, disc_adaptive_weight 2.0960, d_loss 0.5431, logits_real -0.1256, logits_fake -0.1253,
Train Epoch: [1/15] Iters:[900/20018] gen_loss 0.4614, rec_loss 0.0241, lpips_loss 0.1743, g_loss 0.1247, disc_weight 0.5000, disc_adaptive_weight 2.1084, d_loss 0.5426, logits_real -0.1249, logits_fake -0.1246,
Train Epoch: [1/15] Iters:[910/20018] gen_loss 0.4570, rec_loss 0.0241, lpips_loss 0.1740, g_loss 0.1241, disc_weight 0.5000, disc_adaptive_weight 2.0859, d_loss 0.5410, logits_real -0.1244, logits_fake -0.1240,
