dataset_dir: /mmfs1/data/fangxian/data/
dataset_name: FFHQ
batch_size: 32
workers: 8
resolution: 256
channels: 3
codebook_size: 8192
codebook_dim: 8
z_channels: 256
factor: 16
beta: 0.1
gamma: 0.5
alpha: 1.0
quantizer_name: wasserstein_quantizer
resume: False
epochs: 30
eval_epochs: 5
lr: 5e-05
dropout: 0.0
seed: 123
warmup_iters: 2000
decay_iters: 10000
weight_decay: 0.05
accumulation: 1
checkpoint_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/checkpoint/FFHQ
results_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/results/FFHQ
saver_dir: /mmfs1/data/fangxian/WassersteinVQ/VQVAE/saver/FFHQ
data_pre: FFHQ
model_pre: model_8192_8_16
loss_pre: loss_1.0_0.1_0.5
training_pre: wasserstein_quantizer_30
saver_name_pre: wasserstein_quantizer_30_FFHQ_model_8192_8_16_loss_1.0_0.1_0.5
Working with z of shape (1, 256, 16, 16) = 65536 dimensions.
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
len train_dataloader: 2187
len val_dataloader: 1094
Start training...
epoch:1, cur_lr:0.000050
Train Epoch: [1/30] Iters:[10/2187] loss 1.6919, vq_loss 1.1409, rec_loss 0.2755, wasserstein_loss 1.6536, quant_error 2.2845, codebook_utilization 0.0497, codebook_perplexity 85.8826,
Train Epoch: [1/30] Iters:[120/2187] loss 0.2407, vq_loss 0.1253, rec_loss 0.0577, wasserstein_loss 0.2148, quant_error 0.1297, codebook_utilization 0.3590, codebook_perplexity 1980.2102,
Train Epoch: [1/30] Iters:[130/2187] loss 0.2129, vq_loss 0.1053, rec_loss 0.0538, wasserstein_loss 0.1784, quant_error 0.1171, codebook_utilization 0.3758, codebook_perplexity 2162.3010,
Train Epoch: [1/30] Iters:[140/2187] loss 0.1944, vq_loss 0.0919, rec_loss 0.0513, wasserstein_loss 0.1536, quant_error 0.1095, codebook_utilization 0.3918, codebook_perplexity 2319.9909,
Train Epoch: [1/30] Iters:[150/2187] loss 0.1694, vq_loss 0.0704, rec_loss 0.0495, wasserstein_loss 0.1130, quant_error 0.1015, codebook_utilization 0.4063, codebook_perplexity 2460.0435,
Train Epoch: [1/30] Iters:[160/2187] loss 0.1557, vq_loss 0.0599, rec_loss 0.0479, wasserstein_loss 0.0936, quant_error 0.0952, codebook_utilization 0.4185, codebook_perplexity 2575.7236,
Train Epoch: [1/30] Iters:[170/2187] loss 0.1446, vq_loss 0.0529, rec_loss 0.0459, wasserstein_loss 0.0813, quant_error 0.0891, codebook_utilization 0.4282, codebook_perplexity 2671.8314,
Train Epoch: [1/30] Iters:[180/2187] loss 0.1341, vq_loss 0.0458, rec_loss 0.0442, wasserstein_loss 0.0683, quant_error 0.0845, codebook_utilization 0.4377, codebook_perplexity 2761.2557,
Train Epoch: [1/30] Iters:[190/2187] loss 0.1280, vq_loss 0.0440, rec_loss 0.0420, wasserstein_loss 0.0657, quant_error 0.0814, codebook_utilization 0.4465, codebook_perplexity 2846.5452,
Train Epoch: [1/30] Iters:[200/2187] loss 0.1275, vq_loss 0.0465, rec_loss 0.0405, wasserstein_loss 0.0712, quant_error 0.0795, codebook_utilization 0.4547, codebook_perplexity 2925.7875,
Train Epoch: [1/30] Iters:[210/2187] loss 0.1286, vq_loss 0.0502, rec_loss 0.0392, wasserstein_loss 0.0789, quant_error 0.0785, codebook_utilization 0.4609, codebook_perplexity 2986.6250,
Train Epoch: [1/30] Iters:[220/2187] loss 0.1338, vq_loss 0.0572, rec_loss 0.0383, wasserstein_loss 0.0927, quant_error 0.0790, codebook_utilization 0.4649, codebook_perplexity 3017.5312,
Train Epoch: [1/30] Iters:[230/2187] loss 0.1342, vq_loss 0.0584, rec_loss 0.0379, wasserstein_loss 0.0947, quant_error 0.0802, codebook_utilization 0.4707, codebook_perplexity 3073.5583,
Train Epoch: [1/30] Iters:[240/2187] loss 0.1306, vq_loss 0.0563, rec_loss 0.0371, wasserstein_loss 0.0904, quant_error 0.0811, codebook_utilization 0.4726, codebook_perplexity 3085.4256,
Train Epoch: [1/30] Iters:[250/2187] loss 0.1258, vq_loss 0.0541, rec_loss 0.0358, wasserstein_loss 0.0857, quant_error 0.0821, codebook_utilization 0.4757, codebook_perplexity 3113.6169,
Train Epoch: [1/30] Iters:[260/2187] loss 0.1224, vq_loss 0.0522, rec_loss 0.0351, wasserstein_loss 0.0816, quant_error 0.0826, codebook_utilization 0.4805, codebook_perplexity 3154.1910,
Train Epoch: [1/30] Iters:[270/2187] loss 0.1171, vq_loss 0.0483, rec_loss 0.0344, wasserstein_loss 0.0742, quant_error 0.0812, codebook_utilization 0.4870, codebook_perplexity 3218.4478,
Train Epoch: [1/30] Iters:[280/2187] loss 0.1187, vq_loss 0.0521, rec_loss 0.0333, wasserstein_loss 0.0821, quant_error 0.0802, codebook_utilization 0.4916, codebook_perplexity 3251.0403,
Train Epoch: [1/30] Iters:[290/2187] loss 0.1219, vq_loss 0.0564, rec_loss 0.0328, wasserstein_loss 0.0912, quant_error 0.0785, codebook_utilization 0.4995, codebook_perplexity 3329.1486,
Train Epoch: [1/30] Iters:[300/2187] loss 0.1211, vq_loss 0.0560, rec_loss 0.0325, wasserstein_loss 0.0906, quant_error 0.0780, codebook_utilization 0.5069, codebook_perplexity 3393.2771,
Train Epoch: [1/30] Iters:[310/2187] loss 0.1176, vq_loss 0.0541, rec_loss 0.0317, wasserstein_loss 0.0866, quant_error 0.0787, codebook_utilization 0.5134, codebook_perplexity 3450.0216,
Train Epoch: [1/30] Iters:[320/2187] loss 0.1159, vq_loss 0.0533, rec_loss 0.0313, wasserstein_loss 0.0847, quant_error 0.0798, codebook_utilization 0.5183, codebook_perplexity 3493.5266,
Train Epoch: [1/30] Iters:[330/2187] loss 0.1132, vq_loss 0.0508, rec_loss 0.0312, wasserstein_loss 0.0798, quant_error 0.0795, codebook_utilization 0.5211, codebook_perplexity 3523.7283,
Train Epoch: [1/30] Iters:[340/2187] loss 0.1087, vq_loss 0.0472, rec_loss 0.0307, wasserstein_loss 0.0724, quant_error 0.0803, codebook_utilization 0.5245, codebook_perplexity 3553.5003,
Train Epoch: [1/30] Iters:[350/2187] loss 0.1043, vq_loss 0.0441, rec_loss 0.0301, wasserstein_loss 0.0662, quant_error 0.0798, codebook_utilization 0.5265, codebook_perplexity 3568.9804,
Train Epoch: [1/30] Iters:[360/2187] loss 0.1029, vq_loss 0.0434, rec_loss 0.0298, wasserstein_loss 0.0652, quant_error 0.0782, codebook_utilization 0.5280, codebook_perplexity 3584.0368,
Train Epoch: [1/30] Iters:[370/2187] loss 0.1008, vq_loss 0.0423, rec_loss 0.0292, wasserstein_loss 0.0635, quant_error 0.0770, codebook_utilization 0.5295, codebook_perplexity 3598.2404,
Train Epoch: [1/30] Iters:[380/2187] loss 0.0978, vq_loss 0.0407, rec_loss 0.0285, wasserstein_loss 0.0598, quant_error 0.0786, codebook_utilization 0.5339, codebook_perplexity 3634.6427,
Train Epoch: [1/30] Iters:[390/2187] loss 0.0956, vq_loss 0.0390, rec_loss 0.0283, wasserstein_loss 0.0564, quant_error 0.0789, codebook_utilization 0.5354, codebook_perplexity 3649.1452,
Train Epoch: [1/30] Iters:[400/2187] loss 0.1005, vq_loss 0.0445, rec_loss 0.0280, wasserstein_loss 0.0673, quant_error 0.0792, codebook_utilization 0.5371, codebook_perplexity 3669.6537,
Train Epoch: [1/30] Iters:[410/2187] loss 0.1014, vq_loss 0.0458, rec_loss 0.0278, wasserstein_loss 0.0695, quant_error 0.0803, codebook_utilization 0.5383, codebook_perplexity 3677.4580,
Train Epoch: [1/30] Iters:[420/2187] loss 0.1016, vq_loss 0.0473, rec_loss 0.0272, wasserstein_loss 0.0725, quant_error 0.0805, codebook_utilization 0.5396, codebook_perplexity 3689.1786,
Train Epoch: [1/30] Iters:[430/2187] loss 0.1003, vq_loss 0.0466, rec_loss 0.0269, wasserstein_loss 0.0716, quant_error 0.0788, codebook_utilization 0.5390, codebook_perplexity 3686.0013,
Train Epoch: [1/30] Iters:[440/2187] loss 0.1018, vq_loss 0.0495, rec_loss 0.0262, wasserstein_loss 0.0775, quant_error 0.0780, codebook_utilization 0.5395, codebook_perplexity 3690.9852,
Train Epoch: [1/30] Iters:[450/2187] loss 0.0963, vq_loss 0.0448, rec_loss 0.0257, wasserstein_loss 0.0679, quant_error 0.0788, codebook_utilization 0.5425, codebook_perplexity 3718.8062,
Train Epoch: [1/30] Iters:[460/2187] loss 0.0968, vq_loss 0.0455, rec_loss 0.0257, wasserstein_loss 0.0693, quant_error 0.0790, codebook_utilization 0.5447, codebook_perplexity 3741.3183,
Train Epoch: [1/30] Iters:[470/2187] loss 0.1021, vq_loss 0.0505, rec_loss 0.0258, wasserstein_loss 0.0789, quant_error 0.0808, codebook_utilization 0.5473, codebook_perplexity 3766.0282,
Train Epoch: [1/30] Iters:[480/2187] loss 0.1062, vq_loss 0.0555, rec_loss 0.0254, wasserstein_loss 0.0882, quant_error 0.0828, codebook_utilization 0.5494, codebook_perplexity 3781.1218,
Train Epoch: [1/30] Iters:[490/2187] loss 0.1104, vq_loss 0.0596, rec_loss 0.0254, wasserstein_loss 0.0959, quant_error 0.0845, codebook_utilization 0.5514, codebook_perplexity 3792.3789,
Train Epoch: [1/30] Iters:[500/2187] loss 0.1144, vq_loss 0.0634, rec_loss 0.0255, wasserstein_loss 0.1031, quant_error 0.0857, codebook_utilization 0.5515, codebook_perplexity 3783.2163,
Train Epoch: [1/30] Iters:[510/2187] loss 0.1150, vq_loss 0.0648, rec_loss 0.0251, wasserstein_loss 0.1059, quant_error 0.0862, codebook_utilization 0.5541, codebook_perplexity 3808.5267,
Train Epoch: [1/30] Iters:[520/2187] loss 0.1081, vq_loss 0.0589, rec_loss 0.0246, wasserstein_loss 0.0941, quant_error 0.0859, codebook_utilization 0.5553, codebook_perplexity 3818.6734,
Train Epoch: [1/30] Iters:[530/2187] loss 0.1066, vq_loss 0.0571, rec_loss 0.0247, wasserstein_loss 0.0909, quant_error 0.0843, codebook_utilization 0.5575, codebook_perplexity 3842.7102,
Train Epoch: [1/30] Iters:[540/2187] loss 0.0978, vq_loss 0.0488, rec_loss 0.0245, wasserstein_loss 0.0746, quant_error 0.0838, codebook_utilization 0.5591, codebook_perplexity 3858.8955,
Train Epoch: [1/30] Iters:[550/2187] loss 0.0944, vq_loss 0.0460, rec_loss 0.0242, wasserstein_loss 0.0692, quant_error 0.0831, codebook_utilization 0.5602, codebook_perplexity 3878.8656,
Train Epoch: [1/30] Iters:[560/2187] loss 0.0942, vq_loss 0.0464, rec_loss 0.0239, wasserstein_loss 0.0698, quant_error 0.0835, codebook_utilization 0.5616, codebook_perplexity 3892.2402,
Train Epoch: [1/30] Iters:[570/2187] loss 0.0923, vq_loss 0.0450, rec_loss 0.0236, wasserstein_loss 0.0670, quant_error 0.0842, codebook_utilization 0.5642, codebook_perplexity 3913.7096,
Train Epoch: [1/30] Iters:[580/2187] loss 0.0902, vq_loss 0.0435, rec_loss 0.0233, wasserstein_loss 0.0637, quant_error 0.0852, codebook_utilization 0.5642, codebook_perplexity 3909.4343,
Train Epoch: [1/30] Iters:[590/2187] loss 0.0921, vq_loss 0.0457, rec_loss 0.0232, wasserstein_loss 0.0680, quant_error 0.0854, codebook_utilization 0.5651, codebook_perplexity 3922.8413,
Train Epoch: [1/30] Iters:[600/2187] loss 0.0910, vq_loss 0.0446, rec_loss 0.0232, wasserstein_loss 0.0654, quant_error 0.0864, codebook_utilization 0.5662, codebook_perplexity 3929.7160,
Train Epoch: [1/30] Iters:[610/2187] loss 0.0905, vq_loss 0.0443, rec_loss 0.0231, wasserstein_loss 0.0647, quant_error 0.0870, codebook_utilization 0.5665, codebook_perplexity 3922.8355,
Train Epoch: [1/30] Iters:[620/2187] loss 0.0925, vq_loss 0.0461, rec_loss 0.0232, wasserstein_loss 0.0680, quant_error 0.0878, codebook_utilization 0.5673, codebook_perplexity 3932.3192,
Train Epoch: [1/30] Iters:[630/2187] loss 0.0934, vq_loss 0.0471, rec_loss 0.0231, wasserstein_loss 0.0697, quant_error 0.0890, codebook_utilization 0.5701, codebook_perplexity 3962.5460,
Train Epoch: [1/30] Iters:[640/2187] loss 0.0928, vq_loss 0.0469, rec_loss 0.0229, wasserstein_loss 0.0691, quant_error 0.0901, codebook_utilization 0.5713, codebook_perplexity 3972.0323,
Train Epoch: [1/30] Iters:[650/2187] loss 0.0937, vq_loss 0.0489, rec_loss 0.0224, wasserstein_loss 0.0729, quant_error 0.0907, codebook_utilization 0.5736, codebook_perplexity 3994.9132,
Train Epoch: [1/30] Iters:[660/2187] loss 0.0924, vq_loss 0.0478, rec_loss 0.0223, wasserstein_loss 0.0705, quant_error 0.0914, codebook_utilization 0.5754, codebook_perplexity 4017.3094,
Train Epoch: [1/30] Iters:[670/2187] loss 0.0924, vq_loss 0.0483, rec_loss 0.0220, wasserstein_loss 0.0712, quant_error 0.0926, codebook_utilization 0.5760, codebook_perplexity 4017.2728,
Train Epoch: [1/30] Iters:[680/2187] loss 0.0892, vq_loss 0.0455, rec_loss 0.0218, wasserstein_loss 0.0653, quant_error 0.0935, codebook_utilization 0.5777, codebook_perplexity 4034.4851,
Train Epoch: [1/30] Iters:[690/2187] loss 0.0889, vq_loss 0.0452, rec_loss 0.0218, wasserstein_loss 0.0645, quant_error 0.0943, codebook_utilization 0.5799, codebook_perplexity 4055.8695,
Train Epoch: [1/30] Iters:[700/2187] loss 0.0868, vq_loss 0.0429, rec_loss 0.0219, wasserstein_loss 0.0599, quant_error 0.0942, codebook_utilization 0.5797, codebook_perplexity 4054.2587,
Train Epoch: [1/30] Iters:[710/2187] loss 0.0915, vq_loss 0.0480, rec_loss 0.0218, wasserstein_loss 0.0701, quant_error 0.0943, codebook_utilization 0.5796, codebook_perplexity 4051.6762,
Train Epoch: [1/30] Iters:[720/2187] loss 0.0878, vq_loss 0.0445, rec_loss 0.0217, wasserstein_loss 0.0631, quant_error 0.0941, codebook_utilization 0.5797, codebook_perplexity 4055.6921,
Train Epoch: [1/30] Iters:[730/2187] loss 0.0879, vq_loss 0.0448, rec_loss 0.0215, wasserstein_loss 0.0640, quant_error 0.0935, codebook_utilization 0.5784, codebook_perplexity 4039.2980,
Train Epoch: [1/30] Iters:[740/2187] loss 0.0852, vq_loss 0.0428, rec_loss 0.0212, wasserstein_loss 0.0598, quant_error 0.0936, codebook_utilization 0.5778, codebook_perplexity 4030.0704,
Train Epoch: [1/30] Iters:[750/2187] loss 0.0863, vq_loss 0.0439, rec_loss 0.0212, wasserstein_loss 0.0617, quant_error 0.0948, codebook_utilization 0.5780, codebook_perplexity 4026.7116,
Train Epoch: [1/30] Iters:[760/2187] loss 0.0802, vq_loss 0.0382, rec_loss 0.0210, wasserstein_loss 0.0500, quant_error 0.0957, codebook_utilization 0.5787, codebook_perplexity 4030.5398,
Train Epoch: [1/30] Iters:[770/2187] loss 0.0830, vq_loss 0.0410, rec_loss 0.0210, wasserstein_loss 0.0557, quant_error 0.0954, codebook_utilization 0.5797, codebook_perplexity 4043.1192,
Train Epoch: [1/30] Iters:[780/2187] loss 0.0882, vq_loss 0.0469, rec_loss 0.0207, wasserstein_loss 0.0670, quant_error 0.0970, codebook_utilization 0.5803, codebook_perplexity 4050.2509,
Train Epoch: [1/30] Iters:[790/2187] loss 0.0929, vq_loss 0.0519, rec_loss 0.0205, wasserstein_loss 0.0769, quant_error 0.0981, codebook_utilization 0.5816, codebook_perplexity 4061.9942,
Train Epoch: [1/30] Iters:[800/2187] loss 0.0965, vq_loss 0.0564, rec_loss 0.0201, wasserstein_loss 0.0862, quant_error 0.0970, codebook_utilization 0.5825, codebook_perplexity 4077.9048,
Train Epoch: [1/30] Iters:[810/2187] loss 0.1011, vq_loss 0.0617, rec_loss 0.0197, wasserstein_loss 0.0969, quant_error 0.0961, codebook_utilization 0.5823, codebook_perplexity 4081.7720,
Train Epoch: [1/30] Iters:[820/2187] loss 0.1052, vq_loss 0.0655, rec_loss 0.0199, wasserstein_loss 0.1045, quant_error 0.0962, codebook_utilization 0.5829, codebook_perplexity 4087.9446,
Train Epoch: [1/30] Iters:[830/2187] loss 0.1008, vq_loss 0.0609, rec_loss 0.0199, wasserstein_loss 0.0956, quant_error 0.0957, codebook_utilization 0.5846, codebook_perplexity 4103.8928,
Train Epoch: [1/30] Iters:[840/2187] loss 0.0979, vq_loss 0.0581, rec_loss 0.0199, wasserstein_loss 0.0901, quant_error 0.0947, codebook_utilization 0.5842, codebook_perplexity 4100.4882,
Train Epoch: [1/30] Iters:[850/2187] loss 0.0933, vq_loss 0.0531, rec_loss 0.0201, wasserstein_loss 0.0799, quant_error 0.0956, codebook_utilization 0.5853, codebook_perplexity 4108.4383,
Train Epoch: [1/30] Iters:[860/2187] loss 0.0950, vq_loss 0.0541, rec_loss 0.0205, wasserstein_loss 0.0813, quant_error 0.0976, codebook_utilization 0.5871, codebook_perplexity 4120.1741,
Train Epoch: [1/30] Iters:[870/2187] loss 0.0895, vq_loss 0.0491, rec_loss 0.0202, wasserstein_loss 0.0711, quant_error 0.0983, codebook_utilization 0.5874, codebook_perplexity 4118.5756,
Train Epoch: [1/30] Iters:[880/2187] loss 0.0890, vq_loss 0.0486, rec_loss 0.0202, wasserstein_loss 0.0701, quant_error 0.0989, codebook_utilization 0.5874, codebook_perplexity 4120.1636,
Train Epoch: [1/30] Iters:[890/2187] loss 0.0875, vq_loss 0.0473, rec_loss 0.0201, wasserstein_loss 0.0669, quant_error 0.1004, codebook_utilization 0.5882, codebook_perplexity 4127.7152,
Train Epoch: [1/30] Iters:[900/2187] loss 0.0865, vq_loss 0.0469, rec_loss 0.0198, wasserstein_loss 0.0658, quant_error 0.1017, codebook_utilization 0.5878, codebook_perplexity 4123.6564,
Train Epoch: [1/30] Iters:[910/2187] loss 0.0801, vq_loss 0.0406, rec_loss 0.0197, wasserstein_loss 0.0531, quant_error 0.1021, codebook_utilization 0.5879, codebook_perplexity 4125.5047,
Train Epoch: [1/30] Iters:[920/2187] loss 0.0781, vq_loss 0.0391, rec_loss 0.0195, wasserstein_loss 0.0498, quant_error 0.1033, codebook_utilization 0.5886, codebook_perplexity 4134.8066,
Train Epoch: [1/30] Iters:[930/2187] loss 0.0781, vq_loss 0.0387, rec_loss 0.0197, wasserstein_loss 0.0487, quant_error 0.1045, codebook_utilization 0.5896, codebook_perplexity 4142.8774,
Train Epoch: [1/30] Iters:[940/2187] loss 0.0800, vq_loss 0.0408, rec_loss 0.0196, wasserstein_loss 0.0533, quant_error 0.1034, codebook_utilization 0.5896, codebook_perplexity 4143.9285,
Train Epoch: [1/30] Iters:[950/2187] loss 0.0853, vq_loss 0.0451, rec_loss 0.0201, wasserstein_loss 0.0615, quant_error 0.1043, codebook_utilization 0.5896, codebook_perplexity 4144.5156,
Train Epoch: [1/30] Iters:[960/2187] loss 0.0876, vq_loss 0.0478, rec_loss 0.0199, wasserstein_loss 0.0668, quant_error 0.1050, codebook_utilization 0.5884, codebook_perplexity 4123.9102,
Train Epoch: [1/30] Iters:[970/2187] loss 0.0908, vq_loss 0.0509, rec_loss 0.0199, wasserstein_loss 0.0726, quant_error 0.1064, codebook_utilization 0.5878, codebook_perplexity 4114.1768,
Train Epoch: [1/30] Iters:[980/2187] loss 0.0894, vq_loss 0.0497, rec_loss 0.0198, wasserstein_loss 0.0698, quant_error 0.1078, codebook_utilization 0.5882, codebook_perplexity 4120.7380,
Train Epoch: [1/30] Iters:[990/2187] loss 0.0889, vq_loss 0.0494, rec_loss 0.0197, wasserstein_loss 0.0689, quant_error 0.1085, codebook_utilization 0.5886, codebook_perplexity 4119.2469,
Train Epoch: [1/30] Iters:[1000/2187] loss 0.0823, vq_loss 0.0440, rec_loss 0.0192, wasserstein_loss 0.0584, quant_error 0.1073, codebook_utilization 0.5899, codebook_perplexity 4134.3643,
Train Epoch: [1/30] Iters:[1010/2187] loss 0.0811, vq_loss 0.0432, rec_loss 0.0190, wasserstein_loss 0.0572, quant_error 0.1060, codebook_utilization 0.5914, codebook_perplexity 4160.6483,
Train Epoch: [1/30] Iters:[1020/2187] loss 0.0813, vq_loss 0.0434, rec_loss 0.0190, wasserstein_loss 0.0579, quant_error 0.1051, codebook_utilization 0.5926, codebook_perplexity 4170.7660,
Train Epoch: [1/30] Iters:[1030/2187] loss 0.0840, vq_loss 0.0469, rec_loss 0.0185, wasserstein_loss 0.0657, quant_error 0.1025, codebook_utilization 0.5916, codebook_perplexity 4164.1901,
Train Epoch: [1/30] Iters:[1040/2187] loss 0.0826, vq_loss 0.0452, rec_loss 0.0187, wasserstein_loss 0.0619, quant_error 0.1034, codebook_utilization 0.5927, codebook_perplexity 4181.0615,
Train Epoch: [1/30] Iters:[1050/2187] loss 0.0865, vq_loss 0.0488, rec_loss 0.0188, wasserstein_loss 0.0688, quant_error 0.1050, codebook_utilization 0.5933, codebook_perplexity 4184.3906,
Train Epoch: [1/30] Iters:[1060/2187] loss 0.0843, vq_loss 0.0464, rec_loss 0.0190, wasserstein_loss 0.0637, quant_error 0.1060, codebook_utilization 0.5933, codebook_perplexity 4183.6432,
Train Epoch: [1/30] Iters:[1070/2187] loss 0.0827, vq_loss 0.0443, rec_loss 0.0192, wasserstein_loss 0.0596, quant_error 0.1056, codebook_utilization 0.5923, codebook_perplexity 4175.6149,
Train Epoch: [1/30] Iters:[1080/2187] loss 0.0846, vq_loss 0.0461, rec_loss 0.0193, wasserstein_loss 0.0627, quant_error 0.1071, codebook_utilization 0.5915, codebook_perplexity 4162.3453,
Train Epoch: [1/30] Iters:[1090/2187] loss 0.0877, vq_loss 0.0491, rec_loss 0.0193, wasserstein_loss 0.0684, quant_error 0.1085, codebook_utilization 0.5918, codebook_perplexity 4162.3185,
Train Epoch: [1/30] Iters:[1100/2187] loss 0.0899, vq_loss 0.0517, rec_loss 0.0191, wasserstein_loss 0.0736, quant_error 0.1081, codebook_utilization 0.5907, codebook_perplexity 4152.3180,
Train Epoch: [1/30] Iters:[1110/2187] loss 0.0914, vq_loss 0.0535, rec_loss 0.0189, wasserstein_loss 0.0771, quant_error 0.1084, codebook_utilization 0.5899, codebook_perplexity 4140.7718,
Train Epoch: [1/30] Iters:[1120/2187] loss 0.0933, vq_loss 0.0558, rec_loss 0.0188, wasserstein_loss 0.0818, quant_error 0.1086, codebook_utilization 0.5911, codebook_perplexity 4156.4006,
Train Epoch: [1/30] Iters:[1130/2187] loss 0.0919, vq_loss 0.0542, rec_loss 0.0189, wasserstein_loss 0.0787, quant_error 0.1077, codebook_utilization 0.5911, codebook_perplexity 4157.4655,
Train Epoch: [1/30] Iters:[1140/2187] loss 0.0881, vq_loss 0.0507, rec_loss 0.0187, wasserstein_loss 0.0721, quant_error 0.1066, codebook_utilization 0.5901, codebook_perplexity 4147.3177,
Train Epoch: [1/30] Iters:[1150/2187] loss 0.0843, vq_loss 0.0469, rec_loss 0.0187, wasserstein_loss 0.0645, quant_error 0.1063, codebook_utilization 0.5899, codebook_perplexity 4147.1346,
Train Epoch: [1/30] Iters:[1160/2187] loss 0.0826, vq_loss 0.0448, rec_loss 0.0189, wasserstein_loss 0.0602, quant_error 0.1070, codebook_utilization 0.5907, codebook_perplexity 4159.2831,
Train Epoch: [1/30] Iters:[1170/2187] loss 0.0844, vq_loss 0.0464, rec_loss 0.0190, wasserstein_loss 0.0631, quant_error 0.1085, codebook_utilization 0.5900, codebook_perplexity 4145.6318,
Train Epoch: [1/30] Iters:[1180/2187] loss 0.0822, vq_loss 0.0447, rec_loss 0.0187, wasserstein_loss 0.0591, quant_error 0.1101, codebook_utilization 0.5899, codebook_perplexity 4146.0457,
Train Epoch: [1/30] Iters:[1190/2187] loss 0.0851, vq_loss 0.0476, rec_loss 0.0187, wasserstein_loss 0.0648, quant_error 0.1106, codebook_utilization 0.5900, codebook_perplexity 4146.5648,
Train Epoch: [1/30] Iters:[1200/2187] loss 0.0847, vq_loss 0.0476, rec_loss 0.0185, wasserstein_loss 0.0647, quant_error 0.1110, codebook_utilization 0.5910, codebook_perplexity 4153.3284,
Train Epoch: [1/30] Iters:[1210/2187] loss 0.0914, vq_loss 0.0547, rec_loss 0.0183, wasserstein_loss 0.0791, quant_error 0.1103, codebook_utilization 0.5902, codebook_perplexity 4144.8440,
