dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_transplant_True
saver_name_pre: wasserstein_vq_transplant_True_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 3.3964, rec_loss 0.4142, p_loss 0.7748, quant_error1 0.5478, quant_error 0.9568, utilization 0.4543, perplexity 2231.3478,
Train Epoch: [1/5] Iters:[420/20018] transplant_loss 0.9946, rec_loss 0.0273, p_loss 0.1858, quant_error1 0.3249, quant_error 0.2886, utilization 0.9855, perplexity 3669.0785,
Train Epoch: [1/5] Iters:[430/20018] transplant_loss 0.9865, rec_loss 0.0266, p_loss 0.1850, quant_error1 0.3225, quant_error 0.2850, utilization 0.9856, perplexity 3659.8033,
Train Epoch: [1/5] Iters:[440/20018] transplant_loss 0.9834, rec_loss 0.0267, p_loss 0.1845, quant_error1 0.3220, quant_error 0.2831, utilization 0.9860, perplexity 3717.5386,
Train Epoch: [1/5] Iters:[450/20018] transplant_loss 0.9844, rec_loss 0.0267, p_loss 0.1853, quant_error1 0.3219, quant_error 0.2820, utilization 0.9860, perplexity 3704.7037,
Train Epoch: [1/5] Iters:[460/20018] transplant_loss 0.9783, rec_loss 0.0268, p_loss 0.1846, quant_error1 0.3191, quant_error 0.2787, utilization 0.9858, perplexity 3657.1600,
Train Epoch: [1/5] Iters:[470/20018] transplant_loss 0.9895, rec_loss 0.0269, p_loss 0.1859, quant_error1 0.3241, quant_error 0.2818, utilization 0.9862, perplexity 3736.6051,
Train Epoch: [1/5] Iters:[480/20018] transplant_loss 0.9862, rec_loss 0.0266, p_loss 0.1858, quant_error1 0.3223, quant_error 0.2796, utilization 0.9861, perplexity 3758.9469,
Train Epoch: [1/5] Iters:[490/20018] transplant_loss 0.9778, rec_loss 0.0260, p_loss 0.1844, quant_error1 0.3189, quant_error 0.2764, utilization 0.9856, perplexity 3677.4298,
Train Epoch: [1/5] Iters:[500/20018] transplant_loss 0.9816, rec_loss 0.0260, p_loss 0.1834, quant_error1 0.3213, quant_error 0.2773, utilization 0.9857, perplexity 3698.0919,
Train Epoch: [1/5] Iters:[510/20018] transplant_loss 0.9853, rec_loss 0.0260, p_loss 0.1834, quant_error1 0.3230, quant_error 0.2784, utilization 0.9860, perplexity 3736.1456,
Train Epoch: [1/5] Iters:[520/20018] transplant_loss 0.9686, rec_loss 0.0259, p_loss 0.1815, quant_error1 0.3155, quant_error 0.2720, utilization 0.9856, perplexity 3669.6882,
Train Epoch: [1/5] Iters:[530/20018] transplant_loss 0.9627, rec_loss 0.0261, p_loss 0.1812, quant_error1 0.3134, quant_error 0.2694, utilization 0.9858, perplexity 3669.7401,
Train Epoch: [1/5] Iters:[540/20018] transplant_loss 0.9613, rec_loss 0.0265, p_loss 0.1814, quant_error1 0.3123, quant_error 0.2680, utilization 0.9861, perplexity 3742.8722,
Train Epoch: [1/5] Iters:[550/20018] transplant_loss 0.9601, rec_loss 0.0266, p_loss 0.1822, quant_error1 0.3111, quant_error 0.2670, utilization 0.9861, perplexity 3752.0335,
Train Epoch: [1/5] Iters:[560/20018] transplant_loss 0.9579, rec_loss 0.0266, p_loss 0.1835, quant_error1 0.3095, quant_error 0.2654, utilization 0.9858, perplexity 3744.8443,
Train Epoch: [1/5] Iters:[570/20018] transplant_loss 0.9630, rec_loss 0.0267, p_loss 0.1839, quant_error1 0.3117, quant_error 0.2670, utilization 0.9861, perplexity 3758.8393,
Train Epoch: [1/5] Iters:[580/20018] transplant_loss 0.9678, rec_loss 0.0264, p_loss 0.1832, quant_error1 0.3141, quant_error 0.2690, utilization 0.9858, perplexity 3737.1067,
Train Epoch: [1/5] Iters:[590/20018] transplant_loss 0.9705, rec_loss 0.0265, p_loss 0.1835, quant_error1 0.3149, quant_error 0.2698, utilization 0.9856, perplexity 3717.6684,
Train Epoch: [1/5] Iters:[600/20018] transplant_loss 0.9626, rec_loss 0.0260, p_loss 0.1826, quant_error1 0.3116, quant_error 0.2672, utilization 0.9856, perplexity 3733.6434,
Train Epoch: [1/5] Iters:[610/20018] transplant_loss 0.9581, rec_loss 0.0259, p_loss 0.1812, quant_error1 0.3101, quant_error 0.2659, utilization 0.9858, perplexity 3751.6304,
Train Epoch: [1/5] Iters:[620/20018] transplant_loss 0.9590, rec_loss 0.0258, p_loss 0.1803, quant_error1 0.3110, quant_error 0.2664, utilization 0.9858, perplexity 3808.8856,
Train Epoch: [1/5] Iters:[630/20018] transplant_loss 0.9493, rec_loss 0.0257, p_loss 0.1797, quant_error1 0.3059, quant_error 0.2626, utilization 0.9859, perplexity 3764.7515,
Train Epoch: [1/5] Iters:[640/20018] transplant_loss 0.9462, rec_loss 0.0254, p_loss 0.1791, quant_error1 0.3047, quant_error 0.2617, utilization 0.9862, perplexity 3821.0255,
Train Epoch: [1/5] Iters:[650/20018] transplant_loss 0.9511, rec_loss 0.0255, p_loss 0.1792, quant_error1 0.3067, quant_error 0.2634, utilization 0.9861, perplexity 3818.7521,
Train Epoch: [1/5] Iters:[660/20018] transplant_loss 0.9496, rec_loss 0.0254, p_loss 0.1793, quant_error1 0.3054, quant_error 0.2627, utilization 0.9858, perplexity 3778.3509,
Train Epoch: [1/5] Iters:[670/20018] transplant_loss 0.9537, rec_loss 0.0253, p_loss 0.1803, quant_error1 0.3064, quant_error 0.2639, utilization 0.9857, perplexity 3788.4089,
Train Epoch: [1/5] Iters:[680/20018] transplant_loss 0.9561, rec_loss 0.0252, p_loss 0.1807, quant_error1 0.3069, quant_error 0.2644, utilization 0.9857, perplexity 3821.9581,
Train Epoch: [1/5] Iters:[690/20018] transplant_loss 0.9509, rec_loss 0.0252, p_loss 0.1809, quant_error1 0.3040, quant_error 0.2622, utilization 0.9854, perplexity 3784.9827,
Train Epoch: [1/5] Iters:[700/20018] transplant_loss 0.9513, rec_loss 0.0254, p_loss 0.1803, quant_error1 0.3039, quant_error 0.2622, utilization 0.9855, perplexity 3803.2514,
Train Epoch: [1/5] Iters:[710/20018] transplant_loss 0.9579, rec_loss 0.0255, p_loss 0.1801, quant_error1 0.3068, quant_error 0.2647, utilization 0.9858, perplexity 3837.5684,
Train Epoch: [1/5] Iters:[720/20018] transplant_loss 0.9528, rec_loss 0.0255, p_loss 0.1792, quant_error1 0.3043, quant_error 0.2634, utilization 0.9858, perplexity 3817.9465,
Train Epoch: [1/5] Iters:[730/20018] transplant_loss 0.9566, rec_loss 0.0258, p_loss 0.1800, quant_error1 0.3055, quant_error 0.2647, utilization 0.9857, perplexity 3821.2938,
Train Epoch: [1/5] Iters:[740/20018] transplant_loss 0.9732, rec_loss 0.0262, p_loss 0.1805, quant_error1 0.3122, quant_error 0.2704, utilization 0.9858, perplexity 3837.3253,
Train Epoch: [1/5] Iters:[750/20018] transplant_loss 0.9672, rec_loss 0.0259, p_loss 0.1801, quant_error1 0.3087, quant_error 0.2683, utilization 0.9855, perplexity 3803.3793,
Train Epoch: [1/5] Iters:[760/20018] transplant_loss 0.9625, rec_loss 0.0257, p_loss 0.1805, quant_error1 0.3059, quant_error 0.2664, utilization 0.9855, perplexity 3832.6047,
Train Epoch: [1/5] Iters:[770/20018] transplant_loss 0.9525, rec_loss 0.0255, p_loss 0.1802, quant_error1 0.3013, quant_error 0.2624, utilization 0.9856, perplexity 3840.6433,
Train Epoch: [1/5] Iters:[780/20018] transplant_loss 0.9504, rec_loss 0.0253, p_loss 0.1794, quant_error1 0.3005, quant_error 0.2618, utilization 0.9859, perplexity 3879.2609,
Train Epoch: [1/5] Iters:[790/20018] transplant_loss 0.9455, rec_loss 0.0251, p_loss 0.1789, quant_error1 0.2981, quant_error 0.2601, utilization 0.9859, perplexity 3895.9591,
Train Epoch: [1/5] Iters:[800/20018] transplant_loss 0.9478, rec_loss 0.0252, p_loss 0.1797, quant_error1 0.2982, quant_error 0.2605, utilization 0.9859, perplexity 3881.8751,
Train Epoch: [1/5] Iters:[810/20018] transplant_loss 0.9527, rec_loss 0.0255, p_loss 0.1799, quant_error1 0.2997, quant_error 0.2619, utilization 0.9859, perplexity 3889.7092,
Train Epoch: [1/5] Iters:[820/20018] transplant_loss 0.9612, rec_loss 0.0256, p_loss 0.1798, quant_error1 0.3024, quant_error 0.2647, utilization 0.9856, perplexity 3874.3885,
Train Epoch: [1/5] Iters:[830/20018] transplant_loss 0.9581, rec_loss 0.0255, p_loss 0.1792, quant_error1 0.3006, quant_error 0.2638, utilization 0.9855, perplexity 3860.1471,
Train Epoch: [1/5] Iters:[840/20018] transplant_loss 0.9482, rec_loss 0.0253, p_loss 0.1790, quant_error1 0.2959, quant_error 0.2603, utilization 0.9856, perplexity 3902.1128,
Train Epoch: [1/5] Iters:[850/20018] transplant_loss 0.9431, rec_loss 0.0250, p_loss 0.1779, quant_error1 0.2945, quant_error 0.2594, utilization 0.9857, perplexity 3923.9937,
Train Epoch: [1/5] Iters:[860/20018] transplant_loss 0.9395, rec_loss 0.0251, p_loss 0.1778, quant_error1 0.2925, quant_error 0.2581, utilization 0.9858, perplexity 3933.5773,
Train Epoch: [1/5] Iters:[870/20018] transplant_loss 0.9413, rec_loss 0.0253, p_loss 0.1785, quant_error1 0.2930, quant_error 0.2588, utilization 0.9858, perplexity 3963.2184,
Train Epoch: [1/5] Iters:[880/20018] transplant_loss 0.9412, rec_loss 0.0254, p_loss 0.1791, quant_error1 0.2920, quant_error 0.2583, utilization 0.9858, perplexity 3979.3727,
Train Epoch: [1/5] Iters:[890/20018] transplant_loss 0.9387, rec_loss 0.0251, p_loss 0.1782, quant_error1 0.2912, quant_error 0.2581, utilization 0.9857, perplexity 3976.1075,
Train Epoch: [1/5] Iters:[900/20018] transplant_loss 0.9458, rec_loss 0.0256, p_loss 0.1802, quant_error1 0.2925, quant_error 0.2594, utilization 0.9861, perplexity 4049.5484,
Train Epoch: [1/5] Iters:[910/20018] transplant_loss 0.9486, rec_loss 0.0255, p_loss 0.1801, quant_error1 0.2933, quant_error 0.2605, utilization 0.9858, perplexity 4056.3499,
Train Epoch: [1/5] Iters:[920/20018] transplant_loss 0.9429, rec_loss 0.0252, p_loss 0.1787, quant_error1 0.2909, quant_error 0.2591, utilization 0.9858, perplexity 4032.0335,
Train Epoch: [1/5] Iters:[930/20018] transplant_loss 0.9459, rec_loss 0.0254, p_loss 0.1788, quant_error1 0.2921, quant_error 0.2604, utilization 0.9858, perplexity 4011.5354,
Train Epoch: [1/5] Iters:[940/20018] transplant_loss 0.9477, rec_loss 0.0253, p_loss 0.1791, quant_error1 0.2924, quant_error 0.2609, utilization 0.9857, perplexity 4011.0820,
Train Epoch: [1/5] Iters:[950/20018] transplant_loss 0.9461, rec_loss 0.0251, p_loss 0.1784, quant_error1 0.2917, quant_error 0.2607, utilization 0.9853, perplexity 3993.6762,
Train Epoch: [1/5] Iters:[960/20018] transplant_loss 0.9447, rec_loss 0.0251, p_loss 0.1788, quant_error1 0.2905, quant_error 0.2601, utilization 0.9853, perplexity 3993.0543,
Train Epoch: [1/5] Iters:[970/20018] transplant_loss 0.9454, rec_loss 0.0254, p_loss 0.1801, quant_error1 0.2896, quant_error 0.2596, utilization 0.9853, perplexity 4036.4067,
Train Epoch: [1/5] Iters:[980/20018] transplant_loss 0.9390, rec_loss 0.0254, p_loss 0.1802, quant_error1 0.2862, quant_error 0.2571, utilization 0.9854, perplexity 4096.8587,
Train Epoch: [1/5] Iters:[990/20018] transplant_loss 0.9323, rec_loss 0.0254, p_loss 0.1796, quant_error1 0.2831, quant_error 0.2548, utilization 0.9854, perplexity 4092.7415,
Train Epoch: [1/5] Iters:[1000/20018] transplant_loss 0.9354, rec_loss 0.0256, p_loss 0.1792, quant_error1 0.2843, quant_error 0.2561, utilization 0.9855, perplexity 4138.0016,
Train Epoch: [1/5] Iters:[1010/20018] transplant_loss 0.9283, rec_loss 0.0251, p_loss 0.1777, quant_error1 0.2816, quant_error 0.2540, utilization 0.9853, perplexity 4119.6979,
Train Epoch: [1/5] Iters:[1020/20018] transplant_loss 0.9305, rec_loss 0.0250, p_loss 0.1775, quant_error1 0.2827, quant_error 0.2553, utilization 0.9853, perplexity 4110.1216,
Train Epoch: [1/5] Iters:[1030/20018] transplant_loss 0.9423, rec_loss 0.0252, p_loss 0.1780, quant_error1 0.2872, quant_error 0.2595, utilization 0.9851, perplexity 4119.3198,
Train Epoch: [1/5] Iters:[1040/20018] transplant_loss 0.9496, rec_loss 0.0256, p_loss 0.1792, quant_error1 0.2886, quant_error 0.2613, utilization 0.9851, perplexity 4124.9698,
Train Epoch: [1/5] Iters:[1050/20018] transplant_loss 0.9444, rec_loss 0.0255, p_loss 0.1791, quant_error1 0.2859, quant_error 0.2595, utilization 0.9851, perplexity 4122.0204,
Train Epoch: [1/5] Iters:[1060/20018] transplant_loss 0.9441, rec_loss 0.0255, p_loss 0.1789, quant_error1 0.2854, quant_error 0.2594, utilization 0.9854, perplexity 4162.4381,
Train Epoch: [1/5] Iters:[1070/20018] transplant_loss 0.9385, rec_loss 0.0252, p_loss 0.1792, quant_error1 0.2824, quant_error 0.2572, utilization 0.9856, perplexity 4213.7165,
Train Epoch: [1/5] Iters:[1080/20018] transplant_loss 0.9335, rec_loss 0.0252, p_loss 0.1788, quant_error1 0.2801, quant_error 0.2554, utilization 0.9857, perplexity 4254.9416,
Train Epoch: [1/5] Iters:[1090/20018] transplant_loss 0.9308, rec_loss 0.0251, p_loss 0.1784, quant_error1 0.2793, quant_error 0.2549, utilization 0.9856, perplexity 4241.7223,
Train Epoch: [1/5] Iters:[1100/20018] transplant_loss 0.9343, rec_loss 0.0252, p_loss 0.1791, quant_error1 0.2802, quant_error 0.2560, utilization 0.9853, perplexity 4215.4476,
Train Epoch: [1/5] Iters:[1110/20018] transplant_loss 0.9309, rec_loss 0.0250, p_loss 0.1784, quant_error1 0.2791, quant_error 0.2553, utilization 0.9852, perplexity 4206.1936,
Train Epoch: [1/5] Iters:[1120/20018] transplant_loss 0.9403, rec_loss 0.0256, p_loss 0.1786, quant_error1 0.2822, quant_error 0.2585, utilization 0.9850, perplexity 4207.7447,
Train Epoch: [1/5] Iters:[1130/20018] transplant_loss 0.9385, rec_loss 0.0253, p_loss 0.1782, quant_error1 0.2812, quant_error 0.2582, utilization 0.9850, perplexity 4182.4126,
Train Epoch: [1/5] Iters:[1140/20018] transplant_loss 0.9512, rec_loss 0.0257, p_loss 0.1787, quant_error1 0.2859, quant_error 0.2628, utilization 0.9852, perplexity 4258.0723,
Train Epoch: [1/5] Iters:[1150/20018] transplant_loss 0.9518, rec_loss 0.0258, p_loss 0.1787, quant_error1 0.2853, quant_error 0.2629, utilization 0.9852, perplexity 4283.5688,
Train Epoch: [1/5] Iters:[1160/20018] transplant_loss 0.9658, rec_loss 0.0266, p_loss 0.1806, quant_error1 0.2893, quant_error 0.2670, utilization 0.9851, perplexity 4292.1847,
Train Epoch: [1/5] Iters:[1170/20018] transplant_loss 0.9584, rec_loss 0.0259, p_loss 0.1801, quant_error1 0.2864, quant_error 0.2649, utilization 0.9850, perplexity 4281.9334,
Train Epoch: [1/5] Iters:[1180/20018] transplant_loss 0.9499, rec_loss 0.0256, p_loss 0.1790, quant_error1 0.2835, quant_error 0.2624, utilization 0.9851, perplexity 4306.9771,
Train Epoch: [1/5] Iters:[1190/20018] transplant_loss 0.9427, rec_loss 0.0258, p_loss 0.1788, quant_error1 0.2800, quant_error 0.2594, utilization 0.9849, perplexity 4298.3462,
