dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 50
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_FFHQ_model_16384_16_loss_1.0_0.2_1.0_0.4-50.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: FFHQ
model_pre: model_16384_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False
saver_name_pre: wasserstein_vq_refinement_False_FFHQ_model_16384_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/50] Iters:[10/1093] gen_loss 1.6109, rec_loss 0.0336, lpips_loss 0.3296, g_loss 0.0939, disc_weight 0.4000, disc_adaptive_weight 48.4568, d_loss 2.4150, logits_real -0.2955, logits_fake -0.0807,
Train Epoch: [1/50] Iters:[120/1093] gen_loss 2.9842, rec_loss 0.1741, lpips_loss 0.7017, g_loss 0.1805, disc_weight 0.4000, disc_adaptive_weight 12.0130, d_loss 0.7947, logits_real -0.2590, logits_fake -0.1780,
Train Epoch: [1/50] Iters:[130/1093] gen_loss 1.9072, rec_loss 0.1470, lpips_loss 0.6761, g_loss 0.1793, disc_weight 0.4000, disc_adaptive_weight 5.9034, d_loss 0.7516, logits_real -0.2529, logits_fake -0.1792,
Train Epoch: [1/50] Iters:[140/1093] gen_loss 1.7652, rec_loss 0.1196, lpips_loss 0.6569, g_loss 0.1693, disc_weight 0.4000, disc_adaptive_weight 5.7610, d_loss 0.7267, logits_real -0.2453, logits_fake -0.1694,
Train Epoch: [1/50] Iters:[150/1093] gen_loss 1.5140, rec_loss 0.0954, lpips_loss 0.6386, g_loss 0.1549, disc_weight 0.4000, disc_adaptive_weight 5.1007, d_loss 0.7119, logits_real -0.2374, logits_fake -0.1574,
Train Epoch: [1/50] Iters:[160/1093] gen_loss 1.5173, rec_loss 0.0762, lpips_loss 0.6185, g_loss 0.1528, disc_weight 0.4000, disc_adaptive_weight 5.3740, d_loss 0.6999, logits_real -0.2291, logits_fake -0.1531,
Train Epoch: [1/50] Iters:[170/1093] gen_loss 1.4847, rec_loss 0.0644, lpips_loss 0.5965, g_loss 0.1517, disc_weight 0.4000, disc_adaptive_weight 5.3858, d_loss 0.6889, logits_real -0.2201, logits_fake -0.1516,
Train Epoch: [1/50] Iters:[180/1093] gen_loss 1.5105, rec_loss 0.0561, lpips_loss 0.5570, g_loss 0.1542, disc_weight 0.4000, disc_adaptive_weight 5.7601, d_loss 0.6883, logits_real -0.2108, logits_fake -0.1510,
Train Epoch: [1/50] Iters:[190/1093] gen_loss 1.7260, rec_loss 0.0476, lpips_loss 0.4905, g_loss 0.1571, disc_weight 0.4000, disc_adaptive_weight 7.3952, d_loss 0.6942, logits_real -0.2023, logits_fake -0.1552,
Train Epoch: [1/50] Iters:[200/1093] gen_loss 2.4594, rec_loss 0.0395, lpips_loss 0.4267, g_loss 0.1615, disc_weight 0.4000, disc_adaptive_weight 12.5989, d_loss 0.7016, logits_real -0.1946, logits_fake -0.1573,
Train Epoch: [1/50] Iters:[210/1093] gen_loss 3.2448, rec_loss 0.0349, lpips_loss 0.3911, g_loss 0.1572, disc_weight 0.4000, disc_adaptive_weight 18.7993, d_loss 0.7056, logits_real -0.1888, logits_fake -0.1553,
Train Epoch: [1/50] Iters:[220/1093] gen_loss 3.4943, rec_loss 0.0342, lpips_loss 0.3632, g_loss 0.1543, disc_weight 0.4000, disc_adaptive_weight 20.8832, d_loss 0.7084, logits_real -0.1842, logits_fake -0.1531,
Train Epoch: [1/50] Iters:[230/1093] gen_loss 3.5576, rec_loss 0.0333, lpips_loss 0.3416, g_loss 0.1508, disc_weight 0.4000, disc_adaptive_weight 21.5725, d_loss 0.6973, logits_real -0.1810, logits_fake -0.1503,
Train Epoch: [1/50] Iters:[240/1093] gen_loss 3.4689, rec_loss 0.0321, lpips_loss 0.3318, g_loss 0.1491, disc_weight 0.4000, disc_adaptive_weight 21.2376, d_loss 0.6832, logits_real -0.1791, logits_fake -0.1481,
Train Epoch: [1/50] Iters:[250/1093] gen_loss 2.7986, rec_loss 0.0306, lpips_loss 0.3156, g_loss 0.1498, disc_weight 0.4000, disc_adaptive_weight 16.8569, d_loss 0.6694, logits_real -0.1775, logits_fake -0.1494,
Train Epoch: [1/50] Iters:[260/1093] gen_loss 1.9937, rec_loss 0.0260, lpips_loss 0.2700, g_loss 0.1551, disc_weight 0.4000, disc_adaptive_weight 11.0833, d_loss 0.6565, logits_real -0.1763, logits_fake -0.1546,
Train Epoch: [1/50] Iters:[270/1093] gen_loss 1.7700, rec_loss 0.0197, lpips_loss 0.2208, g_loss 0.1601, disc_weight 0.4000, disc_adaptive_weight 9.6164, d_loss 0.6438, logits_real -0.1758, logits_fake -0.1601,
Train Epoch: [1/50] Iters:[280/1093] gen_loss 1.6311, rec_loss 0.0164, lpips_loss 0.1894, g_loss 0.1620, disc_weight 0.4000, disc_adaptive_weight 8.8789, d_loss 0.6332, logits_real -0.1758, logits_fake -0.1617,
Train Epoch: [1/50] Iters:[290/1093] gen_loss 1.3908, rec_loss 0.0149, lpips_loss 0.1746, g_loss 0.1637, disc_weight 0.4000, disc_adaptive_weight 7.3912, d_loss 0.6213, logits_real -0.1756, logits_fake -0.1637,
Train Epoch: [1/50] Iters:[300/1093] gen_loss 1.2384, rec_loss 0.0141, lpips_loss 0.1647, g_loss 0.1659, disc_weight 0.4000, disc_adaptive_weight 6.3869, d_loss 0.6116, logits_real -0.1756, logits_fake -0.1657,
Train Epoch: [1/50] Iters:[310/1093] gen_loss 1.1591, rec_loss 0.0136, lpips_loss 0.1593, g_loss 0.1664, disc_weight 0.4000, disc_adaptive_weight 5.9211, d_loss 0.6017, logits_real -0.1754, logits_fake -0.1663,
Train Epoch: [1/50] Iters:[320/1093] gen_loss 1.0787, rec_loss 0.0130, lpips_loss 0.1559, g_loss 0.1660, disc_weight 0.4000, disc_adaptive_weight 5.4747, d_loss 0.5923, logits_real -0.1752, logits_fake -0.1661,
Train Epoch: [1/50] Iters:[330/1093] gen_loss 1.0084, rec_loss 0.0126, lpips_loss 0.1532, g_loss 0.1658, disc_weight 0.4000, disc_adaptive_weight 5.0774, d_loss 0.5838, logits_real -0.1749, logits_fake -0.1659,
Train Epoch: [1/50] Iters:[340/1093] gen_loss 0.9652, rec_loss 0.0125, lpips_loss 0.1514, g_loss 0.1659, disc_weight 0.4000, disc_adaptive_weight 4.8248, d_loss 0.5760, logits_real -0.1747, logits_fake -0.1663,
Train Epoch: [1/50] Iters:[350/1093] gen_loss 1.0129, rec_loss 0.0123, lpips_loss 0.1506, g_loss 0.1658, disc_weight 0.4000, disc_adaptive_weight 5.1258, d_loss 0.5690, logits_real -0.1746, logits_fake -0.1661,
Train Epoch: [1/50] Iters:[360/1093] gen_loss 0.9974, rec_loss 0.0122, lpips_loss 0.1499, g_loss 0.1652, disc_weight 0.4000, disc_adaptive_weight 5.0544, d_loss 0.5622, logits_real -0.1742, logits_fake -0.1655,
Train Epoch: [1/50] Iters:[370/1093] gen_loss 0.9593, rec_loss 0.0123, lpips_loss 0.1496, g_loss 0.1645, disc_weight 0.4000, disc_adaptive_weight 4.8433, d_loss 0.5563, logits_real -0.1736, logits_fake -0.1649,
Train Epoch: [1/50] Iters:[380/1093] gen_loss 0.9546, rec_loss 0.0123, lpips_loss 0.1495, g_loss 0.1639, disc_weight 0.4000, disc_adaptive_weight 4.8308, d_loss 0.5502, logits_real -0.1732, logits_fake -0.1643,
Train Epoch: [1/50] Iters:[390/1093] gen_loss 0.9549, rec_loss 0.0122, lpips_loss 0.1488, g_loss 0.1633, disc_weight 0.4000, disc_adaptive_weight 4.8576, d_loss 0.5449, logits_real -0.1726, logits_fake -0.1634,
Train Epoch: [1/50] Iters:[400/1093] gen_loss 1.0170, rec_loss 0.0122, lpips_loss 0.1492, g_loss 0.1627, disc_weight 0.4000, disc_adaptive_weight 5.2641, d_loss 0.5396, logits_real -0.1722, logits_fake -0.1626,
Train Epoch: [1/50] Iters:[410/1093] gen_loss 0.9888, rec_loss 0.0122, lpips_loss 0.1494, g_loss 0.1624, disc_weight 0.4000, disc_adaptive_weight 5.0968, d_loss 0.5348, logits_real -0.1718, logits_fake -0.1623,
Train Epoch: [1/50] Iters:[420/1093] gen_loss 1.1147, rec_loss 0.0122, lpips_loss 0.1501, g_loss 0.1622, disc_weight 0.4000, disc_adaptive_weight 5.8716, d_loss 0.5298, logits_real -0.1716, logits_fake -0.1619,
Train Epoch: [1/50] Iters:[430/1093] gen_loss 1.1338, rec_loss 0.0124, lpips_loss 0.1504, g_loss 0.1616, disc_weight 0.4000, disc_adaptive_weight 6.0052, d_loss 0.5260, logits_real -0.1712, logits_fake -0.1614,
Train Epoch: [1/50] Iters:[440/1093] gen_loss 1.1367, rec_loss 0.0125, lpips_loss 0.1515, g_loss 0.1614, disc_weight 0.4000, disc_adaptive_weight 6.0221, d_loss 0.5213, logits_real -0.1708, logits_fake -0.1611,
Train Epoch: [1/50] Iters:[450/1093] gen_loss 1.0245, rec_loss 0.0123, lpips_loss 0.1505, g_loss 0.1613, disc_weight 0.4000, disc_adaptive_weight 5.3353, d_loss 0.5169, logits_real -0.1702, logits_fake -0.1611,
Train Epoch: [1/50] Iters:[460/1093] gen_loss 1.0434, rec_loss 0.0123, lpips_loss 0.1503, g_loss 0.1615, disc_weight 0.4000, disc_adaptive_weight 5.4488, d_loss 0.5125, logits_real -0.1698, logits_fake -0.1611,
Train Epoch: [1/50] Iters:[470/1093] gen_loss 0.9547, rec_loss 0.0123, lpips_loss 0.1501, g_loss 0.1613, disc_weight 0.4000, disc_adaptive_weight 4.9097, d_loss 0.5086, logits_real -0.1693, logits_fake -0.1611,
Train Epoch: [1/50] Iters:[480/1093] gen_loss 0.9640, rec_loss 0.0122, lpips_loss 0.1503, g_loss 0.1614, disc_weight 0.4000, disc_adaptive_weight 4.9668, d_loss 0.5049, logits_real -0.1690, logits_fake -0.1609,
Train Epoch: [1/50] Iters:[490/1093] gen_loss 0.9670, rec_loss 0.0122, lpips_loss 0.1497, g_loss 0.1610, disc_weight 0.4000, disc_adaptive_weight 5.0005, d_loss 0.5016, logits_real -0.1686, logits_fake -0.1608,
Train Epoch: [1/50] Iters:[500/1093] gen_loss 0.9712, rec_loss 0.0124, lpips_loss 0.1511, g_loss 0.1609, disc_weight 0.4000, disc_adaptive_weight 5.0212, d_loss 0.4985, logits_real -0.1683, logits_fake -0.1607,
Train Epoch: [1/50] Iters:[510/1093] gen_loss 0.9401, rec_loss 0.0124, lpips_loss 0.1507, g_loss 0.1602, disc_weight 0.4000, disc_adaptive_weight 4.8475, d_loss 0.4957, logits_real -0.1680, logits_fake -0.1601,
Train Epoch: [1/50] Iters:[520/1093] gen_loss 0.9042, rec_loss 0.0123, lpips_loss 0.1494, g_loss 0.1599, disc_weight 0.4000, disc_adaptive_weight 4.6434, d_loss 0.4924, logits_real -0.1676, logits_fake -0.1597,
Train Epoch: [1/50] Iters:[530/1093] gen_loss 0.9095, rec_loss 0.0122, lpips_loss 0.1487, g_loss 0.1597, disc_weight 0.4000, disc_adaptive_weight 4.6813, d_loss 0.4891, logits_real -0.1672, logits_fake -0.1598,
Train Epoch: [1/50] Iters:[540/1093] gen_loss 0.9133, rec_loss 0.0121, lpips_loss 0.1488, g_loss 0.1596, disc_weight 0.4000, disc_adaptive_weight 4.7082, d_loss 0.4863, logits_real -0.1669, logits_fake -0.1595,
Train Epoch: [1/50] Iters:[550/1093] gen_loss 0.9739, rec_loss 0.0118, lpips_loss 0.1475, g_loss 0.1591, disc_weight 0.4000, disc_adaptive_weight 5.1181, d_loss 0.4824, logits_real -0.1665, logits_fake -0.1590,
Train Epoch: [1/50] Iters:[560/1093] gen_loss 1.0157, rec_loss 0.0120, lpips_loss 0.1483, g_loss 0.1587, disc_weight 0.4000, disc_adaptive_weight 5.3875, d_loss 0.4798, logits_real -0.1659, logits_fake -0.1588,
Train Epoch: [1/50] Iters:[570/1093] gen_loss 1.1085, rec_loss 0.0122, lpips_loss 0.1503, g_loss 0.1583, disc_weight 0.4000, disc_adaptive_weight 5.9723, d_loss 0.4770, logits_real -0.1654, logits_fake -0.1583,
Train Epoch: [1/50] Iters:[580/1093] gen_loss 1.1529, rec_loss 0.0123, lpips_loss 0.1508, g_loss 0.1579, disc_weight 0.4000, disc_adaptive_weight 6.2696, d_loss 0.4747, logits_real -0.1650, logits_fake -0.1577,
Train Epoch: [1/50] Iters:[590/1093] gen_loss 1.1735, rec_loss 0.0124, lpips_loss 0.1512, g_loss 0.1572, disc_weight 0.4000, disc_adaptive_weight 6.4180, d_loss 0.4723, logits_real -0.1644, logits_fake -0.1569,
Train Epoch: [1/50] Iters:[600/1093] gen_loss 1.1304, rec_loss 0.0125, lpips_loss 0.1519, g_loss 0.1566, disc_weight 0.4000, disc_adaptive_weight 6.1629, d_loss 0.4709, logits_real -0.1639, logits_fake -0.1561,
Train Epoch: [1/50] Iters:[610/1093] gen_loss 1.1334, rec_loss 0.0125, lpips_loss 0.1517, g_loss 0.1562, disc_weight 0.4000, disc_adaptive_weight 6.1944, d_loss 0.4684, logits_real -0.1633, logits_fake -0.1558,
Train Epoch: [1/50] Iters:[620/1093] gen_loss 1.0900, rec_loss 0.0124, lpips_loss 0.1506, g_loss 0.1559, disc_weight 0.4000, disc_adaptive_weight 5.9378, d_loss 0.4662, logits_real -0.1626, logits_fake -0.1554,
Train Epoch: [1/50] Iters:[630/1093] gen_loss 1.0139, rec_loss 0.0124, lpips_loss 0.1506, g_loss 0.1552, disc_weight 0.4000, disc_adaptive_weight 5.4774, d_loss 0.4638, logits_real -0.1620, logits_fake -0.1548,
Train Epoch: [1/50] Iters:[640/1093] gen_loss 0.9664, rec_loss 0.0124, lpips_loss 0.1500, g_loss 0.1546, disc_weight 0.4000, disc_adaptive_weight 5.1985, d_loss 0.4619, logits_real -0.1614, logits_fake -0.1546,
Train Epoch: [1/50] Iters:[650/1093] gen_loss 0.9228, rec_loss 0.0122, lpips_loss 0.1494, g_loss 0.1546, disc_weight 0.4000, disc_adaptive_weight 4.9212, d_loss 0.4596, logits_real -0.1607, logits_fake -0.1546,
Train Epoch: [1/50] Iters:[660/1093] gen_loss 0.9082, rec_loss 0.0121, lpips_loss 0.1492, g_loss 0.1543, disc_weight 0.4000, disc_adaptive_weight 4.8352, d_loss 0.4577, logits_real -0.1604, logits_fake -0.1543,
Train Epoch: [1/50] Iters:[670/1093] gen_loss 0.8945, rec_loss 0.0120, lpips_loss 0.1490, g_loss 0.1536, disc_weight 0.4000, disc_adaptive_weight 4.7708, d_loss 0.4560, logits_real -0.1599, logits_fake -0.1536,
Train Epoch: [1/50] Iters:[680/1093] gen_loss 0.8789, rec_loss 0.0119, lpips_loss 0.1480, g_loss 0.1528, disc_weight 0.4000, disc_adaptive_weight 4.7024, d_loss 0.4545, logits_real -0.1593, logits_fake -0.1529,
Train Epoch: [1/50] Iters:[690/1093] gen_loss 0.8731, rec_loss 0.0118, lpips_loss 0.1476, g_loss 0.1521, disc_weight 0.4000, disc_adaptive_weight 4.6848, d_loss 0.4527, logits_real -0.1588, logits_fake -0.1523,
Train Epoch: [1/50] Iters:[700/1093] gen_loss 0.8733, rec_loss 0.0118, lpips_loss 0.1477, g_loss 0.1511, disc_weight 0.4000, disc_adaptive_weight 4.7134, d_loss 0.4512, logits_real -0.1581, logits_fake -0.1514,
Train Epoch: [1/50] Iters:[710/1093] gen_loss 0.8719, rec_loss 0.0119, lpips_loss 0.1475, g_loss 0.1502, disc_weight 0.4000, disc_adaptive_weight 4.7409, d_loss 0.4497, logits_real -0.1572, logits_fake -0.1504,
Train Epoch: [1/50] Iters:[720/1093] gen_loss 0.9059, rec_loss 0.0119, lpips_loss 0.1475, g_loss 0.1493, disc_weight 0.4000, disc_adaptive_weight 5.0050, d_loss 0.4482, logits_real -0.1564, logits_fake -0.1496,
Train Epoch: [1/50] Iters:[730/1093] gen_loss 0.9883, rec_loss 0.0121, lpips_loss 0.1480, g_loss 0.1486, disc_weight 0.4000, disc_adaptive_weight 5.5873, d_loss 0.4471, logits_real -0.1556, logits_fake -0.1486,
Train Epoch: [1/50] Iters:[740/1093] gen_loss 1.0086, rec_loss 0.0121, lpips_loss 0.1483, g_loss 0.1477, disc_weight 0.4000, disc_adaptive_weight 5.7488, d_loss 0.4457, logits_real -0.1550, logits_fake -0.1478,
Train Epoch: [1/50] Iters:[750/1093] gen_loss 1.0183, rec_loss 0.0121, lpips_loss 0.1481, g_loss 0.1471, disc_weight 0.4000, disc_adaptive_weight 5.8342, d_loss 0.4444, logits_real -0.1545, logits_fake -0.1474,
Train Epoch: [1/50] Iters:[760/1093] gen_loss 0.9958, rec_loss 0.0120, lpips_loss 0.1478, g_loss 0.1464, disc_weight 0.4000, disc_adaptive_weight 5.7068, d_loss 0.4432, logits_real -0.1538, logits_fake -0.1468,
Train Epoch: [1/50] Iters:[770/1093] gen_loss 0.9163, rec_loss 0.0121, lpips_loss 0.1477, g_loss 0.1460, disc_weight 0.4000, disc_adaptive_weight 5.1806, d_loss 0.4418, logits_real -0.1532, logits_fake -0.1463,
Train Epoch: [1/50] Iters:[780/1093] gen_loss 0.8621, rec_loss 0.0119, lpips_loss 0.1476, g_loss 0.1457, disc_weight 0.4000, disc_adaptive_weight 4.8232, d_loss 0.4407, logits_real -0.1525, logits_fake -0.1460,
Train Epoch: [1/50] Iters:[790/1093] gen_loss 0.8627, rec_loss 0.0121, lpips_loss 0.1479, g_loss 0.1453, disc_weight 0.4000, disc_adaptive_weight 4.8390, d_loss 0.4396, logits_real -0.1516, logits_fake -0.1455,
Train Epoch: [1/50] Iters:[800/1093] gen_loss 0.8856, rec_loss 0.0122, lpips_loss 0.1482, g_loss 0.1448, disc_weight 0.4000, disc_adaptive_weight 5.0103, d_loss 0.4387, logits_real -0.1511, logits_fake -0.1448,
Train Epoch: [1/50] Iters:[810/1093] gen_loss 0.9499, rec_loss 0.0122, lpips_loss 0.1482, g_loss 0.1445, disc_weight 0.4000, disc_adaptive_weight 5.4659, d_loss 0.4376, logits_real -0.1507, logits_fake -0.1442,
Train Epoch: [1/50] Iters:[820/1093] gen_loss 0.9559, rec_loss 0.0123, lpips_loss 0.1489, g_loss 0.1441, disc_weight 0.4000, disc_adaptive_weight 5.5137, d_loss 0.4369, logits_real -0.1503, logits_fake -0.1438,
Train Epoch: [1/50] Iters:[830/1093] gen_loss 0.9420, rec_loss 0.0125, lpips_loss 0.1498, g_loss 0.1438, disc_weight 0.4000, disc_adaptive_weight 5.4233, d_loss 0.4361, logits_real -0.1501, logits_fake -0.1437,
Train Epoch: [1/50] Iters:[840/1093] gen_loss 0.9410, rec_loss 0.0123, lpips_loss 0.1494, g_loss 0.1436, disc_weight 0.4000, disc_adaptive_weight 5.4247, d_loss 0.4353, logits_real -0.1501, logits_fake -0.1436,
Train Epoch: [1/50] Iters:[850/1093] gen_loss 0.9630, rec_loss 0.0123, lpips_loss 0.1494, g_loss 0.1432, disc_weight 0.4000, disc_adaptive_weight 5.5922, d_loss 0.4343, logits_real -0.1499, logits_fake -0.1433,
Train Epoch: [1/50] Iters:[860/1093] gen_loss 0.8937, rec_loss 0.0124, lpips_loss 0.1496, g_loss 0.1427, disc_weight 0.4000, disc_adaptive_weight 5.1239, d_loss 0.4338, logits_real -0.1495, logits_fake -0.1429,
Train Epoch: [1/50] Iters:[870/1093] gen_loss 0.8947, rec_loss 0.0122, lpips_loss 0.1490, g_loss 0.1423, disc_weight 0.4000, disc_adaptive_weight 5.1498, d_loss 0.4328, logits_real -0.1490, logits_fake -0.1426,
Train Epoch: [1/50] Iters:[880/1093] gen_loss 0.8765, rec_loss 0.0121, lpips_loss 0.1483, g_loss 0.1421, disc_weight 0.4000, disc_adaptive_weight 5.0345, d_loss 0.4319, logits_real -0.1484, logits_fake -0.1423,
Train Epoch: [1/50] Iters:[890/1093] gen_loss 0.9606, rec_loss 0.0122, lpips_loss 0.1484, g_loss 0.1419, disc_weight 0.4000, disc_adaptive_weight 5.6303, d_loss 0.4311, logits_real -0.1482, logits_fake -0.1419,
Train Epoch: [1/50] Iters:[900/1093] gen_loss 0.9452, rec_loss 0.0122, lpips_loss 0.1487, g_loss 0.1419, disc_weight 0.4000, disc_adaptive_weight 5.5206, d_loss 0.4304, logits_real -0.1478, logits_fake -0.1417,
Train Epoch: [1/50] Iters:[910/1093] gen_loss 0.9592, rec_loss 0.0122, lpips_loss 0.1492, g_loss 0.1421, disc_weight 0.4000, disc_adaptive_weight 5.6105, d_loss 0.4297, logits_real -0.1477, logits_fake -0.1417,
Train Epoch: [1/50] Iters:[920/1093] gen_loss 0.9859, rec_loss 0.0122, lpips_loss 0.1495, g_loss 0.1424, disc_weight 0.4000, disc_adaptive_weight 5.7858, d_loss 0.4292, logits_real -0.1476, logits_fake -0.1417,
Train Epoch: [1/50] Iters:[930/1093] gen_loss 1.0036, rec_loss 0.0122, lpips_loss 0.1497, g_loss 0.1423, disc_weight 0.4000, disc_adaptive_weight 5.9096, d_loss 0.4285, logits_real -0.1476, logits_fake -0.1416,
