dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 32768
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 15
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_32768_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_15
saver_name_pre: wasserstein_vq_refinement_False_15_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/15] Iters:[10/20018] gen_loss -2.2669, rec_loss 0.0240, lpips_loss 0.1984, g_loss -0.2615, disc_weight 0.4000, disc_adaptive_weight 10.1100, d_loss 2.3252, logits_real 0.3270, logits_fake 0.2557,
Train Epoch: [1/15] Iters:[310/20018] gen_loss -0.6341, rec_loss 0.0236, lpips_loss 0.1773, g_loss -0.2578, disc_weight 0.4000, disc_adaptive_weight 3.2392, d_loss 0.5708, logits_real 0.2552, logits_fake 0.2574,
Train Epoch: [1/15] Iters:[320/20018] gen_loss -0.6465, rec_loss 0.0241, lpips_loss 0.1787, g_loss -0.2559, disc_weight 0.4000, disc_adaptive_weight 3.3210, d_loss 0.5663, logits_real 0.2536, logits_fake 0.2555,
Train Epoch: [1/15] Iters:[330/20018] gen_loss -0.6443, rec_loss 0.0246, lpips_loss 0.1802, g_loss -0.2540, disc_weight 0.4000, disc_adaptive_weight 3.3471, d_loss 0.5623, logits_real 0.2517, logits_fake 0.2536,
Train Epoch: [1/15] Iters:[340/20018] gen_loss -0.6584, rec_loss 0.0244, lpips_loss 0.1797, g_loss -0.2524, disc_weight 0.4000, disc_adaptive_weight 3.4212, d_loss 0.5580, logits_real 0.2505, logits_fake 0.2519,
Train Epoch: [1/15] Iters:[350/20018] gen_loss -0.6239, rec_loss 0.0242, lpips_loss 0.1806, g_loss -0.2503, disc_weight 0.4000, disc_adaptive_weight 3.3114, d_loss 0.5526, logits_real 0.2489, logits_fake 0.2500,
Train Epoch: [1/15] Iters:[360/20018] gen_loss -0.6336, rec_loss 0.0243, lpips_loss 0.1799, g_loss -0.2484, disc_weight 0.4000, disc_adaptive_weight 3.3708, d_loss 0.5486, logits_real 0.2475, logits_fake 0.2482,
Train Epoch: [1/15] Iters:[370/20018] gen_loss -0.6324, rec_loss 0.0237, lpips_loss 0.1784, g_loss -0.2469, disc_weight 0.4000, disc_adaptive_weight 3.3788, d_loss 0.5440, logits_real 0.2459, logits_fake 0.2469,
Train Epoch: [1/15] Iters:[380/20018] gen_loss -0.6170, rec_loss 0.0239, lpips_loss 0.1772, g_loss -0.2454, disc_weight 0.4000, disc_adaptive_weight 3.3346, d_loss 0.5397, logits_real 0.2448, logits_fake 0.2456,
Train Epoch: [1/15] Iters:[390/20018] gen_loss -0.6000, rec_loss 0.0242, lpips_loss 0.1786, g_loss -0.2437, disc_weight 0.4000, disc_adaptive_weight 3.2951, d_loss 0.5360, logits_real 0.2430, logits_fake 0.2437,
Train Epoch: [1/15] Iters:[400/20018] gen_loss -0.6162, rec_loss 0.0241, lpips_loss 0.1766, g_loss -0.2428, disc_weight 0.4000, disc_adaptive_weight 3.3628, d_loss 0.5324, logits_real 0.2418, logits_fake 0.2427,
Train Epoch: [1/15] Iters:[410/20018] gen_loss -0.6843, rec_loss 0.0239, lpips_loss 0.1760, g_loss -0.2416, disc_weight 0.4000, disc_adaptive_weight 3.6604, d_loss 0.5294, logits_real 0.2404, logits_fake 0.2417,
Train Epoch: [1/15] Iters:[420/20018] gen_loss -0.7311, rec_loss 0.0238, lpips_loss 0.1757, g_loss -0.2405, disc_weight 0.4000, disc_adaptive_weight 3.8729, d_loss 0.5261, logits_real 0.2389, logits_fake 0.2405,
Train Epoch: [1/15] Iters:[430/20018] gen_loss -0.6969, rec_loss 0.0232, lpips_loss 0.1760, g_loss -0.2391, disc_weight 0.4000, disc_adaptive_weight 3.7468, d_loss 0.5227, logits_real 0.2372, logits_fake 0.2390,
Train Epoch: [1/15] Iters:[440/20018] gen_loss -0.6885, rec_loss 0.0232, lpips_loss 0.1762, g_loss -0.2379, disc_weight 0.4000, disc_adaptive_weight 3.7276, d_loss 0.5198, logits_real 0.2361, logits_fake 0.2379,
Train Epoch: [1/15] Iters:[450/20018] gen_loss -0.6904, rec_loss 0.0232, lpips_loss 0.1775, g_loss -0.2365, disc_weight 0.4000, disc_adaptive_weight 3.7612, d_loss 0.5172, logits_real 0.2345, logits_fake 0.2366,
Train Epoch: [1/15] Iters:[460/20018] gen_loss -0.6062, rec_loss 0.0234, lpips_loss 0.1773, g_loss -0.2351, disc_weight 0.4000, disc_adaptive_weight 3.4270, d_loss 0.5139, logits_real 0.2333, logits_fake 0.2352,
Train Epoch: [1/15] Iters:[470/20018] gen_loss -0.5278, rec_loss 0.0236, lpips_loss 0.1791, g_loss -0.2339, disc_weight 0.4000, disc_adaptive_weight 3.1233, d_loss 0.5114, logits_real 0.2319, logits_fake 0.2338,
Train Epoch: [1/15] Iters:[480/20018] gen_loss -0.5369, rec_loss 0.0235, lpips_loss 0.1791, g_loss -0.2326, disc_weight 0.4000, disc_adaptive_weight 3.1780, d_loss 0.5086, logits_real 0.2308, logits_fake 0.2323,
Train Epoch: [1/15] Iters:[490/20018] gen_loss -0.5588, rec_loss 0.0230, lpips_loss 0.1780, g_loss -0.2315, disc_weight 0.4000, disc_adaptive_weight 3.2818, d_loss 0.5056, logits_real 0.2295, logits_fake 0.2313,
Train Epoch: [1/15] Iters:[500/20018] gen_loss -0.6397, rec_loss 0.0231, lpips_loss 0.1776, g_loss -0.2304, disc_weight 0.4000, disc_adaptive_weight 3.6528, d_loss 0.5031, logits_real 0.2284, logits_fake 0.2301,
Train Epoch: [1/15] Iters:[510/20018] gen_loss -0.6772, rec_loss 0.0232, lpips_loss 0.1784, g_loss -0.2293, disc_weight 0.4000, disc_adaptive_weight 3.8353, d_loss 0.5013, logits_real 0.2271, logits_fake 0.2291,
Train Epoch: [1/15] Iters:[520/20018] gen_loss -0.6626, rec_loss 0.0233, lpips_loss 0.1771, g_loss -0.2283, disc_weight 0.4000, disc_adaptive_weight 3.7809, d_loss 0.4981, logits_real 0.2264, logits_fake 0.2280,
Train Epoch: [1/15] Iters:[530/20018] gen_loss -0.6851, rec_loss 0.0236, lpips_loss 0.1773, g_loss -0.2274, disc_weight 0.4000, disc_adaptive_weight 3.8947, d_loss 0.4956, logits_real 0.2256, logits_fake 0.2274,
Train Epoch: [1/15] Iters:[540/20018] gen_loss -0.7028, rec_loss 0.0240, lpips_loss 0.1778, g_loss -0.2263, disc_weight 0.4000, disc_adaptive_weight 3.9964, d_loss 0.4939, logits_real 0.2245, logits_fake 0.2264,
Train Epoch: [1/15] Iters:[550/20018] gen_loss -0.6094, rec_loss 0.0242, lpips_loss 0.1785, g_loss -0.2253, disc_weight 0.4000, disc_adaptive_weight 3.6047, d_loss 0.4912, logits_real 0.2235, logits_fake 0.2254,
Train Epoch: [1/15] Iters:[560/20018] gen_loss -0.5687, rec_loss 0.0241, lpips_loss 0.1795, g_loss -0.2242, disc_weight 0.4000, disc_adaptive_weight 3.4435, d_loss 0.4885, logits_real 0.2227, logits_fake 0.2243,
Train Epoch: [1/15] Iters:[570/20018] gen_loss -0.6168, rec_loss 0.0241, lpips_loss 0.1798, g_loss -0.2232, disc_weight 0.4000, disc_adaptive_weight 3.6764, d_loss 0.4866, logits_real 0.2214, logits_fake 0.2233,
Train Epoch: [1/15] Iters:[580/20018] gen_loss -0.5928, rec_loss 0.0239, lpips_loss 0.1791, g_loss -0.2221, disc_weight 0.4000, disc_adaptive_weight 3.5797, d_loss 0.4848, logits_real 0.2203, logits_fake 0.2221,
Train Epoch: [1/15] Iters:[590/20018] gen_loss -0.5543, rec_loss 0.0239, lpips_loss 0.1799, g_loss -0.2213, disc_weight 0.4000, disc_adaptive_weight 3.4250, d_loss 0.4825, logits_real 0.2195, logits_fake 0.2211,
Train Epoch: [1/15] Iters:[600/20018] gen_loss -0.5758, rec_loss 0.0236, lpips_loss 0.1795, g_loss -0.2203, disc_weight 0.4000, disc_adaptive_weight 3.5337, d_loss 0.4806, logits_real 0.2188, logits_fake 0.2200,
Train Epoch: [1/15] Iters:[610/20018] gen_loss -0.5582, rec_loss 0.0237, lpips_loss 0.1786, g_loss -0.2191, disc_weight 0.4000, disc_adaptive_weight 3.4678, d_loss 0.4786, logits_real 0.2176, logits_fake 0.2189,
Train Epoch: [1/15] Iters:[620/20018] gen_loss -0.5153, rec_loss 0.0238, lpips_loss 0.1783, g_loss -0.2180, disc_weight 0.4000, disc_adaptive_weight 3.2888, d_loss 0.4766, logits_real 0.2167, logits_fake 0.2179,
Train Epoch: [1/15] Iters:[630/20018] gen_loss -0.5442, rec_loss 0.0236, lpips_loss 0.1777, g_loss -0.2170, disc_weight 0.4000, disc_adaptive_weight 3.4347, d_loss 0.4743, logits_real 0.2155, logits_fake 0.2168,
Train Epoch: [1/15] Iters:[640/20018] gen_loss -0.5639, rec_loss 0.0234, lpips_loss 0.1770, g_loss -0.2158, disc_weight 0.4000, disc_adaptive_weight 3.5415, d_loss 0.4721, logits_real 0.2145, logits_fake 0.2155,
Train Epoch: [1/15] Iters:[650/20018] gen_loss -0.5728, rec_loss 0.0236, lpips_loss 0.1770, g_loss -0.2148, disc_weight 0.4000, disc_adaptive_weight 3.6012, d_loss 0.4706, logits_real 0.2134, logits_fake 0.2148,
Train Epoch: [1/15] Iters:[660/20018] gen_loss -0.6407, rec_loss 0.0234, lpips_loss 0.1770, g_loss -0.2139, disc_weight 0.4000, disc_adaptive_weight 3.9344, d_loss 0.4686, logits_real 0.2123, logits_fake 0.2139,
Train Epoch: [1/15] Iters:[670/20018] gen_loss -0.6471, rec_loss 0.0232, lpips_loss 0.1776, g_loss -0.2131, disc_weight 0.4000, disc_adaptive_weight 3.9791, d_loss 0.4675, logits_real 0.2114, logits_fake 0.2130,
Train Epoch: [1/15] Iters:[680/20018] gen_loss -0.6375, rec_loss 0.0232, lpips_loss 0.1782, g_loss -0.2120, disc_weight 0.4000, disc_adaptive_weight 3.9569, d_loss 0.4660, logits_real 0.2104, logits_fake 0.2119,
Train Epoch: [1/15] Iters:[690/20018] gen_loss -0.6303, rec_loss 0.0233, lpips_loss 0.1787, g_loss -0.2110, disc_weight 0.4000, disc_adaptive_weight 3.9436, d_loss 0.4642, logits_real 0.2094, logits_fake 0.2110,
Train Epoch: [1/15] Iters:[700/20018] gen_loss -0.6057, rec_loss 0.0234, lpips_loss 0.1783, g_loss -0.2098, disc_weight 0.4000, disc_adaptive_weight 3.8471, d_loss 0.4627, logits_real 0.2084, logits_fake 0.2097,
Train Epoch: [1/15] Iters:[710/20018] gen_loss -0.5738, rec_loss 0.0235, lpips_loss 0.1783, g_loss -0.2089, disc_weight 0.4000, disc_adaptive_weight 3.7122, d_loss 0.4617, logits_real 0.2076, logits_fake 0.2090,
Train Epoch: [1/15] Iters:[720/20018] gen_loss -0.5993, rec_loss 0.0236, lpips_loss 0.1777, g_loss -0.2079, disc_weight 0.4000, disc_adaptive_weight 3.8493, d_loss 0.4600, logits_real 0.2066, logits_fake 0.2081,
Train Epoch: [1/15] Iters:[730/20018] gen_loss -0.5874, rec_loss 0.0240, lpips_loss 0.1785, g_loss -0.2071, disc_weight 0.4000, disc_adaptive_weight 3.8132, d_loss 0.4589, logits_real 0.2057, logits_fake 0.2072,
Train Epoch: [1/15] Iters:[740/20018] gen_loss -0.5422, rec_loss 0.0242, lpips_loss 0.1787, g_loss -0.2062, disc_weight 0.4000, disc_adaptive_weight 3.6107, d_loss 0.4578, logits_real 0.2048, logits_fake 0.2065,
Train Epoch: [1/15] Iters:[750/20018] gen_loss -0.5435, rec_loss 0.0240, lpips_loss 0.1780, g_loss -0.2054, disc_weight 0.4000, disc_adaptive_weight 3.6278, d_loss 0.4563, logits_real 0.2037, logits_fake 0.2056,
Train Epoch: [1/15] Iters:[760/20018] gen_loss -0.5581, rec_loss 0.0237, lpips_loss 0.1784, g_loss -0.2043, disc_weight 0.4000, disc_adaptive_weight 3.7206, d_loss 0.4547, logits_real 0.2026, logits_fake 0.2045,
Train Epoch: [1/15] Iters:[770/20018] gen_loss -0.5671, rec_loss 0.0235, lpips_loss 0.1780, g_loss -0.2031, disc_weight 0.4000, disc_adaptive_weight 3.7872, d_loss 0.4530, logits_real 0.2015, logits_fake 0.2032,
Train Epoch: [1/15] Iters:[780/20018] gen_loss -0.5696, rec_loss 0.0232, lpips_loss 0.1774, g_loss -0.2020, disc_weight 0.4000, disc_adaptive_weight 3.8165, d_loss 0.4511, logits_real 0.2004, logits_fake 0.2021,
Train Epoch: [1/15] Iters:[790/20018] gen_loss -0.6096, rec_loss 0.0231, lpips_loss 0.1771, g_loss -0.2010, disc_weight 0.4000, disc_adaptive_weight 4.0305, d_loss 0.4500, logits_real 0.1993, logits_fake 0.2008,
Train Epoch: [1/15] Iters:[800/20018] gen_loss -0.5829, rec_loss 0.0233, lpips_loss 0.1781, g_loss -0.2000, disc_weight 0.4000, disc_adaptive_weight 3.9206, d_loss 0.4487, logits_real 0.1983, logits_fake 0.1998,
Train Epoch: [1/15] Iters:[810/20018] gen_loss -0.5825, rec_loss 0.0236, lpips_loss 0.1781, g_loss -0.1990, disc_weight 0.4000, disc_adaptive_weight 3.9423, d_loss 0.4476, logits_real 0.1973, logits_fake 0.1986,
Train Epoch: [1/15] Iters:[820/20018] gen_loss -0.5296, rec_loss 0.0238, lpips_loss 0.1782, g_loss -0.1981, disc_weight 0.4000, disc_adaptive_weight 3.6923, d_loss 0.4465, logits_real 0.1965, logits_fake 0.1977,
Train Epoch: [1/15] Iters:[830/20018] gen_loss -0.5106, rec_loss 0.0237, lpips_loss 0.1774, g_loss -0.1971, disc_weight 0.4000, disc_adaptive_weight 3.6100, d_loss 0.4455, logits_real 0.1956, logits_fake 0.1969,
Train Epoch: [1/15] Iters:[840/20018] gen_loss -0.4912, rec_loss 0.0236, lpips_loss 0.1772, g_loss -0.1960, disc_weight 0.4000, disc_adaptive_weight 3.5310, d_loss 0.4445, logits_real 0.1944, logits_fake 0.1960,
Train Epoch: [1/15] Iters:[850/20018] gen_loss -0.5593, rec_loss 0.0234, lpips_loss 0.1765, g_loss -0.1949, disc_weight 0.4000, disc_adaptive_weight 3.8984, d_loss 0.4434, logits_real 0.1933, logits_fake 0.1948,
Train Epoch: [1/15] Iters:[860/20018] gen_loss -0.5745, rec_loss 0.0236, lpips_loss 0.1767, g_loss -0.1935, disc_weight 0.4000, disc_adaptive_weight 4.0108, d_loss 0.4428, logits_real 0.1922, logits_fake 0.1937,
Train Epoch: [1/15] Iters:[870/20018] gen_loss -0.5876, rec_loss 0.0237, lpips_loss 0.1775, g_loss -0.1923, disc_weight 0.4000, disc_adaptive_weight 4.1064, d_loss 0.4425, logits_real 0.1909, logits_fake 0.1924,
Train Epoch: [1/15] Iters:[880/20018] gen_loss -0.5705, rec_loss 0.0239, lpips_loss 0.1784, g_loss -0.1910, disc_weight 0.4000, disc_adaptive_weight 4.0432, d_loss 0.4417, logits_real 0.1897, logits_fake 0.1910,
Train Epoch: [1/15] Iters:[890/20018] gen_loss -0.5701, rec_loss 0.0236, lpips_loss 0.1775, g_loss -0.1898, disc_weight 0.4000, disc_adaptive_weight 4.0585, d_loss 0.4413, logits_real 0.1885, logits_fake 0.1898,
Train Epoch: [1/15] Iters:[900/20018] gen_loss -0.5126, rec_loss 0.0240, lpips_loss 0.1792, g_loss -0.1886, disc_weight 0.4000, disc_adaptive_weight 3.7925, d_loss 0.4404, logits_real 0.1874, logits_fake 0.1887,
Train Epoch: [1/15] Iters:[910/20018] gen_loss -0.4634, rec_loss 0.0238, lpips_loss 0.1789, g_loss -0.1874, disc_weight 0.4000, disc_adaptive_weight 3.5575, d_loss 0.4393, logits_real 0.1862, logits_fake 0.1873,
Train Epoch: [1/15] Iters:[920/20018] gen_loss -0.4512, rec_loss 0.0235, lpips_loss 0.1776, g_loss -0.1861, disc_weight 0.4000, disc_adaptive_weight 3.5076, d_loss 0.4383, logits_real 0.1850, logits_fake 0.1862,
Train Epoch: [1/15] Iters:[930/20018] gen_loss -0.4544, rec_loss 0.0236, lpips_loss 0.1778, g_loss -0.1850, disc_weight 0.4000, disc_adaptive_weight 3.5448, d_loss 0.4377, logits_real 0.1839, logits_fake 0.1852,
