dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_10
saver_name_pre: wasserstein_vq_refinement_False_10_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss 6.6235, rec_loss 0.0277, lpips_loss 0.2392, g_loss 0.3848, disc_weight 0.4000, disc_adaptive_weight 15.2948, d_loss 2.5674, logits_real -0.2907, logits_fake -0.3909,
Train Epoch: [1/10] Iters:[120/20018] gen_loss 1.9250, rec_loss 0.0397, lpips_loss 0.2469, g_loss 0.2508, disc_weight 0.4000, disc_adaptive_weight 6.4787, d_loss 0.9931, logits_real -0.2532, logits_fake -0.2500,
Train Epoch: [1/10] Iters:[130/20018] gen_loss 1.5169, rec_loss 0.0372, lpips_loss 0.2227, g_loss 0.2472, disc_weight 0.4000, disc_adaptive_weight 5.0561, d_loss 0.9326, logits_real -0.2501, logits_fake -0.2464,
Train Epoch: [1/10] Iters:[140/20018] gen_loss 1.5058, rec_loss 0.0353, lpips_loss 0.2166, g_loss 0.2453, disc_weight 0.4000, disc_adaptive_weight 5.0904, d_loss 0.8803, logits_real -0.2468, logits_fake -0.2446,
Train Epoch: [1/10] Iters:[150/20018] gen_loss 1.5226, rec_loss 0.0396, lpips_loss 0.2241, g_loss 0.2445, disc_weight 0.4000, disc_adaptive_weight 5.1284, d_loss 0.8436, logits_real -0.2433, logits_fake -0.2441,
Train Epoch: [1/10] Iters:[160/20018] gen_loss 1.5391, rec_loss 0.0437, lpips_loss 0.2300, g_loss 0.2428, disc_weight 0.4000, disc_adaptive_weight 5.1863, d_loss 0.8076, logits_real -0.2404, logits_fake -0.2428,
Train Epoch: [1/10] Iters:[170/20018] gen_loss 1.5417, rec_loss 0.0457, lpips_loss 0.2331, g_loss 0.2414, disc_weight 0.4000, disc_adaptive_weight 5.2109, d_loss 0.7750, logits_real -0.2368, logits_fake -0.2414,
Train Epoch: [1/10] Iters:[180/20018] gen_loss 1.5723, rec_loss 0.0467, lpips_loss 0.2339, g_loss 0.2407, disc_weight 0.4000, disc_adaptive_weight 5.3468, d_loss 0.7474, logits_real -0.2332, logits_fake -0.2409,
Train Epoch: [1/10] Iters:[190/20018] gen_loss 1.5330, rec_loss 0.0474, lpips_loss 0.2317, g_loss 0.2377, disc_weight 0.4000, disc_adaptive_weight 5.2717, d_loss 0.7248, logits_real -0.2296, logits_fake -0.2377,
Train Epoch: [1/10] Iters:[200/20018] gen_loss 1.4622, rec_loss 0.0443, lpips_loss 0.2220, g_loss 0.2349, disc_weight 0.4000, disc_adaptive_weight 5.0888, d_loss 0.7009, logits_real -0.2264, logits_fake -0.2344,
Train Epoch: [1/10] Iters:[210/20018] gen_loss 1.4160, rec_loss 0.0398, lpips_loss 0.2126, g_loss 0.2329, disc_weight 0.4000, disc_adaptive_weight 4.9898, d_loss 0.6809, logits_real -0.2235, logits_fake -0.2322,
Train Epoch: [1/10] Iters:[220/20018] gen_loss 1.3737, rec_loss 0.0377, lpips_loss 0.2071, g_loss 0.2292, disc_weight 0.4000, disc_adaptive_weight 4.9165, d_loss 0.6658, logits_real -0.2209, logits_fake -0.2293,
Train Epoch: [1/10] Iters:[230/20018] gen_loss 1.3420, rec_loss 0.0357, lpips_loss 0.2042, g_loss 0.2261, disc_weight 0.4000, disc_adaptive_weight 4.8638, d_loss 0.6508, logits_real -0.2185, logits_fake -0.2263,
Train Epoch: [1/10] Iters:[240/20018] gen_loss 1.2258, rec_loss 0.0343, lpips_loss 0.2015, g_loss 0.2237, disc_weight 0.4000, disc_adaptive_weight 4.4209, d_loss 0.6385, logits_real -0.2168, logits_fake -0.2240,
Train Epoch: [1/10] Iters:[250/20018] gen_loss 1.2023, rec_loss 0.0322, lpips_loss 0.1983, g_loss 0.2214, disc_weight 0.4000, disc_adaptive_weight 4.3866, d_loss 0.6263, logits_real -0.2151, logits_fake -0.2217,
Train Epoch: [1/10] Iters:[260/20018] gen_loss 1.1772, rec_loss 0.0310, lpips_loss 0.1976, g_loss 0.2190, disc_weight 0.4000, disc_adaptive_weight 4.3258, d_loss 0.6162, logits_real -0.2137, logits_fake -0.2195,
Train Epoch: [1/10] Iters:[270/20018] gen_loss 1.1418, rec_loss 0.0299, lpips_loss 0.1950, g_loss 0.2172, disc_weight 0.4000, disc_adaptive_weight 4.2217, d_loss 0.6079, logits_real -0.2126, logits_fake -0.2173,
Train Epoch: [1/10] Iters:[280/20018] gen_loss 1.1508, rec_loss 0.0289, lpips_loss 0.1922, g_loss 0.2154, disc_weight 0.4000, disc_adaptive_weight 4.3199, d_loss 0.6009, logits_real -0.2116, logits_fake -0.2155,
Train Epoch: [1/10] Iters:[290/20018] gen_loss 1.1862, rec_loss 0.0277, lpips_loss 0.1893, g_loss 0.2139, disc_weight 0.4000, disc_adaptive_weight 4.5352, d_loss 0.5926, logits_real -0.2106, logits_fake -0.2138,
Train Epoch: [1/10] Iters:[300/20018] gen_loss 1.1929, rec_loss 0.0279, lpips_loss 0.1889, g_loss 0.2121, disc_weight 0.4000, disc_adaptive_weight 4.6045, d_loss 0.5879, logits_real -0.2096, logits_fake -0.2123,
Train Epoch: [1/10] Iters:[310/20018] gen_loss 1.2339, rec_loss 0.0277, lpips_loss 0.1887, g_loss 0.2107, disc_weight 0.4000, disc_adaptive_weight 4.8311, d_loss 0.5823, logits_real -0.2085, logits_fake -0.2108,
Train Epoch: [1/10] Iters:[320/20018] gen_loss 1.1790, rec_loss 0.0283, lpips_loss 0.1899, g_loss 0.2092, disc_weight 0.4000, disc_adaptive_weight 4.5855, d_loss 0.5773, logits_real -0.2073, logits_fake -0.2095,
Train Epoch: [1/10] Iters:[330/20018] gen_loss 1.1052, rec_loss 0.0288, lpips_loss 0.1910, g_loss 0.2082, disc_weight 0.4000, disc_adaptive_weight 4.2435, d_loss 0.5728, logits_real -0.2065, logits_fake -0.2083,
Train Epoch: [1/10] Iters:[340/20018] gen_loss 1.0444, rec_loss 0.0285, lpips_loss 0.1903, g_loss 0.2069, disc_weight 0.4000, disc_adaptive_weight 3.9838, d_loss 0.5679, logits_real -0.2053, logits_fake -0.2069,
Train Epoch: [1/10] Iters:[350/20018] gen_loss 0.9876, rec_loss 0.0279, lpips_loss 0.1903, g_loss 0.2057, disc_weight 0.4000, disc_adaptive_weight 3.7375, d_loss 0.5624, logits_real -0.2043, logits_fake -0.2058,
Train Epoch: [1/10] Iters:[360/20018] gen_loss 0.9103, rec_loss 0.0277, lpips_loss 0.1892, g_loss 0.2046, disc_weight 0.4000, disc_adaptive_weight 3.3887, d_loss 0.5575, logits_real -0.2032, logits_fake -0.2048,
Train Epoch: [1/10] Iters:[370/20018] gen_loss 0.9304, rec_loss 0.0266, lpips_loss 0.1875, g_loss 0.2038, disc_weight 0.4000, disc_adaptive_weight 3.5158, d_loss 0.5525, logits_real -0.2024, logits_fake -0.2039,
Train Epoch: [1/10] Iters:[380/20018] gen_loss 0.9486, rec_loss 0.0266, lpips_loss 0.1865, g_loss 0.2024, disc_weight 0.4000, disc_adaptive_weight 3.6340, d_loss 0.5476, logits_real -0.2015, logits_fake -0.2027,
Train Epoch: [1/10] Iters:[390/20018] gen_loss 0.9410, rec_loss 0.0267, lpips_loss 0.1876, g_loss 0.2014, disc_weight 0.4000, disc_adaptive_weight 3.6109, d_loss 0.5441, logits_real -0.2008, logits_fake -0.2017,
Train Epoch: [1/10] Iters:[400/20018] gen_loss 0.9491, rec_loss 0.0265, lpips_loss 0.1855, g_loss 0.2007, disc_weight 0.4000, disc_adaptive_weight 3.6762, d_loss 0.5402, logits_real -0.2000, logits_fake -0.2008,
Train Epoch: [1/10] Iters:[410/20018] gen_loss 0.9802, rec_loss 0.0263, lpips_loss 0.1847, g_loss 0.1998, disc_weight 0.4000, disc_adaptive_weight 3.8516, d_loss 0.5367, logits_real -0.1995, logits_fake -0.1998,
Train Epoch: [1/10] Iters:[420/20018] gen_loss 0.9903, rec_loss 0.0261, lpips_loss 0.1843, g_loss 0.1991, disc_weight 0.4000, disc_adaptive_weight 3.9184, d_loss 0.5334, logits_real -0.1990, logits_fake -0.1991,
Train Epoch: [1/10] Iters:[430/20018] gen_loss 0.9620, rec_loss 0.0255, lpips_loss 0.1841, g_loss 0.1987, disc_weight 0.4000, disc_adaptive_weight 3.7879, d_loss 0.5300, logits_real -0.1985, logits_fake -0.1985,
Train Epoch: [1/10] Iters:[440/20018] gen_loss 0.9725, rec_loss 0.0256, lpips_loss 0.1844, g_loss 0.1980, disc_weight 0.4000, disc_adaptive_weight 3.8510, d_loss 0.5261, logits_real -0.1978, logits_fake -0.1979,
Train Epoch: [1/10] Iters:[450/20018] gen_loss 0.9392, rec_loss 0.0256, lpips_loss 0.1857, g_loss 0.1972, disc_weight 0.4000, disc_adaptive_weight 3.6894, d_loss 0.5231, logits_real -0.1973, logits_fake -0.1972,
Train Epoch: [1/10] Iters:[460/20018] gen_loss 0.8926, rec_loss 0.0257, lpips_loss 0.1853, g_loss 0.1967, disc_weight 0.4000, disc_adaptive_weight 3.4626, d_loss 0.5198, logits_real -0.1969, logits_fake -0.1968,
Train Epoch: [1/10] Iters:[470/20018] gen_loss 0.9105, rec_loss 0.0258, lpips_loss 0.1869, g_loss 0.1963, disc_weight 0.4000, disc_adaptive_weight 3.5558, d_loss 0.5169, logits_real -0.1964, logits_fake -0.1963,
Train Epoch: [1/10] Iters:[480/20018] gen_loss 0.9284, rec_loss 0.0257, lpips_loss 0.1871, g_loss 0.1955, disc_weight 0.4000, disc_adaptive_weight 3.6593, d_loss 0.5141, logits_real -0.1956, logits_fake -0.1956,
Train Epoch: [1/10] Iters:[490/20018] gen_loss 0.9108, rec_loss 0.0253, lpips_loss 0.1860, g_loss 0.1948, disc_weight 0.4000, disc_adaptive_weight 3.5900, d_loss 0.5113, logits_real -0.1951, logits_fake -0.1948,
Train Epoch: [1/10] Iters:[500/20018] gen_loss 0.9342, rec_loss 0.0255, lpips_loss 0.1854, g_loss 0.1945, disc_weight 0.4000, disc_adaptive_weight 3.7174, d_loss 0.5086, logits_real -0.1946, logits_fake -0.1945,
Train Epoch: [1/10] Iters:[510/20018] gen_loss 0.9496, rec_loss 0.0256, lpips_loss 0.1861, g_loss 0.1940, disc_weight 0.4000, disc_adaptive_weight 3.8019, d_loss 0.5063, logits_real -0.1941, logits_fake -0.1939,
Train Epoch: [1/10] Iters:[520/20018] gen_loss 0.9128, rec_loss 0.0256, lpips_loss 0.1846, g_loss 0.1935, disc_weight 0.4000, disc_adaptive_weight 3.6297, d_loss 0.5034, logits_real -0.1937, logits_fake -0.1936,
Train Epoch: [1/10] Iters:[530/20018] gen_loss 0.9123, rec_loss 0.0258, lpips_loss 0.1844, g_loss 0.1931, disc_weight 0.4000, disc_adaptive_weight 3.6349, d_loss 0.5008, logits_real -0.1933, logits_fake -0.1933,
Train Epoch: [1/10] Iters:[540/20018] gen_loss 0.9244, rec_loss 0.0261, lpips_loss 0.1846, g_loss 0.1930, disc_weight 0.4000, disc_adaptive_weight 3.6958, d_loss 0.4987, logits_real -0.1929, logits_fake -0.1932,
Train Epoch: [1/10] Iters:[550/20018] gen_loss 0.9219, rec_loss 0.0262, lpips_loss 0.1856, g_loss 0.1926, disc_weight 0.4000, disc_adaptive_weight 3.6854, d_loss 0.4955, logits_real -0.1928, logits_fake -0.1928,
Train Epoch: [1/10] Iters:[560/20018] gen_loss 0.9004, rec_loss 0.0260, lpips_loss 0.1865, g_loss 0.1921, disc_weight 0.4000, disc_adaptive_weight 3.5786, d_loss 0.4931, logits_real -0.1924, logits_fake -0.1923,
Train Epoch: [1/10] Iters:[570/20018] gen_loss 0.9078, rec_loss 0.0260, lpips_loss 0.1872, g_loss 0.1914, disc_weight 0.4000, disc_adaptive_weight 3.6267, d_loss 0.4904, logits_real -0.1917, logits_fake -0.1914,
Train Epoch: [1/10] Iters:[580/20018] gen_loss 0.8840, rec_loss 0.0258, lpips_loss 0.1870, g_loss 0.1909, disc_weight 0.4000, disc_adaptive_weight 3.5141, d_loss 0.4882, logits_real -0.1913, logits_fake -0.1908,
Train Epoch: [1/10] Iters:[590/20018] gen_loss 0.8776, rec_loss 0.0259, lpips_loss 0.1877, g_loss 0.1904, disc_weight 0.4000, disc_adaptive_weight 3.4870, d_loss 0.4860, logits_real -0.1909, logits_fake -0.1902,
Train Epoch: [1/10] Iters:[600/20018] gen_loss 0.8866, rec_loss 0.0254, lpips_loss 0.1870, g_loss 0.1898, disc_weight 0.4000, disc_adaptive_weight 3.5508, d_loss 0.4847, logits_real -0.1903, logits_fake -0.1896,
Train Epoch: [1/10] Iters:[610/20018] gen_loss 0.9272, rec_loss 0.0255, lpips_loss 0.1860, g_loss 0.1892, disc_weight 0.4000, disc_adaptive_weight 3.7833, d_loss 0.4824, logits_real -0.1898, logits_fake -0.1892,
Train Epoch: [1/10] Iters:[620/20018] gen_loss 0.9486, rec_loss 0.0256, lpips_loss 0.1853, g_loss 0.1889, disc_weight 0.4000, disc_adaptive_weight 3.9076, d_loss 0.4803, logits_real -0.1894, logits_fake -0.1887,
Train Epoch: [1/10] Iters:[630/20018] gen_loss 0.9626, rec_loss 0.0255, lpips_loss 0.1846, g_loss 0.1881, disc_weight 0.4000, disc_adaptive_weight 4.0019, d_loss 0.4778, logits_real -0.1887, logits_fake -0.1880,
Train Epoch: [1/10] Iters:[640/20018] gen_loss 0.9455, rec_loss 0.0253, lpips_loss 0.1841, g_loss 0.1873, disc_weight 0.4000, disc_adaptive_weight 3.9291, d_loss 0.4758, logits_real -0.1878, logits_fake -0.1874,
Train Epoch: [1/10] Iters:[650/20018] gen_loss 0.9244, rec_loss 0.0253, lpips_loss 0.1842, g_loss 0.1868, disc_weight 0.4000, disc_adaptive_weight 3.8260, d_loss 0.4738, logits_real -0.1871, logits_fake -0.1869,
Train Epoch: [1/10] Iters:[660/20018] gen_loss 0.9003, rec_loss 0.0252, lpips_loss 0.1843, g_loss 0.1864, disc_weight 0.4000, disc_adaptive_weight 3.7051, d_loss 0.4718, logits_real -0.1866, logits_fake -0.1865,
Train Epoch: [1/10] Iters:[670/20018] gen_loss 0.9023, rec_loss 0.0250, lpips_loss 0.1850, g_loss 0.1858, disc_weight 0.4000, disc_adaptive_weight 3.7257, d_loss 0.4711, logits_real -0.1860, logits_fake -0.1861,
Train Epoch: [1/10] Iters:[680/20018] gen_loss 0.9251, rec_loss 0.0251, lpips_loss 0.1854, g_loss 0.1853, disc_weight 0.4000, disc_adaptive_weight 3.8584, d_loss 0.4697, logits_real -0.1857, logits_fake -0.1856,
Train Epoch: [1/10] Iters:[690/20018] gen_loss 0.9430, rec_loss 0.0251, lpips_loss 0.1857, g_loss 0.1846, disc_weight 0.4000, disc_adaptive_weight 3.9669, d_loss 0.4683, logits_real -0.1852, logits_fake -0.1850,
Train Epoch: [1/10] Iters:[700/20018] gen_loss 0.9528, rec_loss 0.0254, lpips_loss 0.1854, g_loss 0.1838, disc_weight 0.4000, disc_adaptive_weight 4.0373, d_loss 0.4668, logits_real -0.1846, logits_fake -0.1843,
Train Epoch: [1/10] Iters:[710/20018] gen_loss 0.9583, rec_loss 0.0255, lpips_loss 0.1851, g_loss 0.1828, disc_weight 0.4000, disc_adaptive_weight 4.0870, d_loss 0.4652, logits_real -0.1838, logits_fake -0.1831,
Train Epoch: [1/10] Iters:[720/20018] gen_loss 0.9110, rec_loss 0.0254, lpips_loss 0.1842, g_loss 0.1817, disc_weight 0.4000, disc_adaptive_weight 3.8599, d_loss 0.4630, logits_real -0.1828, logits_fake -0.1821,
Train Epoch: [1/10] Iters:[730/20018] gen_loss 0.9245, rec_loss 0.0257, lpips_loss 0.1851, g_loss 0.1809, disc_weight 0.4000, disc_adaptive_weight 3.9457, d_loss 0.4619, logits_real -0.1821, logits_fake -0.1813,
Train Epoch: [1/10] Iters:[740/20018] gen_loss 0.9368, rec_loss 0.0260, lpips_loss 0.1853, g_loss 0.1800, disc_weight 0.4000, disc_adaptive_weight 4.0310, d_loss 0.4603, logits_real -0.1813, logits_fake -0.1804,
Train Epoch: [1/10] Iters:[750/20018] gen_loss 0.9386, rec_loss 0.0256, lpips_loss 0.1845, g_loss 0.1789, disc_weight 0.4000, disc_adaptive_weight 4.0710, d_loss 0.4587, logits_real -0.1803, logits_fake -0.1792,
Train Epoch: [1/10] Iters:[760/20018] gen_loss 0.9313, rec_loss 0.0253, lpips_loss 0.1851, g_loss 0.1782, disc_weight 0.4000, disc_adaptive_weight 4.0440, d_loss 0.4576, logits_real -0.1796, logits_fake -0.1785,
Train Epoch: [1/10] Iters:[770/20018] gen_loss 0.9495, rec_loss 0.0252, lpips_loss 0.1852, g_loss 0.1778, disc_weight 0.4000, disc_adaptive_weight 4.1577, d_loss 0.4559, logits_real -0.1790, logits_fake -0.1778,
Train Epoch: [1/10] Iters:[780/20018] gen_loss 0.9210, rec_loss 0.0249, lpips_loss 0.1845, g_loss 0.1771, disc_weight 0.4000, disc_adaptive_weight 4.0191, d_loss 0.4544, logits_real -0.1783, logits_fake -0.1771,
Train Epoch: [1/10] Iters:[790/20018] gen_loss 0.8720, rec_loss 0.0247, lpips_loss 0.1843, g_loss 0.1765, disc_weight 0.4000, disc_adaptive_weight 3.7556, d_loss 0.4530, logits_real -0.1775, logits_fake -0.1763,
Train Epoch: [1/10] Iters:[800/20018] gen_loss 0.8621, rec_loss 0.0250, lpips_loss 0.1852, g_loss 0.1762, disc_weight 0.4000, disc_adaptive_weight 3.7008, d_loss 0.4520, logits_real -0.1770, logits_fake -0.1759,
Train Epoch: [1/10] Iters:[810/20018] gen_loss 0.8650, rec_loss 0.0252, lpips_loss 0.1851, g_loss 0.1757, disc_weight 0.4000, disc_adaptive_weight 3.7265, d_loss 0.4505, logits_real -0.1766, logits_fake -0.1754,
Train Epoch: [1/10] Iters:[820/20018] gen_loss 0.8299, rec_loss 0.0252, lpips_loss 0.1847, g_loss 0.1753, disc_weight 0.4000, disc_adaptive_weight 3.5358, d_loss 0.4497, logits_real -0.1762, logits_fake -0.1751,
Train Epoch: [1/10] Iters:[830/20018] gen_loss 0.7942, rec_loss 0.0251, lpips_loss 0.1843, g_loss 0.1749, disc_weight 0.4000, disc_adaptive_weight 3.3439, d_loss 0.4488, logits_real -0.1758, logits_fake -0.1747,
Train Epoch: [1/10] Iters:[840/20018] gen_loss 0.8051, rec_loss 0.0250, lpips_loss 0.1841, g_loss 0.1746, disc_weight 0.4000, disc_adaptive_weight 3.4135, d_loss 0.4481, logits_real -0.1757, logits_fake -0.1745,
Train Epoch: [1/10] Iters:[850/20018] gen_loss 0.8278, rec_loss 0.0247, lpips_loss 0.1835, g_loss 0.1742, disc_weight 0.4000, disc_adaptive_weight 3.5595, d_loss 0.4466, logits_real -0.1750, logits_fake -0.1740,
Train Epoch: [1/10] Iters:[860/20018] gen_loss 0.8188, rec_loss 0.0250, lpips_loss 0.1838, g_loss 0.1736, disc_weight 0.4000, disc_adaptive_weight 3.5166, d_loss 0.4461, logits_real -0.1742, logits_fake -0.1735,
Train Epoch: [1/10] Iters:[870/20018] gen_loss 0.8131, rec_loss 0.0251, lpips_loss 0.1846, g_loss 0.1726, disc_weight 0.4000, disc_adaptive_weight 3.4960, d_loss 0.4449, logits_real -0.1732, logits_fake -0.1725,
Train Epoch: [1/10] Iters:[880/20018] gen_loss 0.8536, rec_loss 0.0254, lpips_loss 0.1854, g_loss 0.1719, disc_weight 0.4000, disc_adaptive_weight 3.7390, d_loss 0.4438, logits_real -0.1724, logits_fake -0.1717,
Train Epoch: [1/10] Iters:[890/20018] gen_loss 0.9160, rec_loss 0.0251, lpips_loss 0.1846, g_loss 0.1713, disc_weight 0.4000, disc_adaptive_weight 4.1231, d_loss 0.4425, logits_real -0.1717, logits_fake -0.1709,
Train Epoch: [1/10] Iters:[900/20018] gen_loss 0.8766, rec_loss 0.0255, lpips_loss 0.1861, g_loss 0.1704, disc_weight 0.4000, disc_adaptive_weight 3.9010, d_loss 0.4420, logits_real -0.1710, logits_fake -0.1701,
Train Epoch: [1/10] Iters:[910/20018] gen_loss 0.8883, rec_loss 0.0254, lpips_loss 0.1860, g_loss 0.1698, disc_weight 0.4000, disc_adaptive_weight 3.9839, d_loss 0.4413, logits_real -0.1703, logits_fake -0.1695,
Train Epoch: [1/10] Iters:[920/20018] gen_loss 0.8923, rec_loss 0.0252, lpips_loss 0.1847, g_loss 0.1696, disc_weight 0.4000, disc_adaptive_weight 4.0196, d_loss 0.4408, logits_real -0.1702, logits_fake -0.1692,
Train Epoch: [1/10] Iters:[930/20018] gen_loss 0.8631, rec_loss 0.0252, lpips_loss 0.1847, g_loss 0.1690, disc_weight 0.4000, disc_adaptive_weight 3.8600, d_loss 0.4397, logits_real -0.1697, logits_fake -0.1688,
